FACILITY NAME,CITY,ST,LATITUDE,LONGITUDE,PARENT CO NAME,INDUSTRY SECTOR,CHEMICAL,ELEMENTAL METAL INCLUDED,CLEAN AIR ACT CHEMICAL,CLASSIFICATION,CARCINOGEN,PBT,PFAS,TOTAL POLLUTION
UNIVAR SOLUTIONS USA INC,HOUSTON,TX,29.630278,-95.203888,UNIVAR SOLUTIONS USA INC,Chemical Wholesalers,N-Methyl-2-pyrrolidone,NO,NO,TRI,NO,NO,NO,0.0
ALUMINUM RECOVERY TECHNOLOGY INC,KENDALLVILLE,IN,41.44099,-85.22862,,Primary Metals,Nickel,NO,YES,TRI,YES,NO,NO,1.86
TEMPUR PRODUCTION USA INC,DUFFIELD,VA,36.720447,-82.802928,TEMPUR SEALY INTERNATIONAL INC,Furniture,"Toluene-2,4-diisocyanate",NO,YES,TRI,YES,NO,NO,32208.34
MAHLE ENGINE COMPONENTS USA INC,RUSSELLVILLE,AR,35.265677,-93.107034,MAHLE INDUSTRIES INC,Transportation Equipment,Nickel,NO,YES,TRI,YES,NO,NO,0.0
NORTH AMERICAN REFRACTORIES CO,GARY,IN,41.610564,-87.373255,NORTH AMERICAN REFRACTORIES CO,Nonmetallic Mineral Product,Chromium compounds (except for chromite ore mined in the Transvaal Region),NO,YES,TRI,NO,NO,NO,1133.33
PRECIOUS PLATE FLORIDA,WEST PALM BEACH,FL,26.739052,-80.0653,SAFT AMERICA INC,Fabricated Metals,Nickel,NO,YES,TRI,YES,NO,NO,0.0
BLENTECH CORP,HOUSTON,TX,29.76547,-95.27939,,Chemicals,Diethanolamine,NO,YES,TRI,NO,NO,NO,0.0
PAR MONTANA SPOKANE TERMINAL,SPOKANE,WA,47.670062,-117.320917,PAR PACIFIC HOLDINGS INC,Petroleum Bulk Terminals,Lead compounds,NO,YES,PBT,NO,YES,NO,1.02
ASSA ABLOY ACCESS & EGRESS HARDWARE GROUP - CORBIN RUSSWIN,BERLIN,CT,41.64752,-72.73615,ASSA ABLOY INC,Fabricated Metals,Zinc compounds,NO,NO,TRI,NO,NO,NO,746542.4
EQUILON SAN DIEGO TERMINAL,SAN DIEGO,CA,32.78657,-117.11607,,Petroleum Bulk Terminals,Toluene,NO,YES,TRI,NO,NO,NO,3989.95
REED & BARTON SILVERSMITHS,TAUNTON,MA,41.91895,-71.0999,,Miscellaneous Manufacturing,Polycyclic aromatic compounds,NO,YES,PBT,YES,YES,NO,35.269999999999996
DELEK TYLER REFINERY,TYLER,TX,32.362643,-95.280179,DELEK US HOLDINGS INC,Petroleum,Tetrachloroethylene,NO,YES,TRI,YES,NO,NO,12325.97
EJ USA INC,EAST JORDAN,MI,45.1574,-85.1291,EJ USA INC,Primary Metals,Manganese compounds,NO,YES,TRI,NO,NO,NO,270058.02
LENZING FIBERS INC,AXIS,AL,30.960964,-88.024936,,Chemicals,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,NO,TRI,NO,NO,NO,794039.19
CHEMSOLV INC,ROANOKE,VA,37.25626,-79.92,CATAPULT MIDCO LLC,Chemical Wholesalers,Ammonia,NO,NO,TRI,NO,NO,NO,0.0
CHS MCPHERSON REFINERY - SRU,MCPHERSON,KS,38.347278,-97.673846,CHS INC,Chemicals,Carbonyl sulfide,NO,YES,TRI,NO,NO,NO,1.41
US TVA COLBERT FOSSIL PLANT,TUSCUMBIA,AL,34.7415,-87.84796,US TENNESSEE VALLEY AUTHORITY,Electric Utilities,Naphthalene,NO,YES,TRI,YES,NO,NO,850.98
WIELAND COPPER PRODUCTS LLC,PINE HALL,NC,36.342778,-80.044166,WIELAND HOLDINGS INC,Primary Metals,Barium,NO,NO,TRI,NO,NO,NO,0.0
MARTIN MARIETTA NORTH TEXAS CEMENT LLC,MIDLOTHIAN,TX,32.462679,-97.025572,MARTIN MARIETTA MATERIALS INC,Nonmetallic Mineral Product,Naphthalene,NO,YES,TRI,YES,NO,NO,521961.0
LANXESS SOLUTIONS US INC,GASTONIA,NC,35.243611,-81.1875,LANXESS CORP,Chemicals,Propargite,NO,NO,TRI,NO,NO,NO,0.0
ADM ANIMAL NUTRITION INC,CAMP HILL,PA,40.23385,-76.91376,ARCHER DANIELS MIDLAND CO,Food,Zinc compounds,NO,NO,TRI,NO,NO,NO,0.0
BCP INGREDIENTS INC.,VERONA,MO,36.962551,-93.798523,BALCHEM CORP,Food,Ethylene oxide,NO,YES,TRI,YES,NO,NO,32104.03
THE CALVERT CO,RICHLAND,MS,32.223333,-90.163067,AIS HOLDING CO LLC,Electrical Equipment,Copper,NO,NO,TRI,NO,NO,NO,537251.0
WEYERHAEUSER NR CO NATCHITOCHES PLANT,NATCHITOCHES,LA,31.802798,-93.093042,WEYERHAEUSER CO,Wood Products,Phenol,NO,YES,TRI,NO,NO,NO,7706.1
HITACHI ASTEMO AMERICAS INC. - BEREA KY,BEREA,KY,37.60295,-84.30992,HITACHI ASTEMO LTD,Transportation Equipment,Certain glycol ethers,NO,YES,TRI,NO,NO,NO,117112.47
DELAWARE CITY REFINERY,DELAWARE CITY,DE,39.591,-75.634,PBF ENERGY INC,Petroleum,Toluene,NO,YES,TRI,NO,NO,NO,218379.02
CLOUD CERAMICS,CONCORDIA,KS,39.55368,-97.60606,GENERAL FINANCE INC,Nonmetallic Mineral Product,Manganese compounds,NO,YES,TRI,NO,NO,NO,3641.0
WEBTECH INC,ROBBINSVILLE,NJ,40.206874,-74.625518,,Printing,Lead compounds,NO,YES,PBT,NO,YES,NO,1210.6799999999998
AMERICAN CRYSTAL SUGAR CO,CROOKSTON,MN,47.764444,-96.6325,AMERICAN CRYSTAL SUGAR CO,Food,Lead compounds,NO,YES,PBT,NO,YES,NO,2216.3
BC COBB GENERATING PLANT,MUSKEGON,MI,43.254978,-86.241827,CMS ENERGY,Electric Utilities,Barium compounds (except for barium sulfate (CAS No. 7727-43-7)),NO,NO,TRI,NO,NO,NO,2331621.16
IMPERIAL MARBLE CORP,SOMONAUK,IL,41.629281,-88.678758,,Plastics and Rubber,Diisocyanates,NO,NO,TRI,NO,NO,NO,0.0
MW CUSTOM PAPERS LLC SPECIALTY DIV LAUREL MILL,SOUTH LEE,MA,42.275539,-73.266756,MEADWESTVACO CORP,Paper,Formaldehyde,NO,YES,TRI,YES,NO,NO,134020.44
MOLEX LLC,MAUMELLE,AR,34.865833,-92.39597,KOCH INDUSTRIES INC,Computers and Electronic Products,Copper compounds,NO,NO,TRI,NO,NO,NO,7920135.390000001
LION OIL CO,EL DORADO,AR,33.20152,-92.67358,DELEK US HOLDINGS INC,Petroleum,Cresol (mixed isomers),NO,YES,TRI,NO,NO,NO,30068.0
3M CHEMICAL OPERATIONS' COTTAGE GROVE FACILITY,COTTAGE GROVE,MN,44.789444,-92.908333,3M CO,Chemicals,Acrylic acid,NO,YES,TRI,NO,NO,NO,581601.0
HF SINCLAIR CASPER REFINING LLC,CASPER,WY,42.8605,-106.2425,HF SINCLAIR CORP,Petroleum,Mercury compounds,NO,YES,PBT,NO,YES,NO,120.45
CLARIANT CORP-MOUNT HOLLY WEST PLANT,MOUNT HOLLY,NC,35.295833,-81.006667,CLARIANT CORP,Chemicals,"1,2,4-Trimethylbenzene",NO,NO,TRI,NO,NO,NO,0.0
CC METALS & ALLOYS LLC,CALVERT CITY,KY,37.05648,-88.35108,GEORGIAN AMERICAN ALLOYS INC,Primary Metals,Manganese,NO,YES,TRI,NO,NO,NO,7034.0599999999995
TYSON FARMS INC GONZALES FEED MILL,GONZALES,TX,29.52649,-97.45455,TYSON FOODS INC,Food,Copper compounds,NO,NO,TRI,NO,NO,NO,0.0
AMERICAN ELECTRIC POWER NORTHEASTERN PLANT,OOLOGAH,OK,36.4301,-95.7011,AMERICAN ELECTRIC POWER,Electric Utilities,Lead compounds,NO,YES,PBT,NO,YES,NO,35855.759999999995
ALUDYNE-COLUMBUS LLC,COLUMBUS,GA,32.53032,-84.96989,,Primary Metals,Copper,NO,NO,TRI,NO,NO,NO,336499.6
PLATING TECHNOLOGY  INC. DAYTON PLANT,DAYTON,OH,39.72947,-84.22299,PLATING TECHNOLOGY INC,Fabricated Metals,Nickel compounds,NO,YES,TRI,YES,NO,NO,1756.8
TRONOX LLC - SODA SPRINGS,SODA SPRINGS,ID,42.68721,-111.5736,TRONOX LLC,Chemicals,Lithium carbonate,NO,NO,TRI,NO,NO,NO,0.0
