FACILITY NAME,CITY,ST,LATITUDE,LONGITUDE,PARENT CO NAME,INDUSTRY SECTOR,CHEMICAL,ELEMENTAL METAL INCLUDED,CLEAN AIR ACT CHEMICAL,CLASSIFICATION,CARCINOGEN,PBT,PFAS,TOTAL POLLUTION
HENKEL OF AMERICA INC.,SEABROOK,NH,42.88414,-70.88672,HENKEL OF AMERICA INC.,Chemicals,Methyl methacrylate,NO,YES,TRI,NO,NO,NO,127652.1
CHAMPIONX-HUGHESVILLE,HUGHESVILLE,PA,41.22712,-76.72896,CHAMPIONX CORP,Chemical Wholesalers,Methanol,NO,YES,TRI,NO,NO,NO,8402.259999999998
EXXONMOBIL BATON ROUGE CHEMICAL PLANT NORTH,BATON ROUGE,LA,30.502665,-91.173395,EAST WEST COPOLYMER & RUBBER LLC,Chemicals,Methyl tert-butyl ether,NO,YES,TRI,NO,NO,NO,1.0
SEH AMERICA INC,VANCOUVER,WA,45.651641,-122.553284,,Computers and Electronic Products,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,YES,TRI,NO,NO,NO,396302.85
KERN ENERGY,BAKERSFIELD,CA,35.295278,-118.921111,CASEY CO,Petroleum,Polycyclic aromatic compounds,NO,YES,PBT,YES,YES,NO,50.22
LENEX STEEL CO,INDIANAPOLIS,IN,39.809549,-86.019236,,Fabricated Metals,Lead,NO,NO,PBT,YES,YES,NO,246.75
OMNIUM,HAMPTON,IA,42.72891,-93.22767,LAND O LAKES INC,Chemicals,S-Ethyl dipropylthiocarbamate,NO,NO,TRI,NO,NO,NO,27473.0
INDULOR AMERICA LP,GRAHAM,NC,36.075239,-79.388432,,Chemicals,Acrylamide,NO,YES,TRI,YES,NO,NO,529.16
LG ELECTRONICS USA INC.,CLARKSVILLE,TN,36.638854,-87.247564,,Electrical Equipment,Methyl isobutyl ketone,NO,YES,TRI,YES,NO,NO,50128.1
PURINA ANIMAL NUTRITION LLC - LAKE CITY,LAKE CITY,FL,30.1956,-82.65069,LAND O LAKES INC,Food,Manganese compounds,NO,YES,TRI,NO,NO,NO,0.0
GARLAND CO INC,CLEVELAND,OH,41.45551,-81.62347,,Petroleum,Diisocyanates,NO,NO,TRI,NO,NO,NO,0.0
WESTROCK CO,BATTLE CREEK,MI,42.32335,-85.20758,WESTROCK CO,Paper,Lead  And Lead Compounds,YES,YES,PBT,NO,YES,NO,778.7600000000001
MENDOCINO FOREST PRODUCTS CO. LLC,UKIAH,CA,39.179628,-123.204416,,Wood Products,Copper  And Copper Compounds,YES,NO,TRI,NO,NO,NO,1037.88
FLOWSERVE/SPRINGVILLE,SPRINGVILLE,UT,40.18577,-111.63096,,Fabricated Metals,Diisocyanates,NO,NO,TRI,NO,NO,NO,0.0
HONEYWELL INTERNATIONAL INC-BATON ROUGE PLANT,BATON ROUGE,LA,30.474444,-91.183056,HONEYWELL INTERNATIONAL INC,Chemicals,Freon 113 (CFC-113),NO,NO,TRI,NO,NO,NO,2327865.29
THE DOW CHEMICAL CO - LOUISIANA OPERATIONS,PLAQUEMINE,LA,30.320903,-91.239015,DOW INC,Chemicals,Mercury compounds,NO,YES,PBT,NO,YES,NO,81.0
AMERICAN YEAST CORP TENNESSEE,MEMPHIS,TN,35.195724,-90.050823,,Food,Ammonia,NO,NO,TRI,NO,NO,NO,2897.59
KAO SPECIALTIES AMERICAS LLC,HIGH POINT,NC,35.92333,-80.02967,KAO AMERICA INC,Chemicals,"4,4'-Isopropylidenediphenol",NO,YES,TRI,NO,NO,NO,1656.9
SHURTAPE TECHNOLOGIES LLC,NEW HARTFORD,CT,41.88169,-72.9747,STM INC.,Paper,Propylene,NO,NO,TRI,NO,NO,NO,0.0
CHEM-PLATE INDUSTRIES,ELK GROVE VILLAGE,IL,42.000543,-87.968221,CHEM-PLATE INDUSTRIES INC,Fabricated Metals,Nitric acid,NO,NO,TRI,NO,NO,NO,43537.08
ZF,FENTON,MI,42.7369,-83.76806,ZF N.A. INC,Fabricated Metals,Copper,NO,NO,TRI,NO,NO,NO,34001.0
ROSEWOOD DEW POINT,GILMER,TX,32.7866,-95.06234,ENERGY TRANSFER PARTNERS LP,Natural Gas Processing,n-Hexane,NO,YES,TRI,NO,NO,NO,15987.15
TOWER AUTOMOTIVE HOLDINGS 1 LLC,FOUNTAIN INN,SC,34.69783,-82.23914,TOWER AUTOMOTIVE HOLDINGS 1 LLC,Transportation Equipment,Nickel,NO,YES,TRI,YES,NO,NO,45885.83
435 SAGINAW,SAGINAW,TX,32.87162,-97.36993,,Nonmetallic Mineral Product,Lead,NO,NO,PBT,YES,YES,NO,2.54
TECH INTERNATIONAL (JOHNSTOWN),JOHNSTOWN,OH,40.15602,-82.68105,TECHNICAL RUBBER,Plastics and Rubber,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,51.0
CEMSTONE - MIDWAY,SAINT PAUL,MN,44.97357,-93.18796,CEMSTONE PRODUCTS CO,Nonmetallic Mineral Product,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,NO,TRI,NO,NO,NO,1149.89
BRADLEY CORP,GERMANTOWN,WI,43.213139,-88.077285,BRADLEY CORP,Fabricated Metals,Nickel,NO,YES,TRI,YES,NO,NO,138795.9
HF SINCLAIR PARCO REFINING LLC,SINCLAIR,WY,41.77899,-107.104,HF SINCLAIR CORP,Petroleum,Isoprene,NO,NO,TRI,YES,NO,NO,6.08
O'CONNELL OIL NORTHAMPTON FACILITY,NORTHAMPTON,MA,42.30884,-72.64336,O'CONNELL OIL ASSOCIATES INC,Petroleum Bulk Terminals,Hydrogen sulfide,NO,NO,TRI,NO,NO,NO,79.57000000000001
LESTER ELECTRICAL,LINCOLN,NE,40.79912,-96.72863,,Electrical Equipment,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,0.0
COBITCO INC,DENVER,CO,39.79228,-104.98881,,Petroleum,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,YES,TRI,NO,NO,NO,0.0
GM - ROMULUS ENGINE OPERATIONS,ROMULUS,MI,42.25217,-83.3996,GENERAL MOTORS LLC,Transportation Equipment,Chromium,NO,YES,TRI,NO,NO,NO,17803.47
AMERICAN ELECTRIC POWER KAMMER/MITCHELL PLANT,MOUNDSVILLE,WV,39.829509,-80.817249,AMERICAN ELECTRIC POWER,Electric Utilities,Manganese compounds,NO,YES,TRI,NO,NO,NO,349175.95
ADVANCED MARINE PERFORMANCE LLC.,FLIPPIN,AR,36.278357,-92.607861,,Transportation Equipment,Diisocyanates,NO,NO,TRI,NO,NO,NO,0.0
SPX COOLING TECHNOLOGIES,OLATHE,KS,38.85918,-94.83759,SPX CORP,Machinery,Manganese,NO,YES,TRI,NO,NO,NO,930301.1
EXXONMOBIL OIL CORP JOLIET REFINERY,CHANNAHON,IL,41.413831,-88.18346,EXXON MOBIL CORP,Petroleum,Cyclohexane,NO,NO,TRI,NO,NO,NO,1067.62
DIAMOND VOGEL INC.,ORANGE CITY,IA,42.994105,-96.058161,DIAMOND VOGEL INC,Chemicals,Ethylbenzene,NO,YES,TRI,YES,NO,NO,747687.25
SIOUXLAND ENERGY COOPERATIVE,SIOUX CENTER,IA,43.08446,-96.23038,,Chemicals,Acrolein,NO,YES,TRI,YES,NO,NO,725.43
SUN CHEMICAL CORP COLOR  INTERMEDIATES,CINCINNATI,OH,39.18359,-84.50318,SUN CHEMICAL CORP,Chemicals,"1,2,4-Trichlorobenzene",NO,YES,TRI,NO,NO,NO,71790.69
FLINT HILLS INDUSTRIES DBA HILLSBORO IND,HILLSBORO,KS,38.359037,-97.187612,FLINT HILLS INDUSTRIES,Transportation Equipment,Manganese,NO,YES,TRI,NO,NO,NO,26423.94
ADM DECATUR COMPLEX,DECATUR,IL,39.863648,-88.883624,ARCHER DANIELS MIDLAND CO,Food,Lead compounds,NO,YES,PBT,NO,YES,NO,1.0
YELLOWSTONE INDUSTRIAL LLC,GIRARD,OH,41.1673,-80.70674,,Fabricated Metals,Zinc compounds,NO,NO,TRI,NO,NO,NO,24745.0
WOODLAND PULP LLC,BAILEYVILLE,ME,45.156894,-67.402006,INTERNATIONAL GRAND INVESTMENT CORP,Paper,Barium compounds (except for barium sulfate (CAS No. 7727-43-7)),NO,NO,TRI,NO,NO,NO,700.79
LINAMAR LIGHT METALS-MR,MILLS RIVER,NC,35.427569,-82.542922,,Primary Metals,Nickel,NO,YES,TRI,YES,NO,NO,16944.059999999998
PRECOAT METALS,GRANITE CITY,IL,38.74631,-90.12951,AZZ INC,Fabricated Metals,"1,2,4-Trimethylbenzene",NO,NO,TRI,NO,NO,NO,890154.06
HOLCIM-SOR INC.- ROANOKE RM,ROANOKE,TX,33.02112,-97.21453,HOLCIM PARTICIPATIONS (US),Nonmetallic Mineral Product,Lead  And Lead Compounds,YES,YES,PBT,NO,YES,NO,0.785
TMS INTERNATIONAL LLC.,MESA,AZ,33.2774,-111.58858,TMS INTERNATIONAL CORP,Hazardous Waste,Chromium  and Chromium Compounds(except for chromite ore mined in the Transvaal Region),YES,YES,TRI,NO,NO,NO,14.45
CATEXEL NEASE LLC,HARRISON,OH,39.27666,-84.6913,,Chemicals,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,560232.02
TCI AMERICA,PORTLAND,OR,45.617973,-122.767936,,Chemicals,Toluene,NO,YES,TRI,NO,NO,NO,151046.0
RYMES - LACONIA,LACONIA,NH,43.546788,-71.491258,,Petroleum Bulk Terminals,Methyl tert-butyl ether,NO,YES,TRI,NO,NO,NO,0.0
DCP GOLDSMITH PLANT,GOLDSMITH,TX,31.980924,-102.634535,PHILLIPS 66,Natural Gas Processing,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,1175.9699999999998
SCHAEFFER MANUFACTURING,SAINT LOUIS,MO,38.59999,-90.19886,,Petroleum,Zinc compounds,NO,NO,TRI,NO,NO,NO,0.0
HUNT SOUTHLAND REFINING CO-SANDERSVILLE,SANDERSVILLE,MS,31.8167,-89.0089,HUNT REFINING CO A CORP,Petroleum,Polycyclic aromatic compounds,NO,YES,PBT,YES,YES,NO,1.2000000000000002
