FACILITY NAME,CITY,ST,LATITUDE,LONGITUDE,PARENT CO NAME,INDUSTRY SECTOR,CHEMICAL,ELEMENTAL METAL INCLUDED,CLEAN AIR ACT CHEMICAL,CLASSIFICATION,CARCINOGEN,PBT,PFAS,TOTAL POLLUTION
FEDERAL MOGUL CORP,VAN WERT,OH,40.87523,-84.59856,TENNECO INC,Miscellaneous Manufacturing,Methanol,NO,YES,TRI,NO,NO,NO,182151.0
PENNEX ALUMINUM CO LLC,GREENVILLE,PA,41.433998,-80.363014,METAL EXCHANGE CORP,Primary Metals,Lead,NO,NO,PBT,YES,YES,NO,168.45
ARKEMA INC,CALVERT CITY,KY,37.056699,-88.365727,ARKEMA DELAWARE INC,Chemicals,Chlorine,NO,YES,TRI,NO,NO,NO,603236.0
SOUTH PORTLAND TERMINAL (SPTPM),SOUTH PORTLAND,ME,43.636001,-70.285254,SOUTH PORTLAND TERMINAL LLC,Petroleum Bulk Terminals,Lead compounds,NO,YES,PBT,NO,YES,NO,14.32
GEORGIA-PACIFIC WOOD PRODUCTS LLC - MONTICELLO MDF PLANT,MONTICELLO,GA,33.275,-83.70527,KOCH INDUSTRIES INC,Wood Products,Lead compounds,NO,YES,PBT,NO,YES,NO,35.97
HENKEL US OPERATIONS CORP,SALISBURY,NC,35.63367,-80.53335,HENKEL US OPERATIONS CORP,Chemicals,Ammonia,NO,NO,TRI,NO,NO,NO,110601.1
HUTCHINSON ANTIVIBRATION SYSTEMS INC,CADILLAC,MI,44.2613,-85.4178,HUTCHINSON N.A.,Transportation Equipment,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,79906.42
GARLOCK SEALING TECHNOLOGIES,PALMYRA,NY,43.068828,-77.223631,ENPRO INDUSTRIES INC,Miscellaneous Manufacturing,Toluene,NO,YES,TRI,NO,NO,NO,1497161.0
"CARAVELLE INTERNATIONAL, LLC  DBA QUAKER PLASTICS",MOUNTVILLE,PA,40.03704,-76.43076,WEXCO INC,Plastics and Rubber,Di(2-ethylhexyl) phthalate,NO,YES,TRI,YES,NO,NO,0.0
FORD MOTOR CO - ATLANTA ASSEMBLY PLANT,HAPEVILLE,GA,33.65416,-84.40333,FORD MOTOR CO,Transportation Equipment,n-Hexane,NO,YES,TRI,NO,NO,NO,4691.82
PACIFIC STEEL CASTING CO,BERKELEY,CA,37.8774,-122.30543,ALCAST CO,Primary Metals,Diisocyanates,NO,NO,TRI,NO,NO,NO,0.0
GM LORDSTOWN COMPLEX,WARREN,OH,41.1434,-80.87891,GENERAL MOTORS LLC,Transportation Equipment,Certain glycol ethers,NO,YES,TRI,NO,NO,NO,1067841.31
MILE HIGH EQUIPMENT LLC,DENVER,CO,39.77869,-104.85869,ALI GROUP N.A.,Machinery,Copper compounds,NO,NO,TRI,NO,NO,NO,613960.81
CHEVRON PRODUCTS CO AVON TERMINAL,MARTINEZ,CA,38.02042,-122.06496,CHEVRON CORP,Petroleum Bulk Terminals,"Benzo[g,h,i]perylene",NO,YES,PBT,NO,YES,NO,0.95
ALLEGHENY PETROLEUM PRODUCTS CO,WILMERDING,PA,40.40054,-79.81685,ALLEGHENY PETROLEUM PRODUCTS CO,Petroleum,Naphthalene,NO,YES,TRI,YES,NO,NO,0.0
ARCHITECTURAL MASTERWORKS,TROY,AL,31.79166,-85.96666,GRAHAM PARTNERS,Plastics and Rubber,Diisocyanates,NO,NO,TRI,NO,NO,NO,26.1
NEW JERSEY SHELL CASTING CORP,MARIETTA,PA,40.05488,-76.56784,,Primary Metals,Lead compounds,NO,YES,PBT,NO,YES,NO,721.56
TECH ORD,CLEAR LAKE,SD,44.777798,-96.664098,NATIONAL PRESTO INDUSTRIES,Chemicals,Lead compounds,NO,YES,PBT,NO,YES,NO,364.18
MANCHESTER METALS INC,NORTH MANCHESTER,IN,40.987721,-85.789405,,Primary Metals,Manganese compounds,NO,YES,TRI,NO,NO,NO,0.0
CASHCO INC,ELLSWORTH,KS,38.7402,-98.234533,,Fabricated Metals,Nickel,NO,YES,TRI,YES,NO,NO,47161.04
UNIVAR USA INC. - INDIANAPOLIS,INDIANAPOLIS,IN,39.81,-86.036389,UNIVAR USA INC,Chemical Wholesalers,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,7100.65
GLOBAL COS LLC GLENWOOD LANDING TERMINAL,GLENWOOD LANDING,NY,40.830722,-73.647528,GLOBAL PARTNERS LP,Petroleum Bulk Terminals,Toluene,NO,YES,TRI,NO,NO,NO,2014.71
EXCEL ENERGY HIGH BRIDGE GENERATING PLANT,SAINT PAUL,MN,44.935625,-93.109747,XCEL ENERGY,Electric Utilities,"Benzo[g,h,i]perylene",NO,YES,PBT,NO,YES,NO,174.9
HESS CORP CHARLESTON SOUTH TERMINAL,NORTH CHARLESTON,SC,32.888333,-79.968611,HESS CORP,Petroleum Bulk Terminals,"1,2,4-Trimethylbenzene",NO,NO,TRI,NO,NO,NO,566.3199999999999
EL PASO REFINED PRODUCTS TERMINAL,EL PASO,TX,31.82371,-106.258113,"VALERO, LP",Petroleum Bulk Terminals,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,23254.86
ERGON ASPHALT & EMULSIONS INC. - BOISE,BOISE,ID,43.564098,-116.18786,ERGON INC,Petroleum,"Benzo[g,h,i]perylene",NO,YES,PBT,NO,YES,NO,0.8
AMERICAN CHROME & CHEMICALS INC,CORPUS CHRISTI,TX,27.814167,-97.433333,YILDIRIM GROUP,Chemicals,Lead compounds,NO,YES,PBT,NO,YES,NO,3494.74
RUBY HILL MINING CO LLC,EUREKA,NV,39.554172,-115.990848,PREMIER GOLD MINES USA INC,Metal Mining,Cyanide compounds,NO,YES,TRI,NO,NO,NO,0.0
PARKER HANNIFIN (FLUID CONTROL DIV),MADISON,MS,32.46459,-90.113495,PARKER HANNIFIN CORP,Fabricated Metals,Ammonia,NO,NO,TRI,NO,NO,NO,0.0
CHESTNUT RIDGE FOAM INC,LATROBE,PA,40.329644,-79.373592,,Plastics and Rubber,Antimony compounds,NO,YES,TRI,NO,NO,NO,3185.06
ELECTRONIC DISPLAY SYSTEMS,GRAND ISLAND,NE,40.93451,-98.31094,CHIEF INDUSTRIES INC,Miscellaneous Manufacturing,Lead,NO,NO,PBT,YES,YES,NO,165.84
RAIN CII CARBON LLC,CHALMETTE,LA,29.931632,-89.981471,RAIN CII CARBON LLC,Petroleum,Polycyclic aromatic compounds,NO,YES,PBT,YES,YES,NO,47215.42
TALLEY METALS TECHNOLOGY,MC BEE,SC,34.42897,-80.16949,CARPENTER TECHNOLOGY CORP,Primary Metals,Chromium compounds (except for chromite ore mined in the Transvaal Region),NO,YES,TRI,NO,NO,NO,925939.72
EQUILON MORMON ISLAND TERMINAL,WILMINGTON,CA,33.760449,-118.262176,SHELL PETROLEUM INC,Petroleum Bulk Terminals,"1,2,4-Trimethylbenzene",NO,NO,TRI,NO,NO,NO,1640.14
CROWN AEROSOL PACKAGING,FARIBAULT,MN,44.29172,-93.29282,CROWN HOLDINGS INC,Fabricated Metals,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,277462.0
SUPERIOR ESSEX INTERNATIONAL INC.,BROWNWOOD,TX,31.67661,-98.986506,SUPERIOR ESSEX INC,Primary Metals,Antimony compounds,NO,YES,TRI,NO,NO,NO,151125.7
