FACILITY NAME,CITY,ST,LATITUDE,LONGITUDE,PARENT CO NAME,INDUSTRY SECTOR,CHEMICAL,ELEMENTAL METAL INCLUDED,CLEAN AIR ACT CHEMICAL,CLASSIFICATION,CARCINOGEN,PBT,PFAS,TOTAL POLLUTION
DFA DAIRY BRANDS FLUID LLC DBA PET DAIRY,SPARTANBURG,SC,34.97986,-81.99658,DAIRY FARMERS OF AMERICA INC,Food,Chlorodifluoromethane (HCFC-22),NO,NO,TRI,NO,NO,NO,65761.0
SUNNYSIDE CORP,WHEELING,IL,42.129684,-87.922981,,Chemicals,Ethylbenzene,NO,YES,TRI,YES,NO,NO,0.0
WANSLEY STEAM ELECTRIC GENERATING PLANT,CARROLLTON,GA,33.4131,-85.0336,SOUTHERN CO CO-OWNED,Electric Utilities,Ammonia,NO,NO,TRI,NO,NO,NO,221276.08
HEIDELBERG MATERIALS US CEMENT LLC - CEMENTON FACILITY,CATSKILL,NY,42.132297,-73.918665,LEHIGH HANSON,Nonmetallic Mineral Product,Lead compounds,NO,YES,PBT,NO,YES,NO,8.73
AMETEK LAMB ELECTRIC DIV.,KENT,OH,41.16118,-81.34944,AMETEK INC,Electrical Equipment,Copper,NO,NO,TRI,NO,NO,NO,18890.8
DURA AUTOMOTIVE SYSTEMS,LAWRENCEBURG,TN,35.26879,-87.32827,DURA AUTOMOTIVE SYSTEMS LLC,Transportation Equipment,Toluene,NO,YES,TRI,NO,NO,NO,125047.77
MITSUBISHI CHEMICAL AMERICA INC,PASADENA,TX,29.614166,-95.057777,,Chemicals,Methyl methacrylate,NO,YES,TRI,NO,NO,NO,10215.85
LEPRINO FOODS CO,WAVERLY,NY,42.000972,-76.558306,LEPRINO FOODS CO,Food,Nitric acid,NO,NO,TRI,NO,NO,NO,1057898.98
SPARTECH PROFILES,EL MONTE,CA,34.088626,-118.049631,SPARTECH CORP,Plastics and Rubber,Lead compounds,NO,YES,PBT,NO,YES,NO,77.56
CHEMOURS JOHNSONVILLE PLANT,NEW JOHNSONVILLE,TN,36.043056,-87.981667,THE CHEMOURS CO,Chemicals,Chlorine,NO,YES,TRI,NO,NO,NO,2300504.95
SUNDANCE SPAS,CHINO,CA,33.98837,-117.69772,JACUZZI BRANDS CORP,Plastics and Rubber,Diisocyanates,NO,NO,TRI,NO,NO,NO,0.0
HUCK INTERNATIONAL,TUCSON,AZ,32.17073,-110.91293,HOWMET AEROSPACE INC,Fabricated Metals,Nickel,NO,YES,TRI,YES,NO,NO,0.0
