FACILITY NAME,CITY,ST,LATITUDE,LONGITUDE,PARENT CO NAME,INDUSTRY SECTOR,CHEMICAL,ELEMENTAL METAL INCLUDED,CLEAN AIR ACT CHEMICAL,CLASSIFICATION,CARCINOGEN,PBT,PFAS,TOTAL POLLUTION
ATI HUNTSVILLE OPERATIONS,HUNTSVILLE,AL,34.6983,-86.69802,ATI,Primary Metals,Chromium,NO,YES,TRI,NO,NO,NO,28071.278
AMERICAN FOUNDRY GROUP LLC - BIXBY,BIXBY,OK,35.950053,-95.88887,,Primary Metals,Chromium,NO,YES,TRI,NO,NO,NO,85627.76000000001
MIDWEST INDUSTRIAL ASPHALT,LA CROSSE,WI,43.83365,-91.25098,ALM HOLDING CO,Petroleum Bulk Terminals,Ethylene glycol,NO,YES,TRI,NO,NO,NO,0.0
TRINITY TANK CAR INC. PLT  19,LONGVIEW,TX,32.50186,-94.640056,TRINITY INDUSTRIES INC,Transportation Equipment,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,393006.0
CARDINAL SCALE MANUFACTURING,WEBB CITY,MO,37.147289,-94.462021,,Machinery,Lead compounds,NO,YES,PBT,NO,YES,NO,0.7
WESTLAKE ROYAL ROOFING - RIALTO,RIALTO,CA,34.15935,-117.40462,WESTLAKE CORP,Nonmetallic Mineral Product,Lead,NO,NO,PBT,YES,YES,NO,44.11
AFFIVAL INC,VERONA,PA,40.51996,-79.81174,OPTA (USA),Fabricated Metals,Lead compounds,NO,YES,PBT,NO,YES,NO,2.435
DUKE ENERGY CAROLINAS LLC - MARSHALL STEAM STATION,TERRELL,NC,35.5983,-80.9636,DUKE ENERGY CORP,Electric Utilities,"Benzo[g,h,i]perylene",NO,YES,PBT,NO,YES,NO,2.12
CONTITECH USA INC,LINCOLN,NE,40.85286,-96.64413,CONTITECH N.A. INC,Plastics and Rubber,Zinc compounds,NO,NO,TRI,NO,NO,NO,366201.6
MOSAIC FERTILIZER LLC-PLANT CITY,PLANT CITY,FL,28.167081,-82.155037,THE MOSAIC CO,Chemicals,Hydrogen fluoride,NO,YES,TRI,NO,NO,NO,602820.97
HP HOOD LLC,WINCHESTER,VA,39.128193,-78.190836,HP HOOD LLC,Food,Ammonia,NO,NO,TRI,NO,NO,NO,516.0
