FACILITY NAME,CITY,ST,LATITUDE,LONGITUDE,PARENT CO NAME,INDUSTRY SECTOR,CHEMICAL,ELEMENTAL METAL INCLUDED,CLEAN AIR ACT CHEMICAL,CLASSIFICATION,CARCINOGEN,PBT,PFAS,TOTAL POLLUTION
NIAGARA NATIONAL LLC,ATLANTA,GA,33.817942,-84.433582,NIAGARA NATIONAL LLC,Chemicals,"1,1,1-Trichloroethane",NO,YES,TRI,NO,NO,NO,2250.75
NICCA USA INC,FOUNTAIN INN,SC,34.670824,-82.187186,,Chemicals,Methanol,NO,YES,TRI,NO,NO,NO,1038.0
PCS JOINT VENTURE,MOULTRIE,GA,31.183056,-83.784722,PCS JOINT VENTURE LTD,Chemicals,Phosphoric acid,NO,NO,TRI,NO,NO,NO,1200.37
UNILEVER HPC USA,CHICAGO,IL,41.907148,-87.738361,UNILEVER US INC,Chemicals,Ammonia,NO,NO,TRI,NO,NO,NO,17060.010000000002
ALLESANDRO AUTOMATIC,LOS ANGELES,CA,34.10506,-118.2453,,Fabricated Metals,Copper,NO,NO,TRI,NO,NO,NO,86020.67
EUTECTIC CORP,FLUSHING,NY,40.7599,-73.794195,,Primary Metals,Chromium compounds (except for chromite ore mined in the Transvaal Region),NO,YES,TRI,NO,NO,NO,19999.8
EASTMAN KODAK CO EASTMAN BUSINESS PARK,ROCHESTER,NY,43.197788,-77.629836,EASTMAN KODAK CO,Chemicals,"N,N-Dimethylaniline",NO,YES,TRI,NO,NO,NO,1507.98
GROSCHOPP INC.,SIOUX CENTER,IA,43.09327,-96.17233,,Electrical Equipment,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,91775.22
PRYSMIAN CABLE & SYSTEMS LLC,MANCHESTER,NH,42.99397,-71.47268,PRYSMIAN CABLES & SYSTEMS (US) INC,Electrical Equipment,Antimony compounds,NO,YES,TRI,NO,NO,NO,9.07
GENERAL FOAM OF MINNESOTA INC,SAINT PAUL,MN,44.97729,-93.1766,FEDERAL INTL INC,Plastics and Rubber,Toluene diisocyanate (mixed isomers),NO,NO,TRI,YES,NO,NO,1500.91
ARKWRIGHT ADVANCED COATING INC,COVENTRY,RI,41.729233,-71.544106,DIATEC SPA,Chemicals,Methyl ethyl ketone,NO,NO,TRI,NO,NO,NO,2022251.23
PURINA ANIMAL NUTRITION LLC - LIMA,LIMA,OH,40.75186,-84.12777,LAND O LAKES INC,Food,Manganese compounds,NO,YES,TRI,NO,NO,NO,90.86
WALKER SYSTEMS INC,PARKERSBURG,WV,39.26224,-81.554,WIREMOLD CO INC,Electrical Equipment,Copper compounds,NO,NO,TRI,NO,NO,NO,53670.06
MIDWESTERN RUST PROOF INC,CHICAGO,IL,41.94753,-87.74055,,Fabricated Metals,Nitric acid,NO,NO,TRI,NO,NO,NO,44143.0
GOLDEN STATE VINTNERS,CUTLER,CA,36.48815,-119.2868,,Beverages,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,NO,TRI,NO,NO,NO,16.0
NESTLE USA INC,MODESTO,CA,37.62808,-120.92302,NESTLE USA INC,Food,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,NO,TRI,NO,NO,NO,0.0
LYONDELL CHEMICAL CO,CHANNELVIEW,TX,29.816654,-95.107603,LYONDELLBASELL FINANCE CO,Chemicals,Toluene,NO,YES,TRI,NO,NO,NO,39635146.46
CLARIANT CORP 12TH STREET FACILITY,LOUISVILLE,KY,38.233611,-85.7755,CLARIANT CORP,Chemicals,Copper compounds,NO,NO,TRI,NO,NO,NO,627945.22
WESTERN EL PASO REFINERY,EL PASO,TX,31.768889,-106.401667,WESTERN REFINING INC,Petroleum,"1,2-Dichloroethane",NO,YES,TRI,YES,NO,NO,2538.85
HARRIS PAINTS CORP.,BAYAMON,PR,18.392783,-66.164396,,Chemicals,Zinc compounds,NO,NO,TRI,NO,NO,NO,31.0
OWENS CORNING ROOFING & ASPHALT LLC,SAVANNAH,GA,32.10038,-81.14034,OWENS CORNING,Petroleum,Zinc compounds,NO,NO,TRI,NO,NO,NO,100350.73
LITTLER DIECAST CORP,ALBANY,IN,40.30369,-85.24347,LITTLER DIECAST CORP,Primary Metals,Beryllium,NO,YES,TRI,YES,NO,NO,12316.1
VENTRA CORP,COLUMBUS,IN,39.2202,-85.90496,,Transportation Equipment,Toluene,NO,YES,TRI,NO,NO,NO,285751.5
ALBAUGH INC.,SAINT JOSEPH,MO,39.72205,-94.87059,,Chemicals,"2,4-D",NO,YES,TRI,YES,NO,NO,69150.11
GREAT LAKES CHEMICAL CORP NEWELL PLANT,EL DORADO,AR,33.16615,-92.74477,GREAT LAKES CHEMICAL CORP,Chemicals,Chlorine,NO,YES,TRI,NO,NO,NO,125.91
OCCIDENTAL CHEMICAL CORP NIAGARA PLANT,NIAGARA FALLS,NY,43.086694,-79.003833,OCCIDENTAL CHEMICAL HOLDING CORP,Chemicals,n-Butyl alcohol,NO,NO,TRI,NO,NO,NO,1155.45
ROME CABLE CORP,ROME,NY,43.21149,-75.46677,ROME GROUP INC,Electrical Equipment,Lead,NO,NO,PBT,YES,YES,NO,224897.15
SHELL NORCO CHEMICAL PLANT WEST SITE,NORCO,LA,30.0053,-90.423,SHELL OIL CO,Chemicals,Styrene,NO,YES,TRI,YES,NO,NO,18561.5
DANFOSS-MOUNTAIN HOME,MOUNTAIN HOME,AR,36.315691,-92.383539,,Plastics and Rubber,Dibutyl phthalate,NO,YES,TRI,NO,NO,NO,928.61
FLEXAN CORP,CHICAGO,IL,41.9516,-87.79262,,Plastics and Rubber,Di(2-ethylhexyl) phthalate,NO,YES,TRI,YES,NO,NO,0.98
TYLER UNION,ANNISTON,AL,33.66626,-85.85367,MCWANE INC,Primary Metals,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,20335.0
CAPITAL RESIN CORP,COLUMBUS,OH,39.912778,-82.987222,,Chemicals,Formaldehyde,NO,YES,TRI,YES,NO,NO,219241.0
CAPITAL RESIN CORP,COLUMBUS,OH,39.912778,-82.987222,,Chemicals,"1,2,4-Trimethylbenzene",NO,NO,TRI,NO,NO,NO,3505.0
VT HALTER MARINE-MPM OPERATIONS,ESCATAWPA,MS,30.453347,-88.556119,VT SYSTEMS,Transportation Equipment,Methyl ethyl ketone,NO,NO,TRI,NO,NO,NO,108804.0
MAN-GILL CHEMICAL PAINT CO,BEDFORD,OH,41.37571,-81.52686,,Chemicals,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,74325.98
US ELECTRICAL MOTORS,PHILADELPHIA,MS,32.795519,-89.111972,EMERSON ELECTRIC CO,Electrical Equipment,Copper,NO,NO,TRI,NO,NO,NO,1703548.03
ALPHA METALS,JERSEY CITY,NJ,40.71614,-74.09553,COOKSON AMERICA INC,Primary Metals,Lead,NO,NO,PBT,YES,YES,NO,530995.12
WEBER-STEPHEN PRODUCTS LLC PALATINE BUILDING 200,PALATINE,IL,42.106452,-88.03818,WEBER-STEPHEN PRODUCTS LLC,Fabricated Metals,Chromium,NO,YES,TRI,NO,NO,NO,1.05
DURA AUTOMOTIVE SYSTEMS INC HANNIBAL CABLE NORTH,HANNIBAL,MO,39.690021,-91.401629,HIDDEN CREEK INDUSTRIES,Transportation Equipment,Chromium,NO,YES,TRI,NO,NO,NO,33.5
SHELL CHEMICAL LP,GEISMAR,LA,30.184161,-90.992889,SHELL PETROLEUM INC,Chemicals,Cobalt compounds,NO,YES,TRI,YES,NO,NO,204301.14
ESSICK AIR PRODUCTS,LITTLE ROCK,AR,34.695306,-92.315028,ESSICK AIR PRODUCTS INC,Machinery,Trichloroethylene,NO,YES,TRI,YES,NO,NO,224901.0
