FACILITY NAME,CITY,ST,LATITUDE,LONGITUDE,PARENT CO NAME,INDUSTRY SECTOR,CHEMICAL,ELEMENTAL METAL INCLUDED,CLEAN AIR ACT CHEMICAL,CLASSIFICATION,CARCINOGEN,PBT,PFAS,TOTAL POLLUTION
SILGAN CLOSURES LLC #35,CHICAGO,IL,41.913634,-87.766891,SILGAN HOLDINGS INC,Fabricated Metals,Ethylbenzene,NO,YES,TRI,YES,NO,NO,46525.91
ALLEGHENY LUDLUM LLC,NEW CASTLE,IN,39.932194,-85.391889,ALLEGHENY TECHNOLOGIES INC,Primary Metals,Manganese compounds,NO,YES,TRI,NO,NO,NO,736056.0
KLEEN BRITE LABORATORIES INC,ROCHESTER,NY,43.16385,-77.63018,,Chemicals,Methanol,NO,YES,TRI,NO,NO,NO,57204.7
US DOD USAF TINKER AFB,TINKER AFB,OK,35.413,-97.388,US DEPARTMENT OF DEFENSE,Other,Nickel,NO,YES,TRI,YES,NO,NO,4044.08
PENFLEX,FRAZER,PA,40.042824,-75.529721,PENFLEX CORP,Machinery,Nickel,NO,YES,TRI,YES,NO,NO,14745.1
BAKELITE CHEMICALS  LLC,EUGENE,OR,44.101786,-123.168537,BAKELITE LLC,Chemicals,Ethylene glycol,NO,YES,TRI,NO,NO,NO,101.0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,CARSON,CA,33.815889,-118.243953,TESORO CORP,Chemicals,Benzene,NO,YES,TRI,YES,NO,NO,15462.12
PREMDOR ENTRY SYS,OCALA,FL,29.17519,-82.149258,PREMDOR INC,Fabricated Metals,"1,1-Dichloro-1-fluoroethane (HCFC-141b)",NO,NO,TRI,NO,NO,NO,36911.05
RESINALL CORP,HATTIESBURG,MS,31.293779,-89.273512,ERGON INC,Chemicals,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,670864.4099999999
EATON - ARDEN NC ASHEVILLE,ARDEN,NC,35.46985,-82.53233,EATON CORP,Electrical Equipment,Copper,NO,NO,TRI,NO,NO,NO,150.1
"REP MEMPHIS, LLC",MEMPHIS,TN,35.10715,-90.09426,,Primary Metals,Nitric acid,NO,NO,TRI,NO,NO,NO,0.0
CHEMSTATION OF SOUTH TEXAS,HOUSTON,TX,29.76804,-95.147201,,Chemicals,Certain glycol ethers,NO,YES,TRI,NO,NO,NO,1550.65
MATERION ADVANCED CHEMICALS,MILWAUKEE,WI,43.0349,-87.92815,MATERION CORP,Chemicals,Zinc compounds,NO,NO,TRI,NO,NO,NO,10029.89
BUCKEYE CARIBBEAN TERMINALS LLC (FORMER SCYI),YABUCOA,PR,18.046899,-65.85116,BUCKEYE PARTNERS LP,Petroleum,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,51416.02
CONEX OF GEORGIA INC,GREENSBORO,GA,33.59071,-83.15857,,Plastics and Rubber,Di(2-ethylhexyl) phthalate,NO,YES,TRI,YES,NO,NO,0.05
