FACILITY NAME,CITY,ST,LATITUDE,LONGITUDE,PARENT CO NAME,INDUSTRY SECTOR,CHEMICAL,ELEMENTAL METAL INCLUDED,CLEAN AIR ACT CHEMICAL,CLASSIFICATION,CARCINOGEN,PBT,PFAS,TOTAL POLLUTION
TTM TECHNOLOGIES N.A. LLC,FOREST GROVE,OR,45.512892,-123.080928,TTM TECHNOLOGIES INC,Computers and Electronic Products,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,NO,TRI,NO,NO,NO,3928.89
GEORGIA PACIFIC  WOOD PRODUCTS  LLC  EMPORIA PLYWOOD,EMPORIA,VA,36.693816,-77.525617,KOCH INDUSTRIES INC,Wood Products,Methanol,NO,YES,TRI,NO,NO,NO,146001.0
SPANG & CO MAGNETICS DIV,EAST BUTLER,PA,40.87742,-79.847191,SPANG & CO,Computers and Electronic Products,Nickel compounds,NO,YES,TRI,YES,NO,NO,3078.75
NALCO FRESNO FACILITY,FRESNO,TX,29.54116,-95.44773,ECOLAB INC,Chemicals,Propylene oxide,NO,YES,TRI,YES,NO,NO,565.48
PCC WYMAN-GORDON/WILKES-BARRE,WILKES-BARRE,PA,41.23773,-75.89081,BERKSHIRE HATHAWAY INC,Transportation Equipment,Cobalt,NO,YES,TRI,YES,NO,NO,108539.84
CHEVRON RICHMOND TECHNOLOGY CENTER,RICHMOND,CA,37.93047,-122.38944,CHEVRON CORP,Other,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,YES,TRI,NO,NO,NO,359.53
AMEREN MISSOURI MERAMEC ENERGY CENTER,SAINT LOUIS,MO,38.40212,-90.335953,AMEREN CORP,Electric Utilities,Vanadium compounds,NO,NO,TRI,NO,NO,NO,24850.63
HERITAGE THERMAL SERVICES,EAST LIVERPOOL,OH,40.631622,-80.54632,HERITAGE-WTI LLC,Hazardous Waste,Diaminotoluene (mixed isomers),NO,NO,TRI,YES,NO,NO,47352.509999999995
BOARDMAN PLANT,BOARDMAN,OR,45.695659,-119.801102,PORTLAND GENERAL ELECTRIC,Electric Utilities,Lead compounds,NO,YES,PBT,NO,YES,NO,29716.475
PAC RANCHO FOUNDRY,RANCHO CUCAMONGA,CA,34.0946,-117.56449,CFCH HOLDINGS INC,Primary Metals,Chromium,NO,YES,TRI,NO,NO,NO,947.66
THE DOW CHEMICAL CO - LOUISIANA OPERATIONS,PLAQUEMINE,LA,30.320903,-91.239015,DOW INC,Chemicals,Molybdenum trioxide,NO,NO,TRI,YES,NO,NO,1.0
SAFETY-KLEEN SYSTEMS BLAINE (BLA),BLAINE,MN,45.13847,-93.22392,CLEAN HARBORS INC,Hazardous Waste,"Benzo[g,h,i]perylene",NO,YES,PBT,NO,YES,NO,568.3699999999999
WWF OPERATING CO,MOUNT CRAWFORD,VA,38.366389,-78.937778,DANONE N.A. PUBLIC BENEFIT CORP,Food,Nitric acid,NO,NO,TRI,NO,NO,NO,455697.25
DOMTAR AW LLC NEKOOSA MILL,NEKOOSA,WI,44.3143,-89.8962,DOMTAR CORP,Paper,Dioxin and dioxin-like compounds,NO,YES,Dioxin,YES,YES,NO,0.01650819456
SUPERIOR TUBE CO INC,COLLEGEVILLE,PA,40.184927,-75.434621,AMETEK INC,Primary Metals,Nickel,NO,YES,TRI,YES,NO,NO,70276.83
CANFIELD TECHNOLOGIES LLC,SAYREVILLE,NJ,40.47425,-74.31874,,Primary Metals,Lead,NO,NO,PBT,YES,YES,NO,26195.0
VP RACING FUELS,NEWARK,DE,39.64837,-75.72869,VP RACING FUELS INC,Petroleum,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,0.0
CREATIVE FOAM MEDICAL SYSTEMS,BREMEN,IN,41.44875,-86.17054,CREATIVE FOAM CORP,Plastics and Rubber,Toluene,NO,YES,TRI,NO,NO,NO,117888.93
TESSENDERLO KERLEY INC FRESNO PLANT,FRESNO,CA,36.67819,-119.69202,TESSENDERLO KERLEY INC,Chemicals,Propanil,NO,NO,TRI,NO,NO,NO,0.0
TEXTRON AVIATION/MCCAULEY FACILITY,COLUMBUS,GA,32.51349,-84.87934,TEXTRON INC,Transportation Equipment,Copper compounds,NO,NO,TRI,NO,NO,NO,60255.58500000001
TORCH SURFACE TECHNOLOGIES,WHITMORE LAKE,MI,42.447285,-83.764087,,Chemicals,Sodium nitrite,NO,NO,TRI,NO,NO,NO,0.0
FHP MANUFACTURING CO,FORT LAUDERDALE,FL,26.20746,-80.15228,,Machinery,Copper,NO,NO,TRI,NO,NO,NO,375026.03
OVERHEAD DOOR CORP-PENNSYLVANIA DIV,LEWISTOWN,PA,40.57356,-77.61688,OVERHEAD DOOR CORP,Fabricated Metals,Diisocyanates,NO,NO,TRI,NO,NO,NO,0.0
NEW ENGLAND WIRE TECHNOLOGIES,LISBON,NH,44.21558,-71.90625,MJM HOLDINGS INC,Primary Metals,Copper,NO,NO,TRI,NO,NO,NO,1447004.95
CARGILL FEED & NUTRITION MENTONE,MENTONE,IN,41.17393,-86.04459,CARGILL INC,Food,Manganese compounds,NO,YES,TRI,NO,NO,NO,0.0
TYSON FRESH MEATS INC WWTP,DAKOTA CITY,NE,42.428812,-96.419768,TYSON FOODS INC,Other,Certain glycol ethers,NO,YES,TRI,NO,NO,NO,56140.98
DOREMUS TERMINAL LLC,NEWARK,NJ,40.72865,-74.12194,,Chemical Wholesalers,Ethylene glycol,NO,YES,TRI,NO,NO,NO,0.0
CLEVELAND-CLIFFS STEEL CORP (ROCKPORT WORKS ),ROCKPORT,IN,37.9849,-87.0259,CLEVELAND-CLIFFS INC,Primary Metals,Sodium nitrite,NO,NO,TRI,NO,NO,NO,6471292.01
NOBERT PLATING PLANT 1,CHICAGO,IL,41.887629,-87.667374,NOBERT PLATING CO,Fabricated Metals,Lead compounds,NO,YES,PBT,NO,YES,NO,5904.18
3M CHEMICAL OPERATIONS' DECATUR FACILITY,DECATUR,AL,34.641667,-87.038611,3M CO,Chemicals,Ethylene glycol,NO,YES,TRI,NO,NO,NO,43773251.2
CHAMPION HOME BUILDERS INC,YORK,NE,40.89565,-97.58998,CHAMPION HOME BUILDERS INC,Wood Products,Diisocyanates,NO,NO,TRI,NO,NO,NO,0.0
SHAW MODULAR SOLUTIONS,LAKE CHARLES,LA,30.110144,-93.276949,MCDERMOTT INTERNATIONAL INC.,Fabricated Metals,Chromium,NO,YES,TRI,NO,NO,NO,1006635.02
