FACILITY NAME,CITY,ST,LATITUDE,LONGITUDE,PARENT CO NAME,INDUSTRY SECTOR,CHEMICAL,ELEMENTAL METAL INCLUDED,CLEAN AIR ACT CHEMICAL,CLASSIFICATION,CARCINOGEN,PBT,PFAS,TOTAL POLLUTION
US DOD USAF ARNOLD AFB,ARNOLD AFB,TN,35.3778,-86.0456,US DEPARTMENT OF DEFENSE,Other,Lead,NO,NO,PBT,YES,YES,NO,21707.0
WEST FRASER TEXAS JEFFERSON OSB,JEFFERSON,TX,32.776913,-94.359039,WEST FRASER TIMBER CO LTD,Wood Products,Methanol,NO,YES,TRI,NO,NO,NO,49996.02
RAYONIER PERFORMANCE FIBERS LLC FERNANDINA PLANT,FERNANDINA BEACH,FL,30.662356,-81.47105,RAYONIER ADVANCED MATERIALS INC,Paper,Manganese  And Manganese Compounds,YES,YES,TRI,NO,NO,NO,21692.550000000003
KEYSTONE RV CO,GOSHEN,IN,41.54646,-85.79733,THOR INDUSTRIES INC,Transportation Equipment,Diisocyanates,NO,NO,TRI,NO,NO,NO,351.04
CHEVRON PRODUCTS CO PASCAGOULA REFINERY,PASCAGOULA,MS,30.343733,-88.4938,CHEVRON CORP,Petroleum,Naphthalene,NO,YES,TRI,YES,NO,NO,29830.2
EL DORADO NITROGEN LLC,BAYTOWN,TX,29.762778,-94.909722,LSB INDUSTRIES INC,Chemicals,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,NO,TRI,NO,NO,NO,47290.93
COLONIAL TANK FARM,BEAUMONT,TX,29.972336,-94.053349,EXXON MOBIL CORP,Petroleum Bulk Terminals,"Benzo[g,h,i]perylene",NO,YES,PBT,NO,YES,NO,0.805
EES COKE BATTERY LLC,RIVER ROUGE,MI,42.283105,-83.113962,DTE ENERGY CO,Petroleum,Manganese compounds,NO,YES,TRI,NO,NO,NO,0.0
PHILLIPS 66 CO-BAYWAY REFINERY,LINDEN,NJ,40.640135,-74.21888,PHILLIPS 66,Petroleum,Naphthalene,NO,YES,TRI,YES,NO,NO,31866.29
SCHERER STEAM ELECTRIC GENERATING PLANT,JULIETTE,GA,33.0613,-83.8066,SOUTHERN CO CO-OWNED,Electric Utilities,Copper  And Copper Compounds,YES,NO,TRI,NO,NO,NO,78001.41
EASTMAN CHEMICAL CO TEXAS OPERATIONS,LONGVIEW,TX,32.438056,-94.69,EASTMAN CHEMICAL CO,Chemicals,Certain glycol ethers,NO,YES,TRI,NO,NO,NO,84670.95999999999
ALTIVIA SPECIALTY CHEMICALS LLC,LA PORTE,TX,29.654833,-95.036528,ALTIVIA SPECIALTY CHEMICALS LLC,Chemicals,Methanol,NO,YES,TRI,NO,NO,NO,1193814.44
CHART  INC,BALL GROUND,GA,34.29775,-84.42105,CHART INDUSTRIES INC,Fabricated Metals,Copper,NO,NO,TRI,NO,NO,NO,0.0
NORTHWEST PIPE CO,SAGINAW,TX,32.84778,-97.36846,NORTHWEST PIPE CO,Primary Metals,Diisocyanates,NO,NO,TRI,NO,NO,NO,0.0
LUBRIZOL CORP PAINESVIL LE PLANT,PAINESVILLE,OH,41.720278,-81.273611,BERKSHIRE HATHAWAY INC,Chemicals,Methanol,NO,YES,TRI,NO,NO,NO,1759653.2999999998
US ARMY NATIONAL GUARD CAMP SWIFT RANGES,BASTROP,TX,30.2214,-97.31316,US DEPARTMENT OF DEFENSE,Other,Lead,NO,NO,PBT,YES,YES,NO,10291.079999999998
AVIENT COLORANTS USA LLC - MINNEAPOLIS FACILITY,NEW HOPE,MN,45.05361,-93.39454,AVIENT CORP,Chemicals,Zinc compounds,NO,NO,TRI,NO,NO,NO,34529.2
PRIDE SOLVENTS & CHEMICAL CO OF NEW JERSEY,AVENEL,NJ,40.59741,-74.25741,PRIDE SOLVENTS & CHEMICAL CO,Chemical Wholesalers,Methanol,NO,YES,TRI,NO,NO,NO,3896.9
DEER PARK REFINING LP,DEER PARK,TX,29.722222,-95.126944,P.M.I. SERVICES N.A. INC.,Petroleum,Acetophenone,NO,YES,TRI,NO,NO,NO,12801.0
MONUMENT CHEMICAL PORT ARTHUR LLC,PORT ARTHUR,TX,29.825641,-93.965034,MONUMENT CHEMICAL LLC,Chemicals,"1,2,4-Trimethylbenzene",NO,NO,TRI,NO,NO,NO,5298.37
WESTLAKE US 2 LLC,WESTLAKE,LA,30.2235,-93.2869,WESTLAKE CORP,Chemicals,Silver,NO,NO,TRI,NO,NO,NO,0.0
AMPHENOL BORISCH TECHNOLOGIES,GRAND RAPIDS,MI,42.88128,-85.56686,AMPHENOL CORP,Computers and Electronic Products,Lead,NO,NO,PBT,YES,YES,NO,0.0
RELADYNE INC.,JASPER,AL,33.82808,-87.2644,RELADYNE LLC,Petroleum Bulk Terminals,"1,2,4-Trimethylbenzene",NO,NO,TRI,NO,NO,NO,0.0
PRYSMIAN CABLES & SYSTEMS USA LLC,DU QUOIN,IL,37.982249,-89.235147,PRYSMIAN CABLES & SYSTEMS (US) INC,Electrical Equipment,Lead  And Lead Compounds,YES,YES,PBT,NO,YES,NO,26755.171
SENNECA HOLDINGS (HMF EXPRESS),WILMINGTON,NC,34.304473,-77.868614,SENNECA HOLDINGS,Fabricated Metals,Chromium,NO,YES,TRI,NO,NO,NO,284330.3
PACIFICORP WYODAK PLANT,GILLETTE,WY,44.291971,-105.380173,BERKSHIRE HATHAWAY INC,Electric Utilities,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,NO,TRI,NO,NO,NO,108109.46
SWAGELOK MANUFACTURING CO LLC,SOLON,OH,41.39497,-81.46894,SWAGELOK CO,Machinery,Manganese,NO,YES,TRI,NO,NO,NO,557269.04
CRANE COMPOSITES INC.,FLORENCE,KY,38.97534,-84.62363,CRANE CO,Plastics and Rubber,Cumene hydroperoxide,NO,NO,TRI,NO,NO,NO,13375.05
TXI-RICHARDSON READY MIX,RICHARDSON,TX,32.96064,-96.71575,MARTIN MARIETTA MATERIALS INC,Nonmetallic Mineral Product,Lead compounds,NO,YES,PBT,NO,YES,NO,15.63
HF SINCLAIR PARCO REFINING LLC,SINCLAIR,WY,41.77899,-107.104,HF SINCLAIR CORP,Petroleum,Ethylbenzene,NO,YES,TRI,YES,NO,NO,22880.08
SIPI METALS CORP.,CHICAGO,IL,41.913364,-87.664551,,Primary Metals,Nickel,NO,YES,TRI,YES,NO,NO,2196.83
MEMPHIS CELLULOSE LLC,MEMPHIS,TN,35.159551,-89.959858,KOCH INDUSTRIES INC,Paper,Methanol,NO,YES,TRI,NO,NO,NO,270947.36
US DOD USAF GRISSOM ARB,GRISSOM ARB,IN,40.662773,-86.158093,US DEPARTMENT OF DEFENSE,Other,Naphthalene,NO,YES,TRI,YES,NO,NO,20.63
LINDE GAS & EQUIPMENT INC.,MORRISVILLE,PA,40.17918,-74.76473,LINDE INC,Chemical Wholesalers,Ethylene oxide,NO,YES,TRI,YES,NO,NO,1277.3000000000002
BP CHERRY POINT REFINERY,BLAINE,WA,48.884,-122.735,BP PRODUCTS NA INC,Petroleum,Hydrogen sulfide,NO,NO,TRI,NO,NO,NO,365599.05
BRENNTAG MID-SOUTH INC.,KENNESAW,GA,34.03992,-84.6162,BRENNTAG N.A. INC,Chemical Wholesalers,Methanol,NO,YES,TRI,NO,NO,NO,0.0
FLINT HILLS RESOURCES CORPUS CHRISTI LLC - EAST PLANT,CORPUS CHRISTI,TX,27.801778,-97.423972,KOCH INDUSTRIES INC,Petroleum,"1,3-Butadiene",NO,YES,TRI,YES,NO,NO,9898.05
ISP CHEMICALS LLC,CALVERT CITY,KY,37.047737,-88.35866,ASHLAND LLC,Chemicals,Maleic anhydride,NO,YES,TRI,NO,NO,NO,11472.28
TREE TOP INC - SELAH PLANT,SELAH,WA,46.64875,-120.52686,TREE TOP INC,Food,Nitric acid,NO,NO,TRI,NO,NO,NO,135597.0
AZZ GALVANIZING SERVICES-JOLIET,JOLIET,IL,41.5036,-88.06333,AZZ INC,Fabricated Metals,Lead,NO,NO,PBT,YES,YES,NO,112.535
ENTEGRIS INC.,CHESTER,PA,39.840652,-75.368238,ENTEGRIS INC,Chemicals,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,175220.85
READING TRUCK BODY,READING,PA,40.317808,-75.941817,JB POINDEXTER & CO INC,Transportation Equipment,Diisocyanates,NO,NO,TRI,NO,NO,NO,0.08
ARDAGH GLASS INC,DOLTON,IL,41.642117,-87.599663,ARDAGH HOLDINGS USA INC,Nonmetallic Mineral Product,Ammonia,NO,NO,TRI,NO,NO,NO,14305.98
ALBEMARLE U.S. INC.,NEW JOHNSONVILLE,TN,35.997342,-87.981733,ALBEMARLE CORP,Chemicals,n-Hexane,NO,YES,TRI,NO,NO,NO,286688.19
SHURTAPE TECHNOLOGIES LLC - HICKORY TAPE PLANT,HICKORY,NC,35.738,-81.309,STM INC,Paper,Zinc compounds,NO,NO,TRI,NO,NO,NO,3304.15
HINO MOTORS MANUFACTURING USA INC.,MINERAL WELLS,WV,39.209743,-81.524367,,Transportation Equipment,Ethylene glycol,NO,YES,TRI,NO,NO,NO,88142.38
CCM - WELLS,WELLS,MN,43.744636,-93.722747,CEMSTONE CONCRETE MATERIALS,Nonmetallic Mineral Product,Lead,NO,NO,PBT,YES,YES,NO,1.2
CARGILL FEED & NUTRITION ROANOKE,VINTON,VA,37.27917,-79.90889,CARGILL INC,Food,Manganese compounds,NO,YES,TRI,NO,NO,NO,0.0
CORNERSTONE CHEMICAL CO,WESTWEGO,LA,29.958889,-90.270472,CSTN HOLDINGS INC,Chemicals,Cyanide compounds,NO,YES,TRI,NO,NO,NO,2809295.4699999997
3M CO H & CC DIV,PRAIRIE DU CHIEN,WI,43.065614,-91.136424,3M CO,Nonmetallic Mineral Product,Diisocyanates,NO,NO,TRI,NO,NO,NO,3301.2000000000003
STEEL TECHNOLOGIES LLC,GREENSBURG,IN,39.35566,-85.46781,NUMIT LLC,Primary Metals,Nickel,NO,YES,TRI,YES,NO,NO,7966.1
TEXAS PMW LLC,HOUSTON,TX,29.75893,-95.29499,PW FORGING GROUP HOLDING INC.,Fabricated Metals,Chromium,NO,YES,TRI,NO,NO,NO,73160.57
OTTER TAIL POWER CO COYOTE STATION,BEULAH,ND,47.2217,-101.8139,OTTER TAIL CORP,Electric Utilities,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,NO,TRI,NO,NO,NO,88529.03
GIBRALTAR CHEMICAL WORKS INC,SOUTH HOLLAND,IL,41.591605,-87.614045,GIBRALTAR CHEMICAL WORKS INC,Chemicals,Methyl isobutyl ketone,NO,YES,TRI,YES,NO,NO,28206.1
FLINT HILLS RESOURCES PINE BEND LLC MARSHALL,MARSHALL,MN,44.46068,-95.78854,KOCH INDUSTRIES INC,Petroleum,"1,2,4-Trimethylbenzene",NO,NO,TRI,NO,NO,NO,0.0
ADM DECATUR COMPLEX,DECATUR,IL,39.863648,-88.883624,ARCHER DANIELS MIDLAND CO,Food,Zinc compounds,NO,NO,TRI,NO,NO,NO,626.0
KOCH-GLITSCH LP,WICHITA,KS,37.75228,-97.28994,KOCH INDUSTRIES INC,Fabricated Metals,Nickel,NO,YES,TRI,YES,NO,NO,601175.96
BOISE FACILITY,BOISE,ID,43.559908,-116.251295,,Petroleum,Mercury  And Mercury Compounds,YES,YES,PBT,NO,YES,NO,1.12
CUSTOM CRAFT POULTRY LLC,BATESVILLE,AR,35.807527,-91.606553,,Food,Peracetic acid,NO,NO,TRI,NO,NO,NO,11843.084
ESSITY OPERATIONS WAUSAU LLC,MIDDLETOWN,OH,39.521,-84.40502,WAUSAU PAPER CORP,Paper,Lead  And Lead Compounds,YES,YES,PBT,NO,YES,NO,86.46000000000001
OHIO REFINING CO,OREGON,OH,41.679167,-83.449722,CENOVUS ENERGY INC,Petroleum,Cresol (mixed isomers),NO,YES,TRI,NO,NO,NO,120455.92
POLYNT COMPOSITES USA INC.,JACKSONVILLE,FL,30.326893,-81.745758,POLYNT COMPOSITES USA INC,Chemicals,"1,4-Dioxane",NO,YES,TRI,YES,NO,NO,64295.16
HOOVER TREATED WOOD PRODUCTS INC.,OXFORD,PA,39.76868,-75.9842,GRAHAM HOLDINGS CO,Wood Products,Copper compounds,NO,NO,TRI,NO,NO,NO,0.0
BOEING COMMERCIAL AIRPLANES - AUBURN,AUBURN,WA,47.283625,-122.24277,THE BOEING CO,Transportation Equipment,Chromium compounds (except for chromite ore mined in the Transvaal Region),NO,YES,TRI,NO,NO,NO,523616.36
FORD MOTOR COMPANY--KANSAS CITY ASSEMBLY PLANT,CLAYCOMO,MO,39.203562,-94.479326,FORD MOTOR CO,Transportation Equipment,Lead,NO,NO,PBT,YES,YES,NO,6032.509999999999
WHITEWAVE FOODS DALLAS,DALLAS,TX,32.7044,-96.9192,WWF OPERATING CO,Food,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,NO,TRI,NO,NO,NO,2418577.7800000003
OLDCASTLE LAWN & GARDEN,QUAKERTOWN,PA,40.46402,-75.33649,CRH AMERICAS INC,Wood Products,Lead compounds,NO,YES,PBT,NO,YES,NO,0.7
GARMIN AT INC.,SALEM,OR,44.90772,-122.99346,GARMIN INTERNATIONAL INC,Computers and Electronic Products,Lead,NO,NO,PBT,YES,YES,NO,7102.76
SOUTH NORMAN BATCH PLANT,NORMAN,OK,35.16949,-97.40922,DOLESE BROS CO,Nonmetallic Mineral Product,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,NO,TRI,NO,NO,NO,1.0
XEROX JOSEPH C WILSON CTR FOR TECHNOLOGY,WEBSTER,NY,43.227834,-77.411534,XEROX HOLDINGS CORP,Machinery,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,NO,TRI,NO,NO,NO,305981.18700000003
ONLINE PACKAGING INC,PLOVER,WI,44.45108,-89.575916,,Chemicals,Ammonia,NO,NO,TRI,NO,NO,NO,535.95
STANDARD MATERIALS GROUP INC. BROKEN ARROW READY MIX,BROKEN ARROW,OK,36.046458,-95.771722,CRH AMERICAS INC,Nonmetallic Mineral Product,Lead  And Lead Compounds,YES,YES,PBT,NO,YES,NO,102.35
E. C. GASTON ELECTRIC GENERATING PLANT,WILSONVILLE,AL,33.243803,-86.459093,SOUTHERN CO,Electric Utilities,Barium  And Barium Compounds,YES,NO,TRI,NO,NO,NO,619461.4
TOWERJAZZ TEXAS,SAN ANTONIO,TX,29.47154,-98.67401,,Computers and Electronic Products,Nitric acid,NO,NO,TRI,NO,NO,NO,400.9
TESORO - ANCHORAGE TERMINAL,ANCHORAGE,AK,61.229579,-149.893094,MARATHON PETROLEUM CORP,Petroleum Bulk Terminals,Polycyclic aromatic compounds,NO,YES,PBT,YES,YES,NO,80.87
ELECTRIC BOAT CORP,GROTON,CT,41.350752,-72.082098,GENERAL DYNAMICS CORP,Transportation Equipment,Copper compounds,NO,NO,TRI,NO,NO,NO,393543.4499999999
INDORAMA VENTURES,DECATUR,AL,34.6415,-87.0589,INDORAMA VENTURES PUBLIC CO LTD,Chemicals,Chromium compounds (except for chromite ore mined in the Transvaal Region),NO,YES,TRI,NO,NO,NO,19231.04
EVONIK CORP,MAPLETON,IL,40.564778,-89.724612,EVONIK CORP,Chemicals,Zinc compounds,NO,NO,TRI,NO,NO,NO,346746.33
CLEAN HARBORS GRASSY MOUNTAIN LLC,GRANTSVILLE,UT,40.825001,-113.208334,CLEAN HARBORS INC,Hazardous Waste,Mercury  And Mercury Compounds,YES,YES,PBT,NO,YES,NO,5725.095
RELEASE BOATS LLC,OPA LOCKA,FL,25.889602,-80.271601,,Transportation Equipment,Styrene,NO,YES,TRI,YES,NO,NO,0.0
TAC MANUFACTURING INC,JACKSON,MI,42.2748,-84.4741,,Transportation Equipment,Copper,NO,NO,TRI,NO,NO,NO,149067.816
WYNNEWOOD REFINING CO,WYNNEWOOD,OK,34.6289,-97.1685,CVR ENERGY INC,Petroleum,Hydrogen sulfide,NO,NO,TRI,NO,NO,NO,56211807.0
TESSENDERLO KERLEY INC.,COFFEYVILLE,KS,37.048587,-95.611253,TESSENDERLO KERLEY INC,Chemicals,Hydrogen sulfide,NO,NO,TRI,NO,NO,NO,163371.16
EXXONMOBIL REFINING & SUPPLY BAYTOWN REFINERY (PART),BAYTOWN,TX,29.739444,-95.006944,EXXON MOBIL CORP,Petroleum,Polycyclic aromatic compounds,NO,YES,PBT,YES,YES,NO,758627.96
TILCON CONNECTICUT INC,MANCHESTER,CT,41.79498,-72.53692,CRH AMERICAS INC,Petroleum,"Benzo[g,h,i]perylene",NO,YES,PBT,NO,YES,NO,1.21
MAR-BAL PULTRUSION INC.,WILLOUGHBY,OH,41.650095,-81.403232,,Plastics and Rubber,Styrene,NO,YES,TRI,YES,NO,NO,30201.47
MARTIN LAKE STEAM ELECTRIC STATION & LIGNITE MINE,TATUM,TX,32.259653,-94.570331,VISTRA CORP,Electric Utilities,Manganese compounds,NO,YES,TRI,NO,NO,NO,1445496.15
ID CASTINGS,MARTINSVILLE,IL,39.332108,-87.884251,CROWN EQUIPMENT CORP,Primary Metals,Lead,NO,NO,PBT,YES,YES,NO,800.3600000000001
TYSON CHICKEN INC. PROCESSING & RENDERING,ROBARDS,KY,37.656628,-87.51415,TYSON FOODS INC,Food,Peracetic acid,NO,NO,TRI,NO,NO,NO,701450.9199999999
HYDRO ALUMINUM,COMMERCE,TX,33.22483,-95.88733,HYDRO ALUMINUM METALS USA LLC,Primary Metals,Dioxin and dioxin-like compounds,NO,YES,Dioxin,YES,YES,NO,0.0589515388
PILGRIM'S PRIDE CORP NACOGDOCHES FEED MILL,NACOGDOCHES,TX,31.575556,-94.636667,JBS USA FOOD CO,Food,Zinc compounds,NO,NO,TRI,NO,NO,NO,0.0
OAK CREEK SITE,OAK CREEK,WI,42.8457,-87.8294,WEC ENERGY GROUP,Electric Utilities,Barium compounds (except for barium sulfate (CAS No. 7727-43-7)),NO,NO,TRI,NO,NO,NO,2650213.13
CENTRAL WIRE INC,FOND DU LAC,WI,43.73378,-88.46716,CENTRAL WIRE,Primary Metals,Hydrogen fluoride,NO,YES,TRI,NO,NO,NO,25451.11
EQ DETROIT INC,DETROIT,MI,42.36591,-83.04774,REPUBLIC SERVICES INC,Hazardous Waste,Styrene,NO,YES,TRI,YES,NO,NO,121027.2
EQ DETROIT INC,DETROIT,MI,42.36591,-83.04774,REPUBLIC SERVICES INC,Hazardous Waste,Polychlorinated biphenyls,NO,YES,PBT,YES,YES,NO,126.92
DELTA WESTERN LLC JUNEAU BULK FACILITY,JUNEAU,AK,58.288894,-134.390232,NORTHSTAR ENERGY LLC,Petroleum Bulk Terminals,Ethylbenzene,NO,YES,TRI,YES,NO,NO,10323.9
COLLINS PINE CO CHESTER SAWMILL,CHESTER,CA,40.30113,-121.23608,COLLINS PINE CO,Wood Products,Lead  And Lead Compounds,YES,YES,PBT,NO,YES,NO,428.2
SPEER CARBON CO LLC,SAINT MARYS,PA,41.43052,-78.54604,HELWIG CARBON PRODUCTS INC,Electrical Equipment,Copper,NO,NO,TRI,NO,NO,NO,131.2
ABBOTT LABORATORIES,TIPP CITY,OH,39.970289,-84.202775,ABBOTT LABORATORIES,Food,Nitric acid,NO,NO,TRI,NO,NO,NO,108433.2
SHERWIN-WILLIAMS CO,GREENSBORO,NC,36.07644,-79.91277,THE SHERWIN-WILLIAMS CO,Chemicals,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,549262.09
WESTROCK LONGVIEW LLC,LONGVIEW,WA,46.10361,-122.92167,WESTROCK CO,Paper,Phenol,NO,YES,TRI,NO,NO,NO,141224.51
TITAN WHEEL CORP OF ILLINOIS,QUINCY,IL,39.947013,-91.369954,TITAN INTERNATIONAL INC,Fabricated Metals,Manganese  And Manganese Compounds,YES,YES,TRI,NO,NO,NO,649886.38
ERGON ASPHALT & EMULSIONS INC. - LAWTON,LAWTON,OK,34.60236,-98.50481,ERGON INC.,Petroleum,"Benzo[g,h,i]perylene",NO,YES,PBT,NO,YES,NO,2.49
US NAVY PSNS & IMF - BREMERTON SITE & NAVAL BASE KITSAP,BREMERTON,WA,47.558583,-122.645877,,Other,Copper,NO,NO,TRI,NO,NO,NO,2553624.0
GRAYSON LUMBER CORP,HOUSTON,AL,34.278401,-87.318155,,Wood Products,Lead,NO,NO,PBT,YES,YES,NO,904.53
SETCO INC,IDABEL,OK,33.883782,-94.84369,,Plastics and Rubber,Chromium,NO,YES,TRI,NO,NO,NO,1698.41
CENTRAL PLAINS CEMENT CO - SUGAR CREEK PLANT,SUGAR CREEK,MO,39.144325,-94.416723,EAGLE MATERIALS INC,Nonmetallic Mineral Product,Diethanolamine,NO,YES,TRI,NO,NO,NO,60.96
CHS INC.  LAUREL REFINERY,LAUREL,MT,45.65922,-108.76778,CHS INC,Petroleum,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,NO,TRI,NO,NO,NO,193145.98
BIG WEST OIL LLC,NORTH SALT LAKE,UT,40.838386,-111.921443,FJ MANAGEMENT INC,Petroleum,Ethylene,NO,NO,TRI,NO,NO,NO,12733104.03
UPM RAFLATAC INC,MILLS RIVER,NC,35.428889,-82.5497,UPM-KYMMENE,Paper,Ammonia,NO,NO,TRI,NO,NO,NO,134325.99
CALIFORNIA EXPANDED METALS CO,PITTSBURG,CA,38.01939,-121.87277,,Fabricated Metals,Lead,NO,NO,PBT,YES,YES,NO,0.86
EQUISTAR CHEMICALS CLINTON PLANT,CLINTON,IA,41.807,-90.296,LYONDELLBASELL FINANCE CO,Chemicals,Cyclohexane,NO,NO,TRI,NO,NO,NO,3550.7
VALERO WILMINGTON ASPHALT PLANT,WILMINGTON,CA,33.79699,-118.23971,VALERO ENERGY CORP,Petroleum,Ethylbenzene,NO,YES,TRI,YES,NO,NO,382.88
INTERFOR - THOMASTON DIV,THOMASTON,GA,32.929923,-84.277864,,Wood Products,Methanol,NO,YES,TRI,NO,NO,NO,130671.1
SEMINOLE GENERATING STATION,PALATKA,FL,29.733333,-81.633333,SEMINOLE ELECTRIC COOPERATIVE,Electric Utilities,Nickel  And Nickel Compounds,YES,YES,TRI,YES,NO,NO,75573.98999999999
HF SIINCLAIR TULSA REFINING LLC EAST FACILITY,TULSA,OK,36.1184,-96.0011,HF SINCLAIR CORP,Petroleum,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,131951.8
