FACILITY NAME,CITY,ST,LATITUDE,LONGITUDE,PARENT CO NAME,INDUSTRY SECTOR,CHEMICAL,ELEMENTAL METAL INCLUDED,CLEAN AIR ACT CHEMICAL,CLASSIFICATION,CARCINOGEN,PBT,PFAS,TOTAL POLLUTION
PRESTRESS SERVICES INDUSTRIES LLC - DECATUR BRANCH,DECATUR,IN,40.85818,-84.95843,,Nonmetallic Mineral Product,Cobalt,NO,YES,TRI,YES,NO,NO,0.0
FRONT LINE MANUFACTURING WARSAW,WARSAW,IN,41.262232,-85.894049,PATRICK INDUSTRIES,Plastics and Rubber,Cobalt compounds,NO,YES,TRI,YES,NO,NO,0.0
TENNESSEE TANNING CO,TULLAHOMA,TN,35.3715,-86.21812,RAWLINGS SPORTING GOODS CO,Leather,Chromium,NO,YES,TRI,NO,NO,NO,6251.0
MCCAIN FOODS USA INC,WISCONSIN RAPIDS,WI,44.454601,-89.540802,MCCAIN FOODS USA INC,Food,Hydrogen sulfide,NO,NO,TRI,NO,NO,NO,1451.13
MICHELIN N.A. INC,GREENVILLE,SC,34.73585,-82.37715,MICHELIN N.A. INC,Plastics and Rubber,Cobalt compounds,NO,YES,TRI,YES,NO,NO,5280.889999999999
KEYSTONE STEEL & WIRE CO D/B/A LIBERTY STEEL & WIRE PEORIA,BARTONVILLE,IL,40.642503,-89.645771,KEYSTONE CONSOLIDATED INDUSTRIES INC,Primary Metals,Lead compounds,NO,YES,PBT,NO,YES,NO,1156390.366
TMS INTERNATIONAL LLC,LONE STAR,TX,32.925871,-94.708343,TMS INTERNATIONAL CORP,Other,Manganese,NO,YES,TRI,NO,NO,NO,42.05
INNOVATIVE CHEMICAL TECHNOLOGIES INC,CARTERSVILLE,GA,34.14582,-84.82934,ICT INDUSTRIES INC,Chemicals,Zinc compounds,NO,NO,TRI,NO,NO,NO,0.0
CLEAN HARBORS ARAGONITE LLC,GRANTSVILLE,UT,40.7344,-112.9681,CLEAN HARBORS INC,Hazardous Waste,Chloromethane,NO,YES,TRI,NO,NO,NO,47699.759999999995
ENERGY INTERMEDIATES INC,MIDLAND,TX,32.0356,-101.99615,TETRACO LLC,Chemicals,Toluene,NO,YES,TRI,NO,NO,NO,0.0
