FACILITY NAME,CITY,ST,LATITUDE,LONGITUDE,PARENT CO NAME,INDUSTRY SECTOR,CHEMICAL,ELEMENTAL METAL INCLUDED,CLEAN AIR ACT CHEMICAL,CLASSIFICATION,CARCINOGEN,PBT,PFAS,TOTAL POLLUTION
AMERICAN APPLIANCE PRODUCTS,NEWPORT,TN,35.98825,-83.20638,SSW ADVANCED TECHNOLOGIES LLC,Fabricated Metals,Nickel,NO,YES,TRI,YES,NO,NO,24090.0
INEOS NITRILES USA LLC,LIMA,OH,40.71416,-84.13223,INEOS US I INC,Chemicals,Methyl acrylate,NO,NO,TRI,YES,NO,NO,2381510.88
MILACRON RESIN ABRASIVE,CARLISLE,PA,40.22168,-77.18871,MILACRON INC,Nonmetallic Mineral Product,Phenol,NO,YES,TRI,NO,NO,NO,56101.01
ARDEX,BOURBONNAIS,IL,41.158778,-87.860094,ARDEX,Chemicals,Trichloroethylene,NO,YES,TRI,YES,NO,NO,0.0
VANDERBILT CHEMICALS LLC-MURRAY DIV,MURRAY,KY,36.647333,-88.300444,RT VANDERBILT HOLDING CO INC,Chemicals,Nitric acid,NO,NO,TRI,NO,NO,NO,0.0
HENKEL US OPERATIONS CORP,SALISBURY,NC,35.63367,-80.53335,HENKEL US OPERATIONS CORP,Chemicals,Styrene,NO,YES,TRI,YES,NO,NO,5256.12
CHEVRON PRODUCTS CO PASCAGOULA REFINERY,PASCAGOULA,MS,30.343733,-88.4938,CHEVRON CORP,Petroleum,Methyl tert-butyl ether,NO,YES,TRI,NO,NO,NO,94075.28
FORD MOTOR CO DEARBORN TOOL & DIE PLANT,DEARBORN,MI,42.3025,-83.154167,FORD MOTOR CO,Machinery,Methyl isobutyl ketone,NO,YES,TRI,YES,NO,NO,320.86
THE DOW CHEMICAL CO - LOUISIANA OPERATIONS,PLAQUEMINE,LA,30.320903,-91.239015,DOW INC,Chemicals,Allyl alcohol,NO,NO,TRI,NO,NO,NO,2101.09
ROYSTER-CLARK INC,SEALSTON,VA,38.264383,-77.300534,ROYSTER-CLARK INC,Chemicals,Zinc compounds,NO,NO,TRI,NO,NO,NO,0.0
GERDAU-FORT SMITH MILL,FORT SMITH,AR,35.3025,-94.375278,GERDAU MACSTEEL INC,Primary Metals,Chromium compounds (except for chromite ore mined in the Transvaal Region),NO,YES,TRI,NO,NO,NO,1948346.11
3M CO - NEW ULM,NEW ULM,MN,44.33096,-94.47573,3M CO,Electrical Equipment,Lead compounds,NO,YES,PBT,NO,YES,NO,90001.13
VIRGINIA SOLITE,CASCADE,VA,36.541916,-79.665959,SOLITE HOLDING,Nonmetallic Mineral Product,Ethylbenzene,NO,YES,TRI,YES,NO,NO,207065.05
PACKAGING CORP OF AMERICA,FILER CITY,MI,44.2143,-86.2847,,Paper,Certain glycol ethers,NO,YES,TRI,NO,NO,NO,24545.93
GILMER INDUSTRIES INC,HARRISONBURG,VA,38.41965,-78.88542,,Chemicals,Ammonia,NO,NO,TRI,NO,NO,NO,0.0
SUPERCON INC,SHREWSBURY,MA,42.27858,-71.6879,,Primary Metals,Nitric acid,NO,NO,TRI,NO,NO,NO,84861.7
INTERNATIONAL PAPER- NEW BERN MILL,VANCEBORO,NC,35.212247,-77.114823,INTERNATIONAL PAPER CO,Paper,Ammonia,NO,NO,TRI,NO,NO,NO,419020.96
SHERWIN-WILLIAMS CO,ROCKFORD,IL,42.25472,-89.0965,THE SHERWIN-WILLIAMS CO,Chemicals,Certain glycol ethers,NO,YES,TRI,NO,NO,NO,10163.91
LESLIE MARBLE PRODUCTS INC,THORP,WI,44.951434,-90.794163,,Chemicals,Styrene,NO,YES,TRI,YES,NO,NO,17205.0
WESTERN PNEUMATIC TUBE CO LLC,KIRKLAND,WA,47.668212,-122.198077,LEGGETT & PLATT INC,Primary Metals,Trichloroethylene,NO,YES,TRI,YES,NO,NO,268340.97
UNIVAR USA INC.CHARLOTTE-HOVIS FACILITY,CHARLOTTE,NC,35.26853,-80.8988,,Chemical Wholesalers,2-Ethoxyethanol,NO,YES,TRI,NO,NO,NO,0.0
MODERN WELDING CO OF OWENSBORO INC,OWENSBORO,KY,37.76539,-87.09421,MODERN WELDING CO INC,Fabricated Metals,Styrene,NO,YES,TRI,YES,NO,NO,271138.32
UNIVAR USA INC BERKELEY,BERKELEY,MO,38.76473,-90.34629,UNIVAR SOLUTIONS USA INC,Chemical Wholesalers,Methanol,NO,YES,TRI,NO,NO,NO,0.0
PANTHER CREEK POWER OPERATING LLC,NESQUEHONING,PA,40.855556,-75.877222,,Electric Utilities,Ammonia,NO,NO,TRI,NO,NO,NO,28811.07
CHEMTOOL INC,CRYSTAL LAKE,IL,42.261938,-88.353106,BERKSHIRE HATHAWAY INC,Petroleum,Diethanolamine,NO,YES,TRI,NO,NO,NO,0.0
ARVIN SANGO INC,MADISON,IN,38.780567,-85.409317,ARVIN SANGO INC,Transportation Equipment,Nickel,NO,YES,TRI,YES,NO,NO,943.0
ALFRED HELLER HEAT TREATING CO .,CLIFTON,NJ,40.883996,-74.145102,,Fabricated Metals,Ammonia,NO,NO,TRI,NO,NO,NO,126.05
USS-UPI LLC,PITTSBURG,CA,38.02305,-121.85565,US STEEL CORP,Primary Metals,Chromium compounds (except for chromite ore mined in the Transvaal Region),NO,YES,TRI,NO,NO,NO,1128029.08
COS-MAR CO,CARVILLE,LA,30.225083,-91.069424,COSMAR CO,Chemicals,Asbestos (friable),NO,YES,TRI,YES,NO,NO,68220.98
3M DRUG DELIVERY SYSTEMS,NORTHRIDGE,CA,34.23181,-118.56776,3M CO,Chemicals,Dichlorotetrafluoroethane (CFC-114),NO,NO,TRI,NO,NO,NO,120368.05
3M PRECISION OPTICS-CINCINNATI,CINCINNATI,OH,39.06557,-84.25645,3M CO,Machinery,Methyl ethyl ketone,NO,NO,TRI,NO,NO,NO,110911.14
RICHARDSAPEX INC,PHILADELPHIA,PA,40.02381,-75.22035,,Petroleum,Certain glycol ethers,NO,YES,TRI,NO,NO,NO,13036.43
CAMBRIA COGEN CO,EBENSBURG,PA,40.4748,-78.7021,NORTHERN STAR GENERATION LLC,Electric Utilities,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,NO,TRI,NO,NO,NO,293231.0
FIELDCREST CANNON INC PLANT 1,KANNAPOLIS,NC,35.5019,-80.62419,FIELDCREST CANNON INC,Textiles,Methanol,NO,YES,TRI,NO,NO,NO,228500.8
SSC-AUGUSTA,AUGUSTA,GA,33.433889,-81.936111,DULANY INDUSTRIES,Chemicals,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,NO,TRI,NO,NO,NO,67355.08
TICONA POLYMERS INC,BISHOP,TX,27.569714,-97.83493,CELANESE CORP,Chemicals,Antimony compounds,NO,YES,TRI,NO,NO,NO,8450.95
AMERICHEM INC MTX,MANSFIELD,TX,32.557447,-97.125078,AMERICHEM INC,Chemicals,Cobalt compounds,NO,YES,TRI,YES,NO,NO,0.0
KMX CHEMICAL CORP,NEW CHURCH,VA,37.97582,-75.538206,,Chemicals,Methanol,NO,YES,TRI,NO,NO,NO,15001.23
ERAMET MARIETTA INC,MARIETTA,OH,39.372906,-81.523579,,Primary Metals,Lead,NO,NO,PBT,YES,YES,NO,288600.93
LYONDELL CHEMICAL CO,CHANNELVIEW,TX,29.816654,-95.107603,LYONDELLBASELL FINANCE CO,Chemicals,Acetophenone,NO,YES,TRI,NO,NO,NO,13818078.05
SIOUX CITY BRICK & TILE CO SERGEANT BLUFF PLANT,SERGEANT BLUFF,IA,42.40648,-96.35711,BRICKWORKS BUILDING PRODUCTS NA,Nonmetallic Mineral Product,Hydrogen fluoride,NO,YES,TRI,NO,NO,NO,101693.23
DEEPWATER CHEMICALS INC.,WOODWARD,OK,36.439844,-99.515062,,Chemicals,Methanol,NO,YES,TRI,NO,NO,NO,35921.2
CAROLINA STALITE CO,NORWOOD,NC,35.229466,-80.243888,,Nonmetallic Mineral Product,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,YES,TRI,NO,NO,NO,573090.96
VEOLIA ES TECHNICAL SOLUTIONS LLC PORT ARTHUR FACILITY,BEAUMONT,TX,29.853056,-94.095278,VEOLIA N.A. INC.,Hazardous Waste,m-Cresol,NO,YES,TRI,NO,NO,NO,217500.0
PRO-LINE BOATS INC.,HOMOSASSA,FL,28.840852,-82.581152,AMERICAN MARINE HOLDINGS LLC,Transportation Equipment,Styrene,NO,YES,TRI,YES,NO,NO,307815.4
REXAM BEVERAGE CAN CO RE: PHOENIX  FACILITY,PHOENIX,AZ,33.45072,-112.16912,BALL CORP,Fabricated Metals,n-Butyl alcohol,NO,NO,TRI,NO,NO,NO,266517.41000000003
SI GROUP INC,FREEPORT,TX,28.9744,-95.34453,SI GROUP INC,Chemicals,Methanol,NO,YES,TRI,NO,NO,NO,1289053.05
PRIDE SOLVENTS & CHEMICAL CO OF NEW JERSEY,AVENEL,NJ,40.59741,-74.25741,PRIDE SOLVENTS & CHEMICAL CO,Miscellaneous Manufacturing,Dibutyl phthalate,NO,YES,TRI,NO,NO,NO,5776.0599999999995
DFA DAIRY BRANDS FLUID LLC DBA ALTA DENA CERTIFIED DAIRY,CITY OF INDUSTRY,CA,34.00814,-117.91904,DAIRY FARMERS OF AMERICA INC,Food,Nitric acid,NO,NO,TRI,NO,NO,NO,68001.09
NAVISTAR INC,SPRINGFIELD,OH,40.01522,-83.79033,NAVISTAR INTERNATIONAL CORP,Transportation Equipment,Zinc compounds,NO,NO,TRI,NO,NO,NO,4476.96
IPSCO TUBULARS (KENTUCKY) INC,WILDER,KY,39.068056,-84.491111,TENARIS,Primary Metals,Zinc compounds,NO,NO,TRI,NO,NO,NO,20334650.98
CLEAN HARBORS DEER PARK LLC,LA PORTE,TX,29.73028,-95.08981,CLEAN HARBORS INC,Hazardous Waste,Freon 113 (CFC-113),NO,NO,TRI,NO,NO,NO,117739.0
CADENCE INNOVATION HOLLY ROAD,GRAND BLANC,MI,42.8811,-83.635,CADENCE INNOVATION LLC,Plastics and Rubber,Methyl isobutyl ketone,NO,YES,TRI,YES,NO,NO,1130052.22
LB FOSTER CO,BEDFORD,PA,40.04922,-78.52234,LB FOSTER CO,Fabricated Metals,Aluminum (fume or dust),NO,NO,TRI,NO,NO,NO,0.0
STERILIZATION SERVICES OF GEORGIA,ATLANTA,GA,33.72623,-84.58422,ALTAIR CORP,Hazardous Waste,Ethylene glycol,NO,YES,TRI,NO,NO,NO,299805.45
HF SINCLAIR PUGET SOUND REFINING LLC,ANACORTES,WA,48.472836,-122.560194,HF SINCLAIR CORP,Petroleum,Polycyclic aromatic compounds,NO,YES,PBT,YES,YES,NO,65.91
SIMPSON COATINGS GROUP INC,SOUTH SAN FRANCISCO,CA,37.64974,-122.41434,DJ SIMPSON CO INC,Chemicals,Toluene,NO,YES,TRI,NO,NO,NO,9960.61
ASSOCIATED PLATING CO,SANTA FE SPRINGS,CA,33.95285,-118.05954,,Fabricated Metals,Tetrachloroethylene,NO,YES,TRI,YES,NO,NO,41925.85
OMG FIDELITY INC,NEWARK,NJ,40.70473,-74.1941,OM GROUP INC,Chemicals,Lead compounds,NO,YES,PBT,NO,YES,NO,0.0
HONDA DEVELOPMENT & MANUFACTURING OF AMERICA LLC,EAST LIBERTY,OH,40.338887,-83.566349,AMERICAN HONDA MOTOR CO INC,Transportation Equipment,n-Hexane,NO,YES,TRI,NO,NO,NO,8226.0
HONEYWELL AEROSPACE OLATHE,OLATHE,KS,38.93613,-94.85665,HONEYWELL INTERNATIONAL INC,Computers and Electronic Products,Diisocyanates,NO,NO,TRI,NO,NO,NO,22355.92
BORDEN CHEMICAL INC   VIRGINIA PLANT,VIRGINIA,MN,47.504167,-92.558056,BORDEN CHEMICAL INC,Chemicals,Formaldehyde,NO,YES,TRI,YES,NO,NO,1385.17
ASTRO ELECTROPLATING INC,FARMINGDALE,NY,40.743003,-73.316283,,Fabricated Metals,Nitric acid,NO,NO,TRI,NO,NO,NO,540000.6799999999
SIMMONS JUVENILE PRODUCTS CO INC,NEW LONDON,WI,44.38835,-88.73106,,Furniture,Toluene,NO,YES,TRI,NO,NO,NO,68588.8
TECHNICAL COATINGS CORP,ALPHARETTA,GA,34.12678,-84.2297,,Chemicals,"1,1,1-Trichloroethane",NO,YES,TRI,NO,NO,NO,0.0
MILSCO MICHIGAN SEAT CO,JACKSON,MI,42.25196,-84.48011,MILSCO MANUFACTURING CO,Plastics and Rubber,Diisocyanates,NO,NO,TRI,NO,NO,NO,6008.8
BRENNTAG PACIFIC INC.,PORTLAND,OR,45.563583,-122.736087,BRENNTAG N.A. INC,Chemical Wholesalers,Ethylene glycol,NO,YES,TRI,NO,NO,NO,0.0
BP PRODUCTS NA WHITING BUSINESS UNIT,WHITING,IN,41.663055,-87.479643,BP AMERICA INC,Petroleum,Carbonyl sulfide,NO,YES,TRI,NO,NO,NO,477000.95
BAKER PETROLITE-RAYNE FACILITY,RAYNE,LA,30.230833,-92.306667,BAKER HUGHES HOLDINGS LLC,Chemical Wholesalers,Methanol,NO,YES,TRI,NO,NO,NO,76531.17
BASF CORP,NEWARK,CA,37.5242,-122.0169,BASF CORP,Chemicals,Ethylene glycol,NO,YES,TRI,NO,NO,NO,0.0
C&M WOOD INDUSTRIES INC,HESPERIA,CA,34.44284,-117.28636,,Furniture,Methyl ethyl ketone,NO,NO,TRI,NO,NO,NO,10751.0
CHECKMATE BOATS PLANT 2,BUCYRUS,OH,40.81931,-82.97475,,Transportation Equipment,Styrene,NO,YES,TRI,YES,NO,NO,121426.02
BRENNTAG NORTHEAST LLC,READING,PA,40.416944,-75.935,BRENNTAG NA INC,Chemical Wholesalers,Trichloroethylene,NO,YES,TRI,YES,NO,NO,5949.0
SCHIRM USA INC.,ENNIS,TX,32.30759,-96.61275,,Chemicals,Dicofol,NO,YES,TRI,NO,NO,NO,0.0
NITEO PRODUCTS LLC.,HERNANDO,MS,34.815294,-89.976969,HIGHLANDER PARTNERS CHEMICALS LLC,Chemical Wholesalers,Methanol,NO,YES,TRI,NO,NO,NO,69102.92
SCOT FORGE CO,CLINTON,WI,42.54953,-88.872864,,Fabricated Metals,Chromium,NO,YES,TRI,NO,NO,NO,651830.38
C P BOURG INC,NEW BEDFORD,MA,41.71973,-70.95774,CP BOURG INC,Machinery,Dichloromethane,NO,YES,TRI,YES,NO,NO,71850.70999999999
SILGAN WHITE CAP CORP,RICHMOND,IN,39.858639,-84.908556,SILGAN HOLDINGS INC,Fabricated Metals,"N,N-Dimethylformamide",NO,YES,TRI,YES,NO,NO,48550.0
OMNOVA SOLUTIONS INC-AKRON PLANT,AKRON,OH,41.05119,-81.47656,OMNOVA SOLUTIONS INC,Chemicals,Ammonia,NO,NO,TRI,NO,NO,NO,17141.53
PORTALES DAIRY PRODUCTS LLC,PORTALES,NM,34.170552,-103.36991,DAIRY FARMERS OF AMERICA INC,Food,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,NO,TRI,NO,NO,NO,135480.77000000002
PENGG WMC LLC,BEDFORD,OH,41.42232,-81.492529,,Primary Metals,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,YES,TRI,NO,NO,NO,232421.99
EXPLORE INDUSTRIES USA INC.,MARION,SC,34.17156,-79.42336,EXPLORE INDUSTRIES USA INC,Transportation Equipment,Styrene,NO,YES,TRI,YES,NO,NO,496051.07
ALPEK POLYESTER USA LLC,FAYETTEVILLE,NC,34.98305,-78.78722,ALPEK POLYESTER USA LLC,Chemicals,Cobalt compounds,NO,YES,TRI,YES,NO,NO,150.78
BL ENGLAND GENERATING STATION,BEESLEYS POINT,NJ,39.289724,-74.633944,ROCKLAND CAPITAL INVESTMENTS,Electric Utilities,Zinc compounds,NO,NO,TRI,NO,NO,NO,812796.13
CHEMTRADE PERFORMANCE CHEMICALS US LLC,CARLISLE,SC,34.62674,-81.402478,CHEMTRADE PERFORMANCE CHEMICALS US LLC,Chemicals,Methanol,NO,YES,TRI,NO,NO,NO,2287696.11
NOVA CHEMICALS OLEFINS LLC,GEISMAR,LA,30.233183,-91.051,NC HOLDINGS USA INC,Chemicals,Styrene,NO,YES,TRI,YES,NO,NO,7011.05
FLEXTRONICS,MILPITAS,CA,37.41925,-121.89386,FLEX LTD,Computers and Electronic Products,Lead compounds,NO,YES,PBT,NO,YES,NO,205851.0
PIPER IMPACT,NEW ALBANY,MS,34.545889,-88.987944,QUANEX CORP,Fabricated Metals,Chromium,NO,YES,TRI,NO,NO,NO,204625.16
SUPERIOR MANUFACTURING GROUP - MOSELLE FACILITY,MOSELLE,MS,31.459453,-89.326675,,Chemicals,Methyl ethyl ketone,NO,NO,TRI,NO,NO,NO,235001.15
PIERCE MANUFACTURING INC FLORIDA DI V,BRADENTON,FL,27.46586,-82.54653,OSHKOSH CORP,Transportation Equipment,Methyl ethyl ketone,NO,NO,TRI,NO,NO,NO,54800.0
"NEXEO SOLUTIONS, LLC",ST. PAUL,MN,44.92777,-93.11728,,Chemical Wholesalers,Methyl ethyl ketone,NO,NO,TRI,NO,NO,NO,6551.15
AMERICAN ELECTRIC POWER WELSH PLANT,PITTSBURG,TX,33.055134,-94.83983,AMERICAN ELECTRIC POWER,Electric Utilities,Nickel compounds,NO,YES,TRI,YES,NO,NO,30971.01
DIVERSIFIED SYSTEMS INC.,INDIANAPOLIS,IN,39.85343,-86.22848,,Computers and Electronic Products,Ammonia,NO,NO,TRI,NO,NO,NO,245132.06
M.S. AMBROGIO N.A. LLC,AUBURN,ME,44.07,-70.25,,Fabricated Metals,Chromium compounds (except for chromite ore mined in the Transvaal Region),NO,YES,TRI,NO,NO,NO,9058.74
GM LANSING PLANTS 2 3 & 6 (LANSING CRAFT CENTRE),LANSING,MI,42.74105,-84.58747,GENERAL MOTORS CORP,Transportation Equipment,Methanol,NO,YES,TRI,NO,NO,NO,1451.2
VEOLIA ES TECHNICAL SOLUTIONS LLC PORT ARTHUR FACILITY,BEAUMONT,TX,29.853056,-94.095278,VEOLIA N.A. INC.,Hazardous Waste,"1,4-Dioxane",NO,YES,TRI,YES,NO,NO,175202.0
TYLER UNION,ANNISTON,AL,33.66626,-85.85367,MCWANE INC,Primary Metals,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,165901.3
US COAST GUARD ACADEMY,NEW LONDON,CT,41.37059,-72.103558,US DEPARTMENT OF HOMELAND SECURITY,Other,Methyl tert-butyl ether,NO,YES,TRI,NO,NO,NO,0.0
THOMAS PETROLEUM SHELBY BULK PLANT,SHELBY,NC,35.26479,-81.55693,THOMAS PETOLEUM,Petroleum Bulk Terminals,Benzene,NO,YES,TRI,YES,NO,NO,0.0
BRENNTAG NORTHEAST INC,FRAZER,PA,40.06809,-75.55232,BRENNTAG INC,Chemical Wholesalers,Dichloromethane,NO,YES,TRI,YES,NO,NO,0.0
MILLIKEN CHEMICAL - DEWEY PLANT,INMAN,SC,35.026944,-82.065833,MILLIKEN & CO,Chemicals,Ethylene oxide,NO,YES,TRI,YES,NO,NO,18341.94
EQUILON INTERPRISES LLC MISSION VALLEY TERMINAL,SAN DIEGO,CA,32.786928,-117.117597,,Petroleum Bulk Terminals,Ethylbenzene,NO,YES,TRI,YES,NO,NO,2484.85
LOVELAND PRODUCTS INC-BILLINGS (FORMERLY TRANSBAS),BILLINGS,MT,45.805831,-108.446136,AGRIUM INC,Chemicals,Dimethylamine,NO,NO,TRI,NO,NO,NO,48931.33
DUCK CREEK POWER STATION,CANTON,IL,40.46624,-89.98243,VISTRA ENERGY CORP.,Electric Utilities,Hydrogen fluoride,NO,YES,TRI,NO,NO,NO,319445.98
CROWN BEVERAGE PACKAGING,BATESVILLE,MS,34.343303,-89.923836,CROWN HOLDINGS INC,Fabricated Metals,Certain glycol ethers,NO,YES,TRI,NO,NO,NO,565901.02
LEGACY PHARMACEUTICAL PUERTO RICO LLC,HUMACAO,PR,18.111674,-65.86363,LEGACY PHARMACEUTICALS INTERNATIONAL,Chemicals,Naphthalene,NO,YES,TRI,YES,NO,NO,0.0
WILSONART INTERNATIONAL TEMPLE SOUTH,TEMPLE,TX,31.09587,-97.36991,ILLINOIS TOOL WORKS,Plastics and Rubber,Styrene,NO,YES,TRI,YES,NO,NO,63726.05
"QUEST CONSTRUCTION PRODUCTS, LLC. - SPOKANE",SPOKANE VALLEY,WA,47.666825,-117.149757,QUEST SPECIALTY CHEMICALS INC,Chemicals,Ethylbenzene,NO,YES,TRI,YES,NO,NO,11000.83
CIRCUIT-WISE INC,NORTH HAVEN,CT,41.36776,-72.87861,,Computers and Electronic Products,Certain glycol ethers,NO,YES,TRI,NO,NO,NO,249237.0
DEVECO CORP,BELVIDERE,IL,42.269081,-88.836022,,Chemicals,Nickel compounds,NO,YES,TRI,YES,NO,NO,0.0
CHEMCO INC,FERNDALE,WA,48.890363,-122.708294,,Wood Products,Copper compounds,NO,NO,TRI,NO,NO,NO,0.0
HOLCIM (US) INC,ALPENA,MI,45.0722,-83.4048,HOLCIM PARTICIPATIONS (US) INC,Nonmetallic Mineral Product,Ethylbenzene,NO,YES,TRI,YES,NO,NO,3602141.98
CALDERA SPAS INC,EL CAJON,CA,32.81683,-116.97515,WATKINS MANUFACTURING CORP,Plastics and Rubber,Styrene,NO,YES,TRI,YES,NO,NO,104600.0
GLAXOSMITHKLINE CONSUMER BRANDS LP,CLIFTON,NJ,40.844687,-74.153888,GLAXOSMITHKLINE CONSUMER HEALTHCARE LP,Chemicals,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,NO,TRI,NO,NO,NO,37137.23
GOJO INDUSTRIES INC,CUYAHOGA FALLS,OH,41.174495,-81.508371,,Chemicals,"1,2,4-Trimethylbenzene",NO,NO,TRI,NO,NO,NO,0.0
CITIZENS GAS & COKE UTILITY - MANUFACTURING DIVISIONS,INDIANAPOLIS,IN,39.75328,-86.116702,,Machinery,Anthracene,NO,YES,TRI,NO,NO,NO,68652.62
HENRY CO,KINGMAN,AZ,35.26482,-113.94691,HENRY CO,Petroleum,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,966.54
CHEVRON PHILLIPS CHEMICAL CO LP BORGER PLANT,BORGER,TX,35.6995,-101.353083,CHEVRON PHILLIPS CHEMICAL CO LLC,Chemicals,Pyridine,NO,NO,TRI,YES,NO,NO,17500.66
FMC  CORP - MOBILE MANUFACTURING CENTER,AXIS,AL,30.954444,-88.018889,FMC CORP,Chemicals,Toluene,NO,YES,TRI,NO,NO,NO,2069247.55
NALCO CO,GARYVILLE,LA,30.048591,-90.630941,ECOLAB INC,Chemicals,Copper compounds,NO,NO,TRI,NO,NO,NO,72831.92
TRIQUINT SEMICONDUCTOR TEXAS LP,DALLAS,TX,32.933271,-96.753495,,Computers and Electronic Products,Methanol,NO,YES,TRI,NO,NO,NO,141914.5
BILLERUD ESCANABA LLC,ESCANABA,MI,45.804799,-87.08978,BILLERUD AMERICAS CORP,Paper,Phenol,NO,YES,TRI,NO,NO,NO,182890.02
ADVANCED DISTRIBUTOR PRODUCTS LLC,GRENADA,MS,33.835842,-89.80835,,Machinery,Copper,NO,NO,TRI,NO,NO,NO,1577706.06
GLOBAL COMPANIES LLC,REVERE,MA,42.398611,-71.005278,GLOBAL PARTNERS LP,Petroleum Bulk Terminals,"1,2,4-Trimethylbenzene",NO,NO,TRI,NO,NO,NO,585.0
ALLNEX USA INC,WARRENVILLE,SC,33.518889,-81.845278,ALLNEX USA INC,Chemicals,Ammonia,NO,NO,TRI,NO,NO,NO,4008.96
PRESS-SEAL GASKET CORP,FORT WAYNE,IN,41.08369,-85.23437,,Miscellaneous Manufacturing,Sodium nitrite,NO,NO,TRI,NO,NO,NO,147601.72
WOODWORK OF MID-AMERICA,BOWLING GREEN,KY,37.01225,-86.38602,OKLAHOMA FIXTURE CO,Furniture,Toluene,NO,YES,TRI,NO,NO,NO,97601.25
DOMTAR PAPER CO LLC-PLYMOUTH MILL,PLYMOUTH,NC,35.861716,-76.779683,DOMTAR CORP,Paper,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,NO,TRI,NO,NO,NO,181605.94
UTLX MANUFACTURING LLC,HOUSTON,TX,29.864906,-95.135192,BERKSHIRE HATHAWAY,Other,Chromium compounds (except for chromite ore mined in the Transvaal Region),NO,YES,TRI,NO,NO,NO,120039.16
GRACE DAVISON-CURTIS BAY WORKS,BALTIMORE,MD,39.216111,-76.57,W R GRACE & CO,Chemicals,Molybdenum trioxide,NO,NO,TRI,YES,NO,NO,333995.85
ROCHESTER MIDLAND CORP,ROCHESTER,NY,43.185089,-77.617274,ROCHESTER MIDLAND CORP,Chemicals,Sodium nitrite,NO,NO,TRI,NO,NO,NO,0.0
