FACILITY NAME,CITY,ST,LATITUDE,LONGITUDE,PARENT CO NAME,INDUSTRY SECTOR,CHEMICAL,ELEMENTAL METAL INCLUDED,CLEAN AIR ACT CHEMICAL,CLASSIFICATION,CARCINOGEN,PBT,PFAS,TOTAL POLLUTION
DELONG'S INC,JEFFERSON CITY,MO,38.58588,-92.20227,DELONG'S INC,Fabricated Metals,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,48000.0
ST RAYMOND CORP PEJEPSCOT MILL,PEJEPSCOT,ME,43.957658,-70.023161,ST RAYMOND PULP & PAPER CO LTD,Paper,Ammonia,NO,NO,TRI,NO,NO,NO,60346.0
LTV STEEL COMPANY CLEVELAND WORKS,CLEVELAND,OH,41.47438,-81.66082,LTV STEEL CO INC,Primary Metals,Phenol,NO,YES,TRI,NO,NO,NO,46315.0
SONOCO PRODUCTS CO,NEWPORT,TN,36.01745,-83.20576,SONOCO PRODUCTS CO,Paper,Ammonium nitrate (solution),NO,NO,TRI,NO,NO,NO,0.0
AMERICAN STITCHCO INC DBA AMERICAN EPOXY SCIENTIFIC,MOUNTAIN HOME,AR,36.321667,-92.379972,AMERICAN STITCHCO INC  DBA AMERICAN EPOXY SCIENTIFIC,Miscellaneous Manufacturing,Phthalic anhydride,NO,YES,TRI,NO,NO,NO,62700.0
AMERICAN DESK MANUFACTURING CO,TAYLOR,TX,30.56791,-97.42472,AMERICAN DESK MANUFACTURING CO,Furniture,Methyl ethyl ketone,NO,NO,TRI,NO,NO,NO,15078.0
TRIUMPH AEROSTRUCTURES-VOUGHT INEGRATED PROGRAMS DIV,DALLAS,TX,32.738128,-96.973153,TRIUMPH AEROSTRUCTURES- VOUGHT INEGRATED PROGRAMS DIV,Transportation Equipment,Chromium compounds (except for chromite ore mined in the Transvaal Region),NO,YES,TRI,NO,NO,NO,176500.0
FUTUREFUEL CHEMICAL CO,BATESVILLE,AR,35.722342,-91.524983,FUTUREFUEL CORP,Chemicals,Hydrazine,NO,YES,TRI,YES,NO,NO,0.0
SHOWA ALUMINUM CORP OF AMERICA,MOUNT STERLING,OH,39.72204,-83.28082,,Transportation Equipment,Nitric acid,NO,NO,TRI,NO,NO,NO,1620.0
DELUXE CHECK PRINTERS INC,TUCKER,GA,33.861697,-84.171546,DELUXE CORP,Printing,"1,1,1-Trichloroethane",NO,YES,TRI,NO,NO,NO,52279.0
JOHN DOLLINGER JR INC,BEAUMONT,TX,30.100424,-94.121762,,Fabricated Metals,Nickel,NO,YES,TRI,YES,NO,NO,0.0
MULTILAYER TECHNOLOGY INC,IRVINE,CA,33.663522,-117.7011,,Computers and Electronic Products,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,NO,TRI,NO,NO,NO,0.0
TROUW NUTRITION USA LLC,WILLMAR,MN,45.133848,-95.026331,TROUW NUTRITION USA LLC,Food,Copper compounds,NO,NO,TRI,NO,NO,NO,1015.0
MPL CORP,INDIANAPOLIS,IN,39.797722,-86.139846,,Plastics and Rubber,Styrene,NO,YES,TRI,YES,NO,NO,40100.0
