FACILITY NAME,CITY,ST,LATITUDE,LONGITUDE,PARENT CO NAME,INDUSTRY SECTOR,CHEMICAL,ELEMENTAL METAL INCLUDED,CLEAN AIR ACT CHEMICAL,CLASSIFICATION,CARCINOGEN,PBT,PFAS,TOTAL POLLUTION
"TRIANGLE WIRE & CABLE INC, JEWETT CITY FACILITY",JEWETT CITY,CT,41.61175,-71.97198,,Primary Metals,Dichloromethane,NO,YES,TRI,YES,NO,NO,55701.08
OPTIMUS STEEL LLC,VIDOR,TX,30.12445,-94.01262,OPTIMUS STEEL LLC,Primary Metals,Zinc compounds,NO,NO,TRI,NO,NO,NO,16360391.04
EASTMAN KODAK CO ELMGROVE PLANT,ROCHESTER,NY,43.15481,-77.73235,EASTMAN KODAK CO,Machinery,Dichloromethane,NO,YES,TRI,YES,NO,NO,94300.96
ALTIVIA SPECIALTY CHEMICALS LLC,LA PORTE,TX,29.654833,-95.036528,ALTIVIA SPECIALTY CHEMICALS LLC,Chemicals,Methanol,NO,YES,TRI,NO,NO,NO,1087441.8
SAPPI N.A. - WESTBROOK OPERATIONS,WESTBROOK,ME,43.686198,-70.347403,SDW HOLDINGS CORP,Paper,Chloroform,NO,YES,TRI,YES,NO,NO,281447.08999999997
WM BARR & CO INC,MEMPHIS,TN,35.088444,-90.110682,WM BARR & CO INC,Chemicals,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,85137.18
EXXONMOBIL CHEMICAL CO BATON ROUGE POLYOLEFINS PLANT,BATON ROUGE,LA,30.560139,-91.2055,EXXON MOBIL CORP,Chemicals,Zinc compounds,NO,NO,TRI,NO,NO,NO,800.0
AMERICAN NICKELOID CO,WALNUTPORT,PA,40.7575,-75.6011,AMERICAN NICKELOID CO,Fabricated Metals,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,YES,TRI,NO,NO,NO,68000.9
TANDY WIRE FABRICATION,FORT WORTH,TX,32.72243,-97.34377,RADIOSHACK CORP,Electrical Equipment,Lead,NO,NO,PBT,YES,YES,NO,43096.29
GENERAL CABLE INDUSTRIES,TAUNTON,MA,41.89343,-71.08752,GENERAL CABLE CORP,Chemicals,Antimony compounds,NO,YES,TRI,NO,NO,NO,2444.99
HARTLEY CO,COSTA MESA,CA,33.64687,-117.93204,JGR ENTERPRISES,Miscellaneous Manufacturing,"1,1,1-Trichloroethane",NO,YES,TRI,NO,NO,NO,177841.03
ARCONIC INC SAN ANTONIO WORKS,ELMENDORF,TX,29.27557,-98.36571,ARCONIC INC,Primary Metals,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,YES,TRI,NO,NO,NO,211495.4
CARESTREAM HEALTH INC,WHITE CITY,OR,42.434925,-122.882038,CARESTREAM HEALTH INC,Chemicals,Cyclohexane,NO,NO,TRI,NO,NO,NO,274656.55
LGPHILIPS DISPLAYS USA INC,OTTAWA,OH,41.02434,-84.03737,LGPHILIPS DISPLAYS USA INC,Computers and Electronic Products,Toluene,NO,YES,TRI,NO,NO,NO,3614800.81
PCS PHOSPHATE JOPLIN,JOPLIN,MO,37.09446,-94.616493,NUTRIEN US TOPCO LLC.,Food,Ammonia,NO,NO,TRI,NO,NO,NO,14351.09
PLAINFIELD STAMPING TEXAS INC,EL PASO,TX,31.77432,-106.38796,,Fabricated Metals,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,YES,TRI,NO,NO,NO,63371.43
AMERICAN PACIFIC CORP UTAH OPERATIONS,CEDAR CITY,UT,37.795,-113.284167,AMERICAN PACIFIC CORP,Chemicals,Barium compounds (except for barium sulfate (CAS No. 7727-43-7)),NO,NO,TRI,NO,NO,NO,237221.05
