FACILITY NAME,CITY,ST,LATITUDE,LONGITUDE,PARENT CO NAME,INDUSTRY SECTOR,CHEMICAL,ELEMENTAL METAL INCLUDED,CLEAN AIR ACT CHEMICAL,CLASSIFICATION,CARCINOGEN,PBT,PFAS,TOTAL POLLUTION
TOYOTA BOSHOKU INDIANA LLC,PRINCETON,IN,38.332422,-87.58035,TOYOTA BOSHOKU AMERICA,Transportation Equipment,"Toluene-2,6-diisocyanate",NO,NO,TRI,YES,NO,NO,465.495
VDM METALS USA LLC,FLORHAM PARK,NJ,40.79723,-74.401898,,Primary Metals,Nickel,NO,YES,TRI,YES,NO,NO,563695.6799999999
HF SINCLAIR EL DORADO REFINING LLC,EL DORADO,KS,37.794007,-96.87414,HF SINCLAIR CORP,Petroleum,Propylene,NO,NO,TRI,NO,NO,NO,70001.07
PREFERRED-BRADENTON 63RD RM,BRADENTON,FL,27.42918,-82.53994,CRH AMERICAS INC,Nonmetallic Mineral Product,Lead,NO,NO,PBT,YES,YES,NO,1.3249999999999995
QUALITY MANUFACTURING CORP,DES MOINES,IA,41.55559,-93.69313,QUALITY MANUFACTURING CORP - URBANDALE,Fabricated Metals,Nickel,NO,YES,TRI,YES,NO,NO,34001.64
DICKSON INVESTMENT HARDWARE INC,KING OF PRUSSIA,PA,40.09023,-75.34493,,Primary Metals,Chromium,NO,YES,TRI,NO,NO,NO,0.0
RECLAIMED ENERGY DIV SUPERIOR INDUSTRIAL SOLUTIONS IN,CONNERSVILLE,IN,39.65162,-85.13884,SUPERIOR INDUSTRIAL SOLUTIONS INC,Hazardous Waste,Lead compounds,NO,YES,PBT,NO,YES,NO,124216.06
ROSS INCINERATION SERVICES INC,GRAFTON,OH,41.324167,-82.034722,RI TECHNOLOGIES INC,Hazardous Waste,"N,N-Dimethylformamide",NO,YES,TRI,YES,NO,NO,527591.5789999999
LEARJET INC,TUCSON,AZ,32.110268,-110.947684,LEARJET INC,Transportation Equipment,Toluene,NO,YES,TRI,NO,NO,NO,129344.741
EAKAS CORP,PERU,IL,41.380018,-89.128157,,Transportation Equipment,Nitric acid,NO,NO,TRI,NO,NO,NO,225126.05
GILMER INDUSTRIES INC,HARRISONBURG,VA,38.41965,-78.88542,,Chemicals,Nitric acid,NO,NO,TRI,NO,NO,NO,450.0
