FACILITY NAME,CITY,ST,LATITUDE,LONGITUDE,PARENT CO NAME,INDUSTRY SECTOR,CHEMICAL,ELEMENTAL METAL INCLUDED,CLEAN AIR ACT CHEMICAL,CLASSIFICATION,CARCINOGEN,PBT,PFAS,TOTAL POLLUTION
CROMPTON & KNOWLES COLORS INC,CHARLOTTE,NC,35.25923,-80.82114,CROMPTON & KNOWLES CORP,Chemicals,Chromium,NO,YES,TRI,NO,NO,NO,64.0
ICL,LAWRENCE,KS,38.97993,-95.21443,ICL SPECIALTY PRODUCTS N.A. INC,Chemicals,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,NO,TRI,NO,NO,NO,0.0
NC-M CHASSIS SYSTEMS LLC,NEW CASTLE,IN,39.91687,-85.35972,METALDYNE,Transportation Equipment,Zinc compounds,NO,NO,TRI,NO,NO,NO,2250.0
OLEAN ADVANCED PRODUCTS,OLEAN,NY,42.076,-78.39884,KYOCERA INTERNATIONAL INC,Computers and Electronic Products,Barium compounds (except for barium sulfate (CAS No. 7727-43-7)),NO,NO,TRI,NO,NO,NO,132702.0
BRADFORD ELECTRONICS INC.,BRADFORD,PA,41.931804,-78.644273,VISHAY INTERTECHNOLOGY,Computers and Electronic Products,Copper,NO,NO,TRI,NO,NO,NO,0.0
WORLD RESOURCES CO,POTTSVILLE,PA,40.6877,-76.23315,WORLD RESOURCES CO,Nonmetallic Mineral Product,Copper compounds,NO,NO,TRI,NO,NO,NO,10805.0
MEYER UTILITY STRUCTURES LLC PLT NO 1663,HAGER CITY,WI,44.594153,-92.534303,ARCOSA INC,Electrical Equipment,Methyl isobutyl ketone,NO,YES,TRI,YES,NO,NO,48744.0
HYDRO EXTRUSION USA LLC,BURLINGTON,NC,36.05907,-79.44611,HYDRO EXTRUSION USA LLC,Primary Metals,Sodium hydroxide (solution),NO,NO,TRI,NO,NO,NO,592000.0
WESTERN FHER LABS INC,PONCE,PR,18.044124,-66.679961,,Chemicals,"1,2-Dichloroethane",NO,YES,TRI,YES,NO,NO,129438.0
COGNIS CORP,AMBLER,PA,40.16094,-75.23265,COGNIS DEUTSCHLAND GMBH,Other,Nitric acid,NO,NO,TRI,NO,NO,NO,1500.0
CONTINENTAL EXTRUSION CORP,GARDEN CITY,NY,40.7335,-73.59126,INNOPAC INC,Paper,"1,1,1-Trichloroethane",NO,YES,TRI,NO,NO,NO,855000.0
ROYAL MOULDINGS LTD; MARION VIRGINIA,MARION,VA,36.831386,-81.54403,AXIALL CORP,Plastics and Rubber,Toluene,NO,YES,TRI,NO,NO,NO,221250.0
SONNEBORN LLC,PETROLIA,PA,41.012483,-79.717666,HF SINCLAIR CORP,Chemicals,Molybdenum trioxide,NO,NO,TRI,YES,NO,NO,0.0
MAHLE BEHR DAYTON LLC,DAYTON,OH,39.784444,-84.179444,,Transportation Equipment,"1,1,1-Trichloroethane",NO,YES,TRI,NO,NO,NO,1200000.0
MARTIN MARIETTA NORTH TEXAS CEMENT LLC,MIDLOTHIAN,TX,32.462679,-97.025572,MARTIN MARIETTA MATERIALS INC,Nonmetallic Mineral Product,Ethylene glycol,NO,YES,TRI,NO,NO,NO,6.0
PULASKI FURNITURE CORP MARTINSVILLE DIV,MARTINSVILLE,VA,36.692482,-79.851496,PULASKI FURNITURE CORP,Furniture,Acetone,NO,NO,TRI,NO,NO,NO,136626.0
C&H SUGAR CO INC,CROCKETT,CA,38.0571,-122.2195,AMERICAN SUGAR REFINING INC,Food,Nitric acid,NO,NO,TRI,NO,NO,NO,0.0
LENNOX INDUSTRIES INC,COLUMBUS,OH,39.993857,-83.025589,LENNOX INTERNATIONAL INC,Machinery,Copper,NO,NO,TRI,NO,NO,NO,0.0
PHILIPS ELECTRONICS NA CORP,ALBUQUERQUE,NM,35.19063,-106.58052,PHILIPS ELECTRONICS NA CORP,Computers and Electronic Products,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,NO,TRI,NO,NO,NO,8193.0
VALVOLINE CO INDUSTRIAL COATINGS  (TECTYL),ROCHESTER,PA,40.69553,-80.26712,ASHLAND INC,Chemicals,Zinc compounds,NO,NO,TRI,NO,NO,NO,1500.0
RJ MFG CO,WARREN,RI,41.72289,-71.26961,UNITED MERCHANTS & MANUFACTURERS INC,Fabricated Metals,"1,1,1-Trichloroethane",NO,YES,TRI,NO,NO,NO,170376.0
HOECHST-CELANESE CORP,NEWARK,NJ,40.72085,-74.12563,HOECHST CORP,Chemicals,Methyl acrylate,NO,NO,TRI,YES,NO,NO,23606.0
CLEVELAND-CLIFFS STEEL LLC,EAST CHICAGO,IN,41.656321,-87.450142,CLEVELAND-CLIFFS INC,Primary Metals,Propylene,NO,NO,TRI,NO,NO,NO,52500.0
DELAWARE CITY REFINERY,DELAWARE CITY,DE,39.591,-75.634,PBF ENERGY INC,Petroleum,Carbon disulfide,NO,YES,TRI,NO,NO,NO,0.0
BASF CORP,WASHINGTON,NJ,40.754803,-74.9731,,Chemicals,Ethylene glycol,NO,YES,TRI,NO,NO,NO,2250.0
WESTLAKE US 2 LLC,WESTLAKE,LA,30.2235,-93.2869,WESTLAKE CORP,Chemicals,Sodium hydroxide (solution),NO,NO,TRI,NO,NO,NO,385820.0
NATIONAL COATING CORP,ROCKLAND,MA,42.100833,-70.902222,,Textiles,Methyl isobutyl ketone,NO,YES,TRI,YES,NO,NO,72412.0
TPI COMPOSITES IOWA II BUS PLANT,NEWTON,IA,41.71712,-93.04058,TPI COMPOSITES,Electrical Equipment,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,YES,TRI,NO,NO,NO,0.0
TPI COMPOSITES IOWA II BUS PLANT,NEWTON,IA,41.71712,-93.04058,TPI COMPOSITES,Electrical Equipment,Manganese,NO,YES,TRI,NO,NO,NO,8240.0
CHEMRESEARCH CO. INC.,PHOENIX,AZ,33.427211,-112.087116,,Fabricated Metals,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,YES,TRI,NO,NO,NO,7833.0
CHEMOURS BELLE PLANT,BELLE,WV,38.24377,-81.55393,THE CHEMOURS CO,Chemicals,Ammonia,NO,NO,TRI,NO,NO,NO,2036067.0
ENGINEERED POLYMER SOLUTIONS INC. D/B/A VALSPAR COATINGS,INDIANAPOLIS,IN,39.75839,-86.16949,THE VALSPAR CORP,Chemicals,Methanol,NO,YES,TRI,NO,NO,NO,31383.0
FRONTIER LEATHER CO,SHERWOOD,OR,45.362217,-122.828951,TRANS PACIFIC INTERNATIONAL INC,Leather,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,NO,TRI,NO,NO,NO,1500.0
ST PAUL PARK REFINING CO LLC,SAINT PAUL PARK,MN,44.850583,-93.002139,MARATHON PETROLEUM CORP,Petroleum,Naphthalene,NO,YES,TRI,YES,NO,NO,26283.0
ANHEUSER-BUSCH COLUMBUS BREWERY,COLUMBUS,OH,40.103056,-82.993056,ANHEUSER-BUSCH COS LLC,Beverages,Sodium hydroxide (solution),NO,NO,TRI,NO,NO,NO,288000.0
BAYPORT_TX,PASADENA,TX,29.6467,-95.0454,DOW INC,Chemicals,Ethylene oxide,NO,YES,TRI,YES,NO,NO,324.0
CATLETTSBURG REFINING LLC,CATLETTSBURG,KY,38.377246,-82.597162,MARATHON PETROLEUM CORP,Petroleum,Phosphoric acid,NO,NO,TRI,NO,NO,NO,0.0
NOXELL CORP,HUNT VALLEY,MD,39.48833,-76.64704,PROCTER & GAMBLE CO,Chemicals,Toluene,NO,YES,TRI,NO,NO,NO,4890.0
SMITHERS-OASIS NA,KENT,OH,41.16193,-81.35416,,Plastics and Rubber,Phenol,NO,YES,TRI,NO,NO,NO,36.0
JDK CONTROLS INC,NEWBURY PARK,CA,34.19422,-118.92782,,Computers and Electronic Products,"1,1,1-Trichloroethane",NO,YES,TRI,NO,NO,NO,10200.0
H. J. HEINZ CO. L.P.,TERMINAL ISLAND,CA,33.735694,-118.26484,H J HEINZ CO,Food,2-Ethoxyethanol,NO,YES,TRI,NO,NO,NO,19467.0
