FACILITY NAME,CITY,ST,LATITUDE,LONGITUDE,PARENT CO NAME,INDUSTRY SECTOR,CHEMICAL,ELEMENTAL METAL INCLUDED,CLEAN AIR ACT CHEMICAL,CLASSIFICATION,CARCINOGEN,PBT,PFAS,TOTAL POLLUTION
RMF - ROY METAL FINISHING,PIEDMONT,SC,34.741483,-82.406697,AALBERTS US HOLDING CORP.,Fabricated Metals,Nickel compounds,NO,YES,TRI,YES,NO,NO,144253.1
HOLCIM-SOR INC.- PLANO RM,PLANO,TX,33.014225,-96.693954,HOLCIM PARTICIPATIONS (US) INC,Nonmetallic Mineral Product,Mercury  And Mercury Compounds,YES,YES,PBT,NO,YES,NO,1.355
MOTIVA - PORT ARTHUR CHEMICALS,PORT ARTHUR,TX,29.892778,-93.973333,ARAMCO SERVICES CO,Chemicals,Propylene,NO,NO,TRI,NO,NO,NO,11618519.7
MARINE ACQUISITION (US) INC-DBA SEASTAR SOLUTIONS,LIMERICK,PA,40.21941,-75.54287,MARINE ACQUISITION CORP,Fabricated Metals,Chromium,NO,YES,TRI,NO,NO,NO,86240.93
FARMER'S PRIDE INC,FREDERICKSBURG,PA,40.445014,-76.43442,SECHLER FAMILY FOODS,Food,Chlorine,NO,YES,TRI,NO,NO,NO,0.0
413 - IRVING,IRVING,TX,32.883596,-97.001804,SMYRNA READY MIX LLC,Nonmetallic Mineral Product,Lead,NO,NO,PBT,YES,YES,NO,1.135
CROWLEY JUNEAU BULK FUEL STORAGE FACILITY,JUNEAU,AK,58.29,-134.395,CROWLEY FUELS LLC,Petroleum Bulk Terminals,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,1866.15
HUNTING TITAN-MILFORD,MILFORD,TX,32.100934,-96.988103,,Chemicals,Copper,NO,NO,TRI,NO,NO,NO,50.1
CHEMGENES CORP,WILMINGTON,MA,42.52832,-71.14323,,Chemicals,Chloroform,NO,YES,TRI,YES,NO,NO,671698.02
SPRAGUE BRIDGEPORT TERMINAL,BRIDGEPORT,CT,41.173082,-73.157616,HARTREE PARTNERS LP,Petroleum Bulk Terminals,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,800.95
BUZZI UNICEM USA-GREENCASTLE PLANT,GREENCASTLE,IN,39.616615,-86.868632,RC LONESTAR INC,Nonmetallic Mineral Product,Polychlorinated biphenyls,NO,YES,PBT,YES,YES,NO,228.00000000000003
US TVA WATTS BAR NUCLEAR PLANT,SPRING CITY,TN,35.601769,-84.802428,US TENNESSEE VALLEY AUTHORITY,Electric Utilities,Hydrazine,NO,YES,TRI,YES,NO,NO,0.0
SUNOCO LLC - HUNTINGTON,HUNTINGTON,IN,40.8998,-85.44763,SUNOCO LP,Petroleum Bulk Terminals,Ammonia,NO,NO,TRI,NO,NO,NO,10.78
