FACILITY NAME,CITY,ST,LATITUDE,LONGITUDE,PARENT CO NAME,INDUSTRY SECTOR,CHEMICAL,ELEMENTAL METAL INCLUDED,CLEAN AIR ACT CHEMICAL,CLASSIFICATION,CARCINOGEN,PBT,PFAS,TOTAL POLLUTION
PARKER HANNIFIN CORP,GREENEVILLE,TN,36.197,-82.77771,PARKER HANNIFIN CORP,Machinery,Aluminum (fume or dust),NO,NO,TRI,NO,NO,NO,1836531.0
AVIENT CORP - NORWALK,NORWALK,OH,41.24312,-82.63499,AVIENT CORP,Chemicals,Zinc compounds,NO,NO,TRI,NO,NO,NO,0.0
AMPAC FLEXIBLES LLC (PREVIOUSLY FLEXICON INC),CARY,IL,42.202863,-88.233009,PROAMPAC INTERMEDIATE INC,Plastics and Rubber,Toluene,NO,YES,TRI,NO,NO,NO,154655.28999999998
PLANT #20,LAWRENCE,KS,38.940282,-95.18954,,Nonmetallic Mineral Product,Dazomet,NO,NO,TRI,NO,NO,NO,0.0
DUCK CREEK POWER STATION,CANTON,IL,40.46624,-89.98243,VISTRA ENERGY CORP.,Electric Utilities,Barium compounds (except for barium sulfate (CAS No. 7727-43-7)),NO,NO,TRI,NO,NO,NO,3948621.02
JOLIET GENERATING STATION (#9 & #29),JOLIET,IL,41.4941,-88.1194,NRG ENERGY INC,Electric Utilities,Dioxin and dioxin-like compounds,NO,YES,Dioxin,YES,YES,NO,0.0128529346
PACIFIC ETHANOL MADERA LLC,MADERA,CA,36.92327,-119.97549,ALTO INGREDIENTS INC,Chemicals,Benzene,NO,YES,TRI,YES,NO,NO,0.0
NORTH AMERICAN STAINLESS,GHENT,KY,38.727778,-85.072222,,Primary Metals,Ammonia,NO,NO,TRI,NO,NO,NO,40243.16
PROCHEMCO INC.,LAKE STATION,IN,41.5759,-87.24002,,Petroleum,Sodium nitrite,NO,NO,TRI,NO,NO,NO,0.0
LINDE ENGINEERING N.A. INC.,CATOOSA,OK,36.226787,-95.73919,,Machinery,Cobalt,NO,YES,TRI,YES,NO,NO,1.0
SANYO CHEMICAL & RESINS LLC,WEST ELIZABETH,PA,40.265833,-79.901111,SANYO N.A.,Chemicals,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,318208.05000000005
THE GOODYEAR TIRE & RUBBER CO,AKRON,OH,41.05896,-81.476048,THE GOODYEAR TIRE & RUBBER CO,Plastics and Rubber,Zinc compounds,NO,NO,TRI,NO,NO,NO,33445.83
CCL DESIGN,SCHERERVILLE,IN,41.496333,-87.468444,CCL INDUSTRIES CORP,Printing,n-Butyl alcohol,NO,NO,TRI,NO,NO,NO,401613.03
INTERNATIONAL PAPER CO - SAVANNAH COMPLEX,SAVANNAH,GA,32.10387,-81.123062,INTERNATIONAL PAPER CO,Paper,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,YES,TRI,NO,NO,NO,562175.96
INTERNATIONAL PAPER CO - SAVANNAH COMPLEX,SAVANNAH,GA,32.10387,-81.123062,INTERNATIONAL PAPER CO,Paper,Lead compounds,NO,YES,PBT,NO,YES,NO,7066.0
PILOT THOMAS LOGISTICS LLC - SLOAN,LAS VEGAS,NV,36.247858,-115.043126,MAXUM ENTERPRISES LLC,Petroleum Bulk Terminals,Zinc compounds,NO,NO,TRI,NO,NO,NO,0.0
ST. LOUIS COLD DRAWN,SAINT LOUIS,MO,38.765098,-90.201653,NUCOR CORP,Primary Metals,Chromium compounds (except for chromite ore mined in the Transvaal Region),NO,YES,TRI,NO,NO,NO,57322.99
PLANT 822 - PROGRESSIVE,WAYNE,MI,42.26885,-83.41605,,Nonmetallic Mineral Product,Lead compounds,NO,YES,PBT,NO,YES,NO,71.324
BAJA MARINE,WASHINGTON,NC,35.522116,-77.04755,,Transportation Equipment,Styrene,NO,YES,TRI,YES,NO,NO,72526.28
CHEVRON KAHULUI TERMINAL,KAHULUI,HI,20.89367,-156.4622,CHEVRON CORP,Petroleum Bulk Terminals,Polycyclic aromatic compounds,NO,YES,PBT,YES,YES,NO,0.97
MARQUIS ENERGY-WISCONSIN LLC,NECEDAH,WI,43.99187,-90.07219,,Chemicals,Ammonia,NO,NO,TRI,NO,NO,NO,1107508.54
AGGREGATE INDUSTRIES NORTHEAST REGION INC,DORCHESTER,MA,42.32391,-71.06259,HOLCIM (US) INC,Nonmetallic Mineral Product,Lead compounds,NO,YES,PBT,NO,YES,NO,2.29
VALERO RENEWABLE FUELS LLC,FORT DODGE,IA,42.531389,-94.293333,VALERO ENERGY CORP,Chemicals,Acetaldehyde,NO,YES,TRI,YES,NO,NO,206075.09
