FACILITY NAME,CITY,ST,LATITUDE,LONGITUDE,PARENT CO NAME,INDUSTRY SECTOR,CHEMICAL,ELEMENTAL METAL INCLUDED,CLEAN AIR ACT CHEMICAL,CLASSIFICATION,CARCINOGEN,PBT,PFAS,TOTAL POLLUTION
INFINEON TECHNOLOGIES AMERICAS CORP,TEMECULA,CA,33.49944,-117.16294,INFINEON TECHNOLOGIES,Computers and Electronic Products,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,NO,TRI,NO,NO,NO,367645.46
BROWN-PACIFIC INC.,SANTA FE SPRINGS,CA,33.90528,-118.04036,,Primary Metals,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,NO,TRI,NO,NO,NO,449762.0
TECHNI-CAST CORP,SOUTH GATE,CA,33.92551,-118.16929,,Primary Metals,Manganese,NO,YES,TRI,NO,NO,NO,13564.97
ROYAL DEVELOPMENT CO,HIGH POINT,NC,35.92602,-79.99386,FURNITURE BRANDS INTERNATIONAL,Fabricated Metals,Phosphorus (yellow or white),NO,YES,TRI,NO,NO,NO,637345.65
GEORGIA-PACIFIC CONSUMER OPERATIONS LLC,CAMAS,WA,45.582929,-122.407758,KOCH INDUSTRIES INC,Paper,Chlorine dioxide,NO,NO,TRI,NO,NO,NO,198000.85
FUTUREFUEL CHEMICAL CO,BATESVILLE,AR,35.722342,-91.524983,FUTUREFUEL CORP,Chemicals,Vinyl acetate,NO,YES,TRI,YES,NO,NO,2935.0
SAINT GOBAIN ABRASIVES INC,MONTGOMERYVILLE,PA,40.2309,-75.228271,SAINT-GOBAIN NA,Nonmetallic Mineral Product,"1,4-Dioxane",NO,YES,TRI,YES,NO,NO,15688.1
MARTIN MARIETTA ARIZONA LLC - DOBSON PLANT,SCOTTSDALE,AZ,33.448069,-111.877183,MARTIN MARIETTA MATERIALS INC,Nonmetallic Mineral Product,Lead compounds,NO,YES,PBT,NO,YES,NO,0.9
SAFETY-KLEEN SYSTEMS INC.,EAST CHICAGO,IN,41.648417,-87.482414,CLEAN HARBORS INC,Petroleum,Molybdenum trioxide,NO,NO,TRI,YES,NO,NO,813900.4400000001
STEEL INDUSTRIES PLANT 4,REDFORD,MI,42.37842,-83.3042,FORGED SOLUTIONS GROUP INC.,Fabricated Metals,Copper,NO,NO,TRI,NO,NO,NO,0.0
WYETH PHARMACEUTICALS,PEARL RIVER,NY,41.0768,-74.0181,PFIZER INC,Chemicals,Copper compounds,NO,NO,TRI,NO,NO,NO,3559.2699999999995
PIMA VALVE LLC,CHANDLER,AZ,33.287802,-111.9537,,Fabricated Metals,Copper,NO,NO,TRI,NO,NO,NO,0.0
US TVA WATTS BAR NUCLEAR PLANT,SPRING CITY,TN,35.601769,-84.802428,US TENNESSEE VALLEY AUTHORITY,Electric Utilities,Lead compounds,NO,YES,PBT,NO,YES,NO,4486.12
OCCIDENTAL CHEMICAL CORP NIAGARA PLANT,NIAGARA FALLS,NY,43.086694,-79.003833,OCCIDENTAL CHEMICAL HOLDING CORP,Chemicals,Tetrachloroethylene,NO,YES,TRI,YES,NO,NO,1523242.57
FLEXCON CO INC.,COLUMBUS,NE,41.4384,-97.30317,FLEXCON CO INC,Plastics and Rubber,Vinyl acetate,NO,YES,TRI,YES,NO,NO,73887.98000000001
YALE / LIFT-TECH,MUSKEGON HEIGHTS,MI,43.20117,-86.2554,COLUMBUS MCKINNON CORP,Machinery,Lead,NO,NO,PBT,YES,YES,NO,12857.2
ALLNEX USA INC.,EAST SAINT LOUIS,IL,38.601691,-90.132661,ALLNEX USA INC,Chemicals,Butyl acrylate,NO,NO,TRI,NO,NO,NO,2191.1
WESTERN REFINING TERMINALS LLC - BLOOMFIELD,BLOOMFIELD,NM,36.698761,-107.975395,MARATHON PETROLEUM CORP,Petroleum,Ethylbenzene,NO,YES,TRI,YES,NO,NO,10445.89
DDP SPECIALTY ELECTRONIC MATERIALS US 5 LLC,WEST ALEXANDRIA,OH,39.744311,-84.526162,DUPONT DE NEMOURS INC,Chemicals,Zinc compounds,NO,NO,TRI,NO,NO,NO,2078.86
HALLIBURTON ENERGY SERVICES INC-NORTH BELT FACILITY,HOUSTON,TX,29.932806,-95.344694,HALLIBURTON CO,Machinery,Lead,NO,NO,PBT,YES,YES,NO,1099.73
UNIVAR USA INC NEW BERLIN,NEW BERLIN,WI,43.00028,-88.12461,UNIVAR USA INC,Chemical Wholesalers,Diethanolamine,NO,YES,TRI,NO,NO,NO,0.0
REAL ALLOY RECYCLING LLC,WABASH,IN,40.78377,-85.81539,REAL ALLOY HOLDING LLC,Primary Metals,Copper compounds,NO,NO,TRI,NO,NO,NO,647722.04
GREIF PACKAGING LLC,ALSIP,IL,41.65507,-87.724403,GREIF INC,Fabricated Metals,n-Butyl alcohol,NO,NO,TRI,NO,NO,NO,110680.91
SPM OIL & GAS INC - FORT WORTH MFG,FORT WORTH,TX,32.75715,-97.44719,,Machinery,Nickel,NO,YES,TRI,YES,NO,NO,246571.84
INTERNATIONAL PAPER CO - MANSFIELD MILL,MANSFIELD,LA,32.156566,-93.559912,INTERNATIONAL PAPER CO,Paper,Ammonia,NO,NO,TRI,NO,NO,NO,2319159.98
AURUBIS BUFFALO INC,BUFFALO,NY,42.94765,-78.89284,AURUBIS BUFFALO INC,Primary Metals,Dioxin and dioxin-like compounds,NO,YES,Dioxin,YES,YES,NO,0.0495598576
EXXONMOBIL BATON ROUGE CHEMICAL PLANT (PART),BATON ROUGE,LA,30.495769,-91.173111,EXXON MOBIL CORP,Chemicals,Phenol,NO,YES,TRI,NO,NO,NO,87495.97
MATTHEWS AURORA LLC,AURORA,IN,39.03392,-84.966245,MATTHEWS INTERNATIONAL CORP,Miscellaneous Manufacturing,Manganese,NO,YES,TRI,NO,NO,NO,310106.0
GOODYEAR TIRE & RUBBER CO,BEAUMONT,TX,29.976111,-94.218333,THE GOODYEAR TIRE & RUBBER CO,Chemicals,Styrene,NO,YES,TRI,YES,NO,NO,143896.18
DUKE ENERGY INDIANA INC - WABASH RIVER GENERATING STATION,WEST TERRE HAUTE,IN,39.53,-87.4247,DUKE ENERGY CORP,Electric Utilities,Barium compounds (except for barium sulfate (CAS No. 7727-43-7)),NO,NO,TRI,NO,NO,NO,175217.13
GOLDEN ALUMINUM,FORT LUPTON,CO,40.09581,-104.80277,,Primary Metals,Manganese,NO,YES,TRI,NO,NO,NO,119355.05
BRENNTAG PACIFIC INC,SANTA FE SPRINGS,CA,33.937333,-118.060278,BRENNTAG N.A. INC,Chemical Wholesalers,"1,1,1-Trichloroethane",NO,YES,TRI,NO,NO,NO,4100.0
CCL CONTAINER AEROSOL DIV,HERMITAGE,PA,41.19681,-80.47798,CCL INDUSTRIES CORP,Fabricated Metals,Naphthalene,NO,YES,TRI,YES,NO,NO,34563.76
TRELLEBORG COATED SYSTEMS US INC SPARTANBURG,SPARTANBURG,SC,34.937262,-82.035339,TRELLEBORG INDUSTRIES,Textiles,"N,N-Dimethylformamide",NO,YES,TRI,YES,NO,NO,605685.7
GRAPHIC PACKAGING INTERNATIONAL LLC,AUGUSTA,GA,33.3286,-81.9537,GRAPHIC PACKAGING HOLDING CO,Paper,Zinc compounds,NO,NO,TRI,NO,NO,NO,144401.04
MODERN WELDING CO OF OWENSBORO INC,OWENSBORO,KY,37.76539,-87.09421,MODERN WELDING CO INC,Fabricated Metals,Nickel,NO,YES,TRI,YES,NO,NO,15.97
KENT FOUNDRY,GREENVILLE,MI,43.18667,-85.22756,,Primary Metals,Manganese,NO,YES,TRI,NO,NO,NO,2820.35
CHELSEA SANDWICH LLC,CHELSEA,MA,42.38692,-71.04534,GLOBAL PARTNERS LP,Petroleum Bulk Terminals,n-Hexane,NO,YES,TRI,NO,NO,NO,404.47
METALCRAFT OF MAYVILLE - FALL RIVER,FALL RIVER,WI,43.38094,-89.06725,METALCRAFT OF MAYVILLE,Fabricated Metals,Chromium,NO,YES,TRI,NO,NO,NO,65385.86
HEXPOL COMPOUNDING BURTON RUBBER PROCESSING,JONESBOROUGH,TN,36.275537,-82.490968,HEXPOL COMPOUNDING LLC,Plastics and Rubber,Lead compounds,NO,YES,PBT,NO,YES,NO,2.0
OTTENWELLER CO,FORT WAYNE,IN,41.1111,-85.18015,OTTENWELLER CO INC,Fabricated Metals,Lead compounds,NO,YES,PBT,NO,YES,NO,5300.84
LYONDELL CHEMICAL CO - CHOCOLATE BAYOU CHEMICALS PLANT,ALVIN,TX,29.250091,-95.216526,LYONDELLBASELL INDUSTRIES,Chemicals,Ethylene,NO,NO,TRI,NO,NO,NO,11324735.83
MID-STATES PAINT & CHEMICAL CO,CRESTWOOD,MO,38.56155,-90.37483,,Chemicals,Toluene,NO,YES,TRI,NO,NO,NO,19912.79
NUGEN ENERGY LLC,MARION,SD,43.433852,-97.260926,,Chemicals,Acrolein,NO,YES,TRI,YES,NO,NO,484527.0
RADISYS CORP,HILLSBORO,OR,45.545106,-122.928954,,Computers and Electronic Products,Lead,NO,NO,PBT,YES,YES,NO,2332.02
USS GARY WORKS,GARY,IN,41.6125,-87.3114,US STEEL CORP,Primary Metals,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,NO,TRI,NO,NO,NO,171500.97999999998
RITCHEY METALS CO INC,CANONSBURG,PA,40.299108,-80.150107,,Primary Metals,Copper,NO,NO,TRI,NO,NO,NO,159.2
PARKER HANNIFIN TECH SEAL DIV,WILSON,NC,35.69033,-77.91111,PARKER HANNIFIN CORP,Plastics and Rubber,Phthalic anhydride,NO,YES,TRI,NO,NO,NO,4737.155
CABOT CORP,WAVERLY,WV,39.33455,-81.390904,CABOT CORP,Chemicals,Carbon disulfide,NO,YES,TRI,NO,NO,NO,1152986.26
BUCKEYE PORT READING TERMINAL LLC,PORT READING,NJ,40.564223,-74.25076,BUCKEYE PORT READING TERMINAL LLC,Petroleum,"1,3-Butadiene",NO,YES,TRI,YES,NO,NO,578.3199999999999
ADM DECATUR COMPLEX,DECATUR,IL,39.863648,-88.883624,ARCHER DANIELS MIDLAND CO,Food,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,YES,TRI,NO,NO,NO,6641043.0
GRIFFITH ENERGY - WATERTOWN,WATERTOWN,NY,43.93565,-75.93515,,Petroleum Bulk Terminals,Methyl tert-butyl ether,NO,YES,TRI,NO,NO,NO,0.0
MOMENTIVE SPECIALTY CHEMICALS INC,FREMONT,CA,37.5095,-121.98866,MOMENTIVE PERFORMANCE MATERIALS HOLDINGS LLC,Chemicals,Formaldehyde,NO,YES,TRI,YES,NO,NO,19204.66
WEYERHAEUSER NR - ARCADIA OSB,SIMSBORO,LA,32.539796,-92.873549,WEYERHAEUSER CO,Wood Products,Lead compounds,NO,YES,PBT,NO,YES,NO,1299.1799999999998
