FACILITY NAME,CITY,ST,LATITUDE,LONGITUDE,PARENT CO NAME,INDUSTRY SECTOR,CHEMICAL,ELEMENTAL METAL INCLUDED,CLEAN AIR ACT CHEMICAL,CLASSIFICATION,CARCINOGEN,PBT,PFAS,TOTAL POLLUTION
NYPRO PACKAGING,CHULA VISTA,CA,32.595741,-117.031699,JABIL CIRCUIT INC,Fabricated Metals,Nickel,NO,YES,TRI,YES,NO,NO,1.0
ALUMINUM RECOVERY TECHNOLOGY INC,KENDALLVILLE,IN,41.44099,-85.22862,,Primary Metals,Lead,NO,NO,PBT,YES,YES,NO,9616.0
TRI-STAR INDUSTRIES INC,BERLIN,CT,41.628125,-72.752862,MW INDUSTRIES INC,Fabricated Metals,Chromium,NO,YES,TRI,NO,NO,NO,14371.05
GLOBAL DALLAS TERMINAL,DALLAS,TX,32.77884,-96.88443,GLOBAL PARTNERS LP,Petroleum Bulk Terminals,Toluene,NO,YES,TRI,NO,NO,NO,10663.13
PROCTER & GAMBLE HAIR CARE LLC,IOWA CITY,IA,41.638723,-91.501632,THE PROCTER & GAMBLE CO,Chemicals,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,YES,TRI,NO,NO,NO,13045374.0
PROVIDENTIAL FABRICATORS,MEMPHIS,TN,35.10285,-90.09868,QUALICO STEEL CO INC,Fabricated Metals,Manganese,NO,YES,TRI,NO,NO,NO,504355.88
CHEMOURS DELISLE PLANT,PASS CHRISTIAN,MS,30.389186,-89.308892,THE CHEMOURS CO,Chemicals,Carbonyl sulfide,NO,YES,TRI,NO,NO,NO,38549521.07
EAST DUBUQUE NITROGEN FERTILIZERS LLC,EAST DUBUQUE,IL,42.44311,-90.55686,CVR ENERGY INC,Chemicals,Methanol,NO,YES,TRI,NO,NO,NO,282820.98
CWC TEXTRON,MUSKEGON,MI,43.205414,-86.270352,TEXTRON INC,Primary Metals,Lead compounds,NO,YES,PBT,NO,YES,NO,4603.67
AAF INTERNATIONAL,WASHINGTON,NC,35.585533,-77.109773,AMERICAN AIR FILTER CO INC,Machinery,Manganese,NO,YES,TRI,NO,NO,NO,150180.0
NORTH AMERICAN STAINLESS,GHENT,KY,38.727778,-85.072222,,Primary Metals,Manganese compounds,NO,YES,TRI,NO,NO,NO,28363633.979999997
SHELL CHEMICAL LP,DEER PARK,TX,29.722222,-95.126944,SHELL PETROLEUM INC,Chemicals,Toluene,NO,YES,TRI,NO,NO,NO,276115.98
SPECTRUM GLASS CO,WOODINVILLE,WA,47.777258,-122.149038,VANGUARD PROPERTIES CO,Nonmetallic Mineral Product,Zinc compounds,NO,NO,TRI,NO,NO,NO,4000.535
CABOT CORP VILLE PLATTE PLANT,VILLE PLATTE,LA,30.7492,-92.2532,CABOT CORP,Chemicals,Hydrogen cyanide,NO,YES,TRI,NO,NO,NO,2212802.0700000003
DUPONT BAYPORT PLANT,PASADENA,TX,29.617466,-95.060698,DUPONT DE NEMOURS INC,Plastics and Rubber,"N,N-Dimethylformamide",NO,YES,TRI,YES,NO,NO,220165.0
H-J ENTERPRISES INC,HIGH RIDGE,MO,38.45935,-90.53609,,Electrical Equipment,Lead,NO,NO,PBT,YES,YES,NO,36985.92
PHILLIPS 66 CO.  JONES CREEK TERMINAL,JONES CREEK,TX,28.940498,-95.430442,PHILLIPS 66 CO,Petroleum Bulk Terminals,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,451.0
MCCLARIN PLASTICS LLC OKLAHOMA DIV,OKLAHOMA CITY,OK,35.50783,-97.58885,MCCLARIN PLASTICS,Plastics and Rubber,Styrene,NO,YES,TRI,YES,NO,NO,23500.0
US GYPSUM CO,EL CENTRO,CA,32.79008,-115.85389,USG CORP,Nonmetallic Mineral Product,Mercury compounds,NO,YES,PBT,NO,YES,NO,69.81
CORTEVA AGRISCIENCE LLC - HARBOR BEACH OPERATIONS,HARBOR BEACH,MI,43.846111,-82.649722,CORTEVA INC,Chemicals,"1,2,4-Trimethylbenzene",NO,NO,TRI,NO,NO,NO,54472.0
YUSA CORP,WASHINGTON COURT HOUSE,OH,39.52638,-83.47099,,Transportation Equipment,Ethylene glycol,NO,YES,TRI,NO,NO,NO,265273.5
SUPERIOR COMPOSITES CO LLC,VANCEBURG,KY,38.601111,-83.274167,,Nonmetallic Mineral Product,Styrene,NO,YES,TRI,YES,NO,NO,272291.0
CENTER INDUSTRIES CORP,WICHITA,KS,37.64954,-97.37775,,Fabricated Metals,Lead,NO,NO,PBT,YES,YES,NO,5121.6
WELDED TUBE USA INC.,LACKAWANNA,NY,42.815608,-78.845918,,Primary Metals,Chromium,NO,YES,TRI,NO,NO,NO,3817865.87
HONDA DEVELOPMENT & MANUFACTURING OF AMERICA LLC - TRANSMIS,RUSSELLS POINT,OH,40.47013,-83.8861,AMERICAN HONDA MOTOR CO INC,Transportation Equipment,Propylene,NO,NO,TRI,NO,NO,NO,0.0
FLINT HILLS RESOURCES PINE BEND LLC STEVENS POINT,STEVENS POINT,WI,44.51105,-89.57866,KOCH INDUSTRIES INC,Petroleum,"Benzo[g,h,i]perylene",NO,YES,PBT,NO,YES,NO,1.2840000000000005
SUBARU OF INDIANA AUTOMOTIVE INC,LAFAYETTE,IN,40.378818,-86.792522,SUBARU USA HOLDINGS INC.,Transportation Equipment,"1,2,4-Trimethylbenzene",NO,NO,TRI,NO,NO,NO,368417.71
PUBLIC SERVICE CO OF COLORADO PAWNEE STATION,BRUSH,CO,40.220084,-103.678999,XCEL ENERGY,Electric Utilities,Mercury compounds,NO,YES,PBT,NO,YES,NO,1347.87
GRADY WHITE BOATS INC.,GREENVILLE,NC,35.649613,-77.34405,,Transportation Equipment,Diisocyanates,NO,NO,TRI,NO,NO,NO,6.1
EXXON MOBIL CORP EVERETT TERMINAL,EVERETT,MA,42.396384,-71.060496,EXXON MOBIL CORP,Petroleum Bulk Terminals,Lead compounds,NO,YES,PBT,NO,YES,NO,13.919999999999998
O&K AMERICAN CORP.,CHICAGO,IL,41.794233,-87.739147,,Primary Metals,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,YES,TRI,NO,NO,NO,105244.85
CST COVERS,CONROE,TX,30.338911,-95.449161,CST INDUSTRIES INC,Fabricated Metals,Manganese,NO,YES,TRI,NO,NO,NO,67980.82
SAFETY-KLEEN SYSTEMS MISSOURI CITY (MIS),MISSOURI CITY,TX,29.62086,-95.53909,CLEAN HARBORS INC,Hazardous Waste,"Benzo[g,h,i]perylene",NO,YES,PBT,NO,YES,NO,207.07
UNIVAR USA INC HOUSTON FM 529,HOUSTON,TX,29.88023,-95.57905,UNIVAR SOLUTIONS USA INC,Chemical Wholesalers,Methyl isobutyl ketone,NO,YES,TRI,YES,NO,NO,0.0
EKJ ENTERPRISES LP,ROCKWALL,TX,32.908682,-96.415352,EKJ ENTERPRISES LP,Fabricated Metals,Chromium,NO,YES,TRI,NO,NO,NO,1145000.0
J H CAMPBELL GENERATING PLANT,WEST OLIVE,MI,42.912085,-86.203542,CMS ENERGY,Electric Utilities,Mercury compounds,NO,YES,PBT,NO,YES,NO,1869.74
ORTHO-CLINICAL DIAGNOSTICS,RARITAN,NJ,40.572486,-74.649095,QUIDELORTHO CORP,Chemicals,Methanol,NO,YES,TRI,NO,NO,NO,341775.94
CITY WATER LIGHT & POWER CITY OF SPRINGFIELD,SPRINGFIELD,IL,39.754494,-89.604988,,Electric Utilities,Hydrogen fluoride,NO,YES,TRI,NO,NO,NO,192850.92
NEW CASTLE POWER PLANT,WEST PITTSBURG,PA,40.936683,-80.369776,NRG ENERGY INC,Electric Utilities,Mercury compounds,NO,YES,PBT,NO,YES,NO,120.1
MONTICELLO STEAM ELECTRIC STATION & LIGNITE MINE,MOUNT PLEASANT,TX,33.092262,-95.038053,LUMINANT GENERATION,Electric Utilities,Zinc compounds,NO,NO,TRI,NO,NO,NO,277161.64
GCP APPLIED TECHNOLOGIES INC,LOS ANGELES,CA,33.97445,-118.12746,SAINT GOBAIN CORP,Chemicals,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,NO,TRI,NO,NO,NO,2640.74
H-I-S PAINT MANUFACTURING CO INC,OKLAHOMA CITY,OK,35.46685,-97.544,HIS PAINT MANUFACTURING CO,Chemicals,Certain glycol ethers,NO,YES,TRI,NO,NO,NO,20001.05
HEIDELBERG MATERIALS US CEMENT LLC,LOGANSPORT,IN,40.734521,-86.433441,HEIDELBERG MATERIALS US INC,Nonmetallic Mineral Product,Cobalt compounds,NO,YES,TRI,YES,NO,NO,2527.7799999999997
TILCON CONNECTICUT INC.,NEW BRITAIN,CT,41.667111,-72.821511,CRH AMERICAS INC,Petroleum,"Benzo[g,h,i]perylene",NO,YES,PBT,NO,YES,NO,0.9
CLEVELAND-CLIFFS CLEVELAND WORKS LLC DBA CLEVELAND-CLIFFS WA,WARREN,OH,41.211242,-80.81682,CLEVELAND-CLIFFS INC,Petroleum,Dibenzofuran,NO,YES,TRI,NO,NO,NO,23076.22
TE CONNECTIVITY,JONESTOWN,PA,40.45854,-76.51256,TE CONNECTIVITY LTD,Computers and Electronic Products,Nickel compounds,NO,YES,TRI,YES,NO,NO,2051.42
CHELSEA SANDWICH LLC,CHELSEA,MA,42.38692,-71.04534,GLOBAL PARTNERS LP,Petroleum Bulk Terminals,n-Hexane,NO,YES,TRI,NO,NO,NO,975.55
GOLD BOND BUILDING PRODUCTS - WAUKEGAN,WAUKEGAN,IL,42.367683,-87.822884,SPANGLER COS INC,Nonmetallic Mineral Product,Lead compounds,NO,YES,PBT,NO,YES,NO,114.8
ZINPRO CORP,GARNER,IA,43.09111,-93.59279,ZINPRO CORP,Food,Selenium compounds,NO,YES,TRI,NO,NO,NO,0.0
FLEXSYS AMERICA LP KRUMMRICH,SAUGET,IL,38.59724,-90.168697,FLEXSYS AMERICA L.P.,Chemicals,Methyl isobutyl ketone,NO,YES,TRI,YES,NO,NO,2549410.416
TANNER STREET GENERATION LLC,LOWELL,MA,42.631218,-71.312708,,Electric Utilities,Ammonia,NO,NO,TRI,NO,NO,NO,9165.73
CHAPARRAL (VA) INC,PETERSBURG,VA,37.179254,-77.447487,GERDAU GROUP,Primary Metals,Copper compounds,NO,NO,TRI,NO,NO,NO,133680.83000000002
