FACILITY NAME,CITY,ST,LATITUDE,LONGITUDE,PARENT CO NAME,INDUSTRY SECTOR,CHEMICAL,ELEMENTAL METAL INCLUDED,CLEAN AIR ACT CHEMICAL,CLASSIFICATION,CARCINOGEN,PBT,PFAS,TOTAL POLLUTION
GEORGIA PACIFIC LEAF RIVER CELLULOSE LLC,NEW AUGUSTA,MS,31.244429,-89.045353,KOCH INDUSTRIES INC,Paper,Chlorine dioxide,NO,NO,TRI,NO,NO,NO,604415.99
SKANA ALUMINUM CO,MANITOWOC,WI,44.12862,-87.63048,,Primary Metals,Vanadium (except when contained in an alloy),NO,NO,TRI,NO,NO,NO,82977.88
ASTRO SHAPES LLC,STRUTHERS,OH,41.05754,-80.58963,YOUNGER HOLDCO LLC,Primary Metals,Phosphoric acid,NO,NO,TRI,NO,NO,NO,34035.92
KUSHWOOD MANUFACTURING INC,BUENA PARK,CA,33.86242,-118.02127,,Furniture,Toluene,NO,YES,TRI,NO,NO,NO,59196.54
CATERPILLAR FOREST PRODUCTS,OWATONNA,MN,44.11864,-93.24631,CATERPILLAR INC,Machinery,Copper compounds,NO,NO,TRI,NO,NO,NO,180051.1
NORTH AMERICAN HOGANAS,HOLLSOPPLE,PA,40.192646,-78.933994,NORTH AMERICAN HOGANAS INC,Primary Metals,Molybdenum trioxide,NO,NO,TRI,YES,NO,NO,1.01
H&H SWISS SCREW MACHINE PRODUCTS CO,HILLSIDE,NJ,40.708667,-74.233079,,Fabricated Metals,Copper,NO,NO,TRI,NO,NO,NO,990560.15
SUPELCO,BELLEFONTE,PA,40.88344,-77.73978,EMD HOLDING CORP,Computers and Electronic Products,Dichloromethane,NO,YES,TRI,YES,NO,NO,90661.0
BONNELL ALUMINUM INC.,NEWNAN,GA,33.379838,-84.821686,TREDEGAR CORP,Primary Metals,Ammonia,NO,NO,TRI,NO,NO,NO,193930.97
KATAYAMA AMERICAN CO. INC.,SHELBYVILLE,KY,38.224873,-85.257189,KATAYAMA MANUFACTURING LLC,Transportation Equipment,Chromium,NO,YES,TRI,NO,NO,NO,170862.91
ASSOCIATED MILK PRODUCERS INC.,HOVEN,SD,45.24518,-99.778893,ASSOCIATED MILK PRODUCERS INC,Food,Nitric acid,NO,NO,TRI,NO,NO,NO,0.0
AC PRODUCTS INC.,PLACENTIA,CA,33.859084,-117.870826,QUAKER CHEMICAL CORP,Chemicals,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,5751.02
HART & COOLEY LLC,HUNTSVILLE,AL,34.77928,-86.53661,DURAVENT INC,Fabricated Metals,Certain glycol ethers,NO,YES,TRI,NO,NO,NO,159124.0
ALTON STEEL INC,ALTON,IL,38.88321,-90.14503,,Primary Metals,Lead compounds,NO,YES,PBT,NO,YES,NO,9195.97
OILSEEDS INTERNATIONAL LTD,GRIMES,CA,38.974722,-121.850277,ITOCHU CORP,Food,n-Hexane,NO,YES,TRI,NO,NO,NO,1830501.2
KOCH FERTILIZER DODGE CITY LLC,DODGE CITY,KS,37.777013,-99.929746,KOCH INDUSTRIES INC,Chemicals,Zinc compounds,NO,NO,TRI,NO,NO,NO,164040.22999999998
CRAFTSMAN PLATING & TINNING CORP,CHICAGO,IL,41.941374,-87.660461,,Fabricated Metals,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,YES,TRI,NO,NO,NO,98270.03
ASC ENGINEERED SOLUTIONS,HENDERSON,TN,35.47414,-88.69197,,Fabricated Metals,Manganese,NO,YES,TRI,NO,NO,NO,81191.0
OCCIDENTAL CHEMICAL HOLDING CORP - GEISMAR PLANT,GEISMAR,LA,30.181862,-90.986959,OCCIDENTAL PETROLEUM CORP,Chemicals,Methanol,NO,YES,TRI,NO,NO,NO,75031.03
CELANESE LTD CLEAR LAKE PLANT,PASADENA,TX,29.624369,-95.062877,CELANESE CORP,Chemicals,Benzene,NO,YES,TRI,YES,NO,NO,22276.0
THERMOS CO,BATESVILLE,MS,34.338998,-89.931479,,Miscellaneous Manufacturing,Nickel,NO,YES,TRI,YES,NO,NO,13656.82
SPECTRUM LABORATORY PRODUCTS ( NEW JERSEY),NEW BRUNSWICK,NJ,40.47405,-74.47471,SPECTRUM LABORATORY PRODUCTS,Chemical Wholesalers,Cyclohexane,NO,NO,TRI,NO,NO,NO,0.0
SMURFIT-STONE CONTAINER ENTERPRISES INCMISSOULA MILL,MISSOULA,MT,46.964883,-114.197828,SMURFIT-STONE CONTAINER CORP (NO LONGER EXISTS),Paper,Chlorine dioxide,NO,NO,TRI,NO,NO,NO,106646.92
NORCO NORFOLK,BATTLE CREEK,NE,42.0185,-97.38234,LAND O'LAKES INC,Food,Zinc (fume or dust),NO,NO,TRI,NO,NO,NO,0.0
"PINOVA,INC.",BRUNSWICK,GA,31.1653,-81.4811,DRT,Chemicals,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,570800.98
CARGILL CORN MILLING,EDDYVILLE,IA,41.16226,-92.6361,CARGILL INC,Chemicals,Benzene,NO,YES,TRI,YES,NO,NO,0.0
TIMPTE INC,DAVID CITY,NE,41.26748,-97.13201,,Transportation Equipment,Phosphoric acid,NO,NO,TRI,NO,NO,NO,0.0
GULF MARINE REPAIR CORP,TAMPA,FL,27.944289,-82.440769,,Transportation Equipment,Zinc (fume or dust),NO,NO,TRI,NO,NO,NO,52001.0
