FACILITY NAME,CITY,ST,LATITUDE,LONGITUDE,PARENT CO NAME,INDUSTRY SECTOR,CHEMICAL,ELEMENTAL METAL INCLUDED,CLEAN AIR ACT CHEMICAL,CLASSIFICATION,CARCINOGEN,PBT,PFAS,TOTAL POLLUTION
ST MARYS CEMENT U.S. LLC,CHARLEVOIX,MI,45.316951,-85.299349,VOTORANTIM CIMENTOS N.A. INC,Nonmetallic Mineral Product,Ethylene glycol,NO,YES,TRI,NO,NO,NO,1.0
ROSS INCINERATION SERVICES INC,GRAFTON,OH,41.324167,-82.034722,RI TECHNOLOGIES INC,Hazardous Waste,Bifenthrin,NO,YES,TRI,NO,NO,NO,247560.85
EMERALD PERFORMANCE MATERIALS LLC,HENRY,IL,41.135468,-89.339559,EMERALD PERFORMANCE MATERIALS LLC,Chemicals,Acetonitrile,NO,YES,TRI,NO,NO,NO,6993268.640000001
CHEMART,LINCOLN,RI,41.929389,-71.4785,,Fabricated Metals,Zinc compounds,NO,NO,TRI,NO,NO,NO,129450.08
AMERICAN ELECTRIC POWER CONESVILLE PLANT,CONESVILLE,OH,40.185978,-81.878554,AMERICAN ELECTRIC POWER,Electric Utilities,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,YES,TRI,NO,NO,NO,5040001.0600000005
HI PLAINS FEED LLC,WRIGHT,KS,37.733889,-100.034722,HI PLAINS FEED LLC,Food,Zinc compounds,NO,NO,TRI,NO,NO,NO,0.0
EQUISTAR CHEMICALS LP,CORPUS CHRISTI,TX,27.81,-97.593611,LYONDELLBASELL INDUSTRIES,Chemicals,"Benzo[g,h,i]perylene",NO,YES,PBT,NO,YES,NO,123.88
JOHNSON MATTHEY,WEST DEPTFORD,NJ,39.81925,-75.2045,JOHNSON MATTHEY US 2 LLC,Primary Metals,Mercury,NO,YES,PBT,NO,YES,NO,803.05
US STEEL CORP GREAT LAKES WORKS,ECORSE,MI,42.2774,-83.1103,US STEEL CORP,Primary Metals,Barium compounds (except for barium sulfate (CAS No. 7727-43-7)),NO,NO,TRI,NO,NO,NO,117069.91
PURINA ANIMAL NUTRITION LLC  - WILLMAR,WILLMAR,MN,45.10586,-95.07335,LAND O LAKES INC,Food,Zinc compounds,NO,NO,TRI,NO,NO,NO,0.0
CALGON CARBON CORP NEVILLE ISLAND PLANT,PITTSBURGH,PA,40.492329,-80.079626,KURARAY HOLDINGS INC,Chemicals,Copper compounds,NO,NO,TRI,NO,NO,NO,145263.24
ECOBAT RESOURCES INDIANA LLC,INDIANAPOLIS,IN,39.755554,-86.300056,ECOBAT LLC,Primary Metals,Dioxin and dioxin-like compounds,NO,YES,Dioxin,YES,YES,NO,0.00220462
OWENS-BROCKWAY GLASS CONTAINER INC - PLANT #02,KALAMA,WA,46.031638,-122.866164,O-I GLASS INC.,Nonmetallic Mineral Product,Lead  And Lead Compounds,YES,YES,PBT,NO,YES,NO,433.6799999999999
STELLA-JONES CORP,SHERIDAN,OR,45.097222,-123.426944,STELLA-JONES US HOLDING CORP,Wood Products,Pentachlorophenol,NO,YES,TRI,YES,NO,NO,43339.08
MERZ N.A. INC.,STURTEVANT,WI,42.71482,-87.95566,MERZ N.A. INC,Miscellaneous Manufacturing,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,NO,TRI,NO,NO,NO,94569.16
MID-TOWN PETROLEUM ACQUISITIONS LLC,KENT,OH,41.10954,-81.37994,RELADYNE LLC,Chemical Wholesalers,Ethylene glycol,NO,YES,TRI,NO,NO,NO,0.0
APALACHEE POLE COMPANY,BRISTOL,FL,30.346688,-84.992636,,Wood Products,Lead,NO,NO,PBT,YES,YES,NO,138.57
UNIVAR SOLUTIONS USA - CARTERET,CARTERET,NJ,40.578374,-74.214418,UNIVAR SOLUTIONS USA LLC,Chemical Wholesalers,Toluene,NO,YES,TRI,NO,NO,NO,13160.73
PENTAGON RESERVATION,ARLINGTON,VA,38.870855,-77.055745,US DEPARTMENT OF DEFENSE,Other,Lead compounds,NO,YES,PBT,NO,YES,NO,1704.7
