FACILITY NAME,CITY,ST,LATITUDE,LONGITUDE,PARENT CO NAME,INDUSTRY SECTOR,CHEMICAL,ELEMENTAL METAL INCLUDED,CLEAN AIR ACT CHEMICAL,CLASSIFICATION,CARCINOGEN,PBT,PFAS,TOTAL POLLUTION
HEBRON BRICK CO,HEBRON,ND,46.902175,-102.0405,HEBRON BRICK COS,Nonmetallic Mineral Product,Chromium compounds (except for chromite ore mined in the Transvaal Region),NO,YES,TRI,NO,NO,NO,1500.0
MOBIL CHEMICAL CO FILMS DIV,MACEDON,NY,43.071007,-77.293899,MOBIL CORP,Paper,Methanol,NO,YES,TRI,NO,NO,NO,4710.0
OMNOVA N.A. INC.,MONROE,NC,35.02511,-80.60432,SURTECO N.A.,Printing,Methyl ethyl ketone,NO,NO,TRI,NO,NO,NO,60900.0
PCS PURIFIED PHOSPHATE,FERNALD,OH,39.27894,-84.69169,POTASH CORP OF SASKATCHEWAN INC,Chemicals,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,NO,TRI,NO,NO,NO,1500.0
BECKMAN COULTER INC,CHASKA,MN,44.84111,-93.58014,BECKMAN COULTER INC,Computers and Electronic Products,Acetone,NO,NO,TRI,NO,NO,NO,1500.0
DOLPHIN INC,PHOENIX,AZ,33.44228,-112.18656,KARSTEN MANUFACTURING CORP,Primary Metals,Copper compounds,NO,NO,TRI,NO,NO,NO,15.0
SUPERIOR REFINING CO LLC,SUPERIOR,WI,46.692389,-92.065278,SUPERIOR REFINING CO LLC,Petroleum,Ethylene,NO,NO,TRI,NO,NO,NO,4224.0
BRISTOL-MYERS SQUIBB MANUFACTU RING CO,BARCELONETA,PR,18.430132,-66.563955,BRISTOL-MYERS SQUIBB CO,Chemicals,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,NO,TRI,NO,NO,NO,785.0
THE GILL CORP,EL MONTE,CA,34.08291,-118.06062,,Transportation Equipment,Methyl ethyl ketone,NO,NO,TRI,NO,NO,NO,33150.0
GEORGIA-PACIFIC CEDAR SPRINGS LLC,CEDAR SPRINGS,GA,31.1694,-85.0941,KOCH INDUSTRIES INC,Paper,Catechol,NO,YES,TRI,YES,NO,NO,8370.0
CHEVRON PRODUCTS CO - SALT LAKE REFINERY,SALT LAKE CITY,UT,40.824668,-111.930772,CHEVRON CORP,Petroleum,Lead compounds,NO,YES,PBT,NO,YES,NO,1030.0
NATIONAL PERFORATING CORP,CLINTON,MA,42.42447,-71.68929,,Fabricated Metals,Chromium,NO,YES,TRI,NO,NO,NO,0.0
HONEYWELL BURDICK & JACKSON,MUSKEGON,MI,43.216667,-86.206667,HONEYWELL INTERNATIONAL INC,Chemicals,Toluene,NO,YES,TRI,NO,NO,NO,3000.0
IDEAL FASTENER CORP,OXFORD,NC,36.298266,-78.609466,,Miscellaneous Manufacturing,Methyl ethyl ketone,NO,NO,TRI,NO,NO,NO,46500.0
3M CHEMICAL OPERATIONS' COTTAGE GROVE FACILITY,COTTAGE GROVE,MN,44.789444,-92.908333,3M CO,Chemicals,Formaldehyde,NO,YES,TRI,YES,NO,NO,11730.0
DETROIT DIESEL CORP,DETROIT,MI,42.37642,-83.26104,DAIMLER TRUCKS N.A. LLC,Machinery,sec-Butyl alcohol,NO,NO,TRI,NO,NO,NO,35430.0
HENKEL CORPORATION,BUFFALO,NY,42.857414,-78.866375,HENKEL CORP,Chemicals,"1,4-Dioxane",NO,YES,TRI,YES,NO,NO,2100.0
TEMPGLASS EASTERN INC,BUFORD,GA,34.10778,-84.00893,INDAL LTD,Nonmetallic Mineral Product,Lead compounds,NO,YES,PBT,NO,YES,NO,8910.0
TOYOTA MOTOR MANUFACTURING KENTUCKY,GEORGETOWN,KY,38.26035,-84.534367,TOYOTA MOTOR N.A. INC,Transportation Equipment,Methanol,NO,YES,TRI,NO,NO,NO,345000.0
BOEING COMMERCIAL AIRPLANES - AUBURN,AUBURN,WA,47.283625,-122.24277,THE BOEING CO,Transportation Equipment,Acetone,NO,NO,TRI,NO,NO,NO,1095340.0
WILLAMETTE FALLS PAPER CO,WEST LINN,OR,45.356397,-122.614836,COLUMBIA VENTURES CORP,Paper,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,NO,TRI,NO,NO,NO,3300.0
EXTERIOR SYS INC (DBA OWENS CORNING METAL SYS),LINCOLN PARK,MI,42.260738,-83.18253,OWENS CORNING,Fabricated Metals,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,YES,TRI,NO,NO,NO,0.0
KURT MANUFACTURING CO,FRIDLEY,MN,45.105239,-93.243554,KURT MANUFACTURING CO,Primary Metals,Aluminum (fume or dust),NO,NO,TRI,NO,NO,NO,523004.0
FORD LOUISVILLE ASSEMBLY,LOUISVILLE,KY,38.1547,-85.7255,FORD MOTOR CO,Transportation Equipment,Zinc compounds,NO,NO,TRI,NO,NO,NO,23350.0
ELECTROLUX HOME PRODS,MC RAE,GA,32.060582,-82.877405,WHITE CONSOLIDATED INDS,Machinery,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,NO,TRI,NO,NO,NO,0.0
MEROCEL FACILITY,MYSTIC,CT,41.37643,-72.00587,MEDTRONIC INC,Miscellaneous Manufacturing,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,NO,TRI,NO,NO,NO,0.0
SANMINA-SCI CORP,WILMINGTON,MA,42.52788,-71.15707,SANMINA-SCI CORP,Computers and Electronic Products,Formaldehyde,NO,YES,TRI,YES,NO,NO,2159.0
JACOBS VEHICLE SYSTEMS INC,BLOOMFIELD,CT,41.852092,-72.697869,DANAHER CORP,Transportation Equipment,"1,1,1-Trichloroethane",NO,YES,TRI,NO,NO,NO,60000.0
GOLD BOND BUILDING PRODS,MATTESON,IL,41.4951,-87.70708,NATIONAL GYPSUM CO,Nonmetallic Mineral Product,Ethylene glycol,NO,YES,TRI,NO,NO,NO,1035.0
ANODIZING INC EXTRUSIONS INC,FORT SCOTT,KS,37.81161,-94.70539,,Fabricated Metals,Nitric acid,NO,NO,TRI,NO,NO,NO,1000.0
CCL CUSTOM MANUFACTURING INC NILES,NILES,IL,42.0192,-87.78018,CCL CUSTOM MANUFACTURING INC,Chemicals,Certain glycol ethers,NO,YES,TRI,NO,NO,NO,1000.0
POTTER PAINT CO OF INDIANA INC,CAMBRIDGE CITY,IN,39.80593,-85.17317,,Chemicals,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,6000.0
ASCENT CHEMICALS - DANVILLE,DANVILLE,VA,36.60925,-79.3636,ASCENT CHEMICALS,Chemicals,Methyl methacrylate,NO,YES,TRI,NO,NO,NO,220.0
PILGRIM CANOPY CO,SPOKANE,WA,47.657444,-117.306776,BERUBE BROTHERS INC,Transportation Equipment,Styrene,NO,YES,TRI,YES,NO,NO,10821.0
GEORGIA-PACIFIC GYPSUM LLC - LOVELL PLANT,LOVELL,WY,44.7155,-108.187,KOCH INDUSTRIES INC,Nonmetallic Mineral Product,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,NO,TRI,NO,NO,NO,0.0
THOMASVILLE FURN IND INC BROOKNEAL,BROOKNEAL,VA,37.093186,-78.899668,FURNITURE BRANDS INTL INC,Furniture,Toluene,NO,YES,TRI,NO,NO,NO,121620.0
BASF CORP,CHATTANOOGA,TN,35.045668,-85.192299,,Chemicals,Acrylamide,NO,YES,TRI,YES,NO,NO,1657.0
DELTA-HA,MILWAUKEE,WI,43.13216,-87.95261,,Chemicals,Naphthalene,NO,YES,TRI,YES,NO,NO,1500.0
ROYAL CROWN CO INC,COLUMBUS,GA,32.464277,-84.979735,TRIARC BEVERAGE GROUP,Beverages,Phosphoric acid,NO,NO,TRI,NO,NO,NO,0.0
UNIVERSAL ELECTRIC FOUNDRY INC,CHICAGO,IL,41.889582,-87.666362,,Primary Metals,Copper,NO,NO,TRI,NO,NO,NO,15.0
AMERICAN SLATE & MARBLE,HICKORY,NC,35.72026,-81.37371,,Nonmetallic Mineral Product,Styrene,NO,YES,TRI,YES,NO,NO,765.0
CERRO FLOW PRODUCTS LLC,SAUGET,IL,38.591804,-90.172888,BERKSHIRE HATHAWAY INC,Primary Metals,Lead compounds,NO,YES,PBT,NO,YES,NO,1053750.0
MAPES PIANO STRING CO,ELIZABETHTON,TN,36.35033,-82.21696,,Miscellaneous Manufacturing,Cadmium,NO,YES,TRI,YES,NO,NO,40.0
U.S. ARMY JSMC GENERAL DYNAMICS LAND SYSTEMS,LIMA,OH,40.708654,-84.128767,GENERAL DYNAMICS CORP,Transportation Equipment,"1,1,1-Trichloroethane",NO,YES,TRI,NO,NO,NO,203307.0
VALVOLINE,DEER PARK,TX,29.73317,-95.09654,VGP HOLDINGS LLC,Petroleum,Zinc compounds,NO,NO,TRI,NO,NO,NO,30.0
WOODTREATERS INC,ROCKY POINT,NC,34.430336,-77.886083,,Wood Products,Copper compounds,NO,NO,TRI,NO,NO,NO,284.0
ENGINEERED POLYMER SOLUTIONS INC. D/B/A VALSPAR COATINGS,FREMONT,MI,43.470833,-85.9425,THE VALSPAR CORP,Petroleum,Toluene,NO,YES,TRI,NO,NO,NO,3040.0
LANSCO DIE CASTING INC.,CITY OF INDUSTRY,CA,34.012897,-117.954032,,Primary Metals,Copper,NO,NO,TRI,NO,NO,NO,750.0
EMGE PACKING CO INC,ANDERSON,IN,40.108224,-85.704935,,Food,Ammonia,NO,NO,TRI,NO,NO,NO,50560.0
GACO WESTERN LLC.,TUKWILA,WA,47.434472,-122.26338,,Chemicals,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,6000.0
CARLETON LIFE SUPPORT SYSTEMS INC,DAVENPORT,IA,41.54861,-90.61509,COBHAM PLC,Computers and Electronic Products,"1,1,1-Trichloroethane",NO,YES,TRI,NO,NO,NO,0.0
PENNAKEM LLC,MEMPHIS,TN,35.173611,-89.948889,,Chemicals,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,NO,TRI,NO,NO,NO,0.0
DRS-SSI,WEST PLAINS,MO,36.739698,-91.859612,LEONARDO DRS INC,Transportation Equipment,Methyl ethyl ketone,NO,NO,TRI,NO,NO,NO,53584.0
MUNTERS CORP,FORT MYERS,FL,26.578376,-81.856308,,Paper,Formaldehyde,NO,YES,TRI,YES,NO,NO,105924.0
GRIFFITH RUBBER MILLS OF GARRETT INC,GARRETT,IN,41.35689,-85.11667,GRIFFITH RUBBER MILLS,Computers and Electronic Products,Copper,NO,NO,TRI,NO,NO,NO,0.0
VERTIS COMMUNICATIONS,POMONA,CA,34.05021,-117.80643,VERTIS COMMUNICATIONS,Printing,Copper compounds,NO,NO,TRI,NO,NO,NO,3000.0
ALLIED TUBE & CONDUIT CORP.,HARVEY,IL,41.595535,-87.642446,,Primary Metals,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,120000.0
TMS MANUFACTURING,ALSIP,IL,41.668736,-87.709249,TERRAZZO & MARBLE SUPPLY CO,Chemicals,Certain glycol ethers,NO,YES,TRI,NO,NO,NO,750.0
ANCHOR GLASS CONTAINER CORP,ROYERSFORD,PA,40.17757,-75.54091,ANCHOR GLASS CONTAINER CORP,Nonmetallic Mineral Product,Chromium compounds (except for chromite ore mined in the Transvaal Region),NO,YES,TRI,NO,NO,NO,126.0
BLUEWATER THERMAL SOLUTIONS - PLANT 2,NORTHLAKE,IL,41.900339,-87.898676,BWT LLC,Fabricated Metals,Copper,NO,NO,TRI,NO,NO,NO,0.0
FORD MOTOR CO DEARBORN TRUCK PLANT,DEARBORN,MI,42.3025,-83.154167,FORD MOTOR CO,Transportation Equipment,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,NO,TRI,NO,NO,NO,0.0
FORMOSA PLASTICS CORP TEXAS,POINT COMFORT,TX,28.69759,-96.542101,FORMOSA PLASTICS CORP USA,Chemicals,Trichloroethylene,NO,YES,TRI,YES,NO,NO,47100.0
REYNOLDS METALS CO SHEFFIELD PLANT,SHEFFIELD,AL,34.758505,-87.614437,REYNOLDS METALS CO,Primary Metals,Manganese,NO,YES,TRI,NO,NO,NO,15.0
DITTMAR LUMBER CORP,WAXAHACHIE,TX,32.416951,-96.848885,,Wood Products,Copper compounds,NO,NO,TRI,NO,NO,NO,994.0
COVALENCE ADHESIVES,FRANKLIN,KY,36.75588,-86.57649,BERRY GLOBAL INC,Plastics and Rubber,Vinyl acetate,NO,YES,TRI,YES,NO,NO,12612.0
OMC MILWAUKEE,MILWAUKEE,WI,43.12822,-87.99089,OUTBOARD MARINE CORP,Machinery,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,NO,TRI,NO,NO,NO,3000.0
BAYCOTE METAL FINISHING,MISHAWAKA,IN,41.64967,-86.16489,,Fabricated Metals,Cyanide compounds,NO,YES,TRI,NO,NO,NO,550.0
CUSTOM PAK PRODUCTS INC,GERMANTOWN,WI,43.24331,-88.106182,,Chemicals,Methyl ethyl ketone,NO,NO,TRI,NO,NO,NO,1500.0
ELDORADO CHEMICAL CO INC,STOCKTON,CA,37.943021,-121.263274,,Chemicals,Phenol,NO,YES,TRI,NO,NO,NO,1575.0
SONOCO PRODUCTS CO,ORLANDO,FL,28.406617,-81.401171,SONOCO PRODUCTS CO,Paper,Certain glycol ethers,NO,YES,TRI,NO,NO,NO,7440.0
ATOTECH USA INC,BALTIMORE,MD,39.2381,-76.57411,TOTAL DELAWARE INC,Chemicals,Barium compounds (except for barium sulfate (CAS No. 7727-43-7)),NO,NO,TRI,NO,NO,NO,1497.0
HONEYWELL INTERNATIONAL INC,TORRANCE,CA,33.85833,-118.32108,HONEYWELL INTERNATIONAL INC,Transportation Equipment,Nitric acid,NO,NO,TRI,NO,NO,NO,8100.0
ACE ANODIZING & IMPREGNATING INC,HILLSIDE,IL,41.880944,-87.887691,,Fabricated Metals,Phosphoric acid,NO,NO,TRI,NO,NO,NO,1500.0
FANCYHEAT CORP,SOMERSET,NJ,40.480582,-74.49998,,Chemicals,Butyl acrylate,NO,NO,TRI,NO,NO,NO,705.0
AHLSTROM NONWOVENS LLC,WINDSOR LOCKS,CT,41.925474,-72.625459,AHLSTROM USA INC,Paper,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,45240.0
"GE MEDICAL SYSTEMS INFORMATION TECHNOLOGIES, INC.",MILWAUKEE,WI,43.16512,-88.01268,GENERAL ELECTRIC CO (GE CO),Computers and Electronic Products,Freon 113 (CFC-113),NO,NO,TRI,NO,NO,NO,40059.0
ASSOCIATED MILK PRODUCERS INC.,NEW ULM,MN,44.3143,-94.45694,ASSOCIATED MILK PRODUCERS INC,Food,Phosphoric acid,NO,NO,TRI,NO,NO,NO,20.0
STOLLE CORP,DREW,MS,33.79961,-90.53031,ALCOA INC,Plastics and Rubber,Acetone,NO,NO,TRI,NO,NO,NO,817500.0
SYS BIO IND,WAUKESHA,WI,43.093675,-88.355916,,Food,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,YES,TRI,NO,NO,NO,1780.0
GOLDEN STATE EXPLOSIVES,PLYMOUTH,CA,38.458153,-120.877098,EXPLOSIVES TECHNOLOGIES INTERNATIONAL ETI,Chemicals,Ammonium nitrate (solution),NO,NO,TRI,NO,NO,NO,0.0
TROUW NUTRITION USA LLC,HIGHLAND,IL,38.744229,-89.688643,TROUW NUTRITION USA LLC,Food,Copper compounds,NO,NO,TRI,NO,NO,NO,3000.0
ROGERS CORP ADV CIRCUIT MATERIALS-FLEX PRODUCTS,CHANDLER,AZ,33.30344,-111.87642,ROGERS CORP,Plastics and Rubber,Methyl ethyl ketone,NO,NO,TRI,NO,NO,NO,58923.0
CRYSTAL PACKAGING INC,HENDERSON,CO,39.86255,-104.87932,,Petroleum,Copper compounds,NO,NO,TRI,NO,NO,NO,0.0
PLASTECH CORP,RUSH CITY,MN,45.67785,-92.96751,,Plastics and Rubber,Mixture,NO,NO,TRI,NO,NO,NO,2250.0
