FACILITY NAME,CITY,ST,LATITUDE,LONGITUDE,PARENT CO NAME,INDUSTRY SECTOR,CHEMICAL,ELEMENTAL METAL INCLUDED,CLEAN AIR ACT CHEMICAL,CLASSIFICATION,CARCINOGEN,PBT,PFAS,TOTAL POLLUTION
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,CARSON,CA,33.815889,-118.243953,TESORO CORP,Petroleum Bulk Terminals,Mercury compounds,NO,YES,PBT,NO,YES,NO,0.0
POLYNT COMPOSITES USA INC. (FORMERLY PCCR USA),CARPENTERSVILLE,IL,42.117976,-88.288061,,Chemicals,Ethylene glycol,NO,YES,TRI,NO,NO,NO,17269.22
STARCHEM LLC,WELLFORD,SC,34.94139,-82.08209,STAR HOLDINGS INC,Chemicals,Benzyl chloride,NO,YES,TRI,NO,NO,NO,15638.49
TRIALCO INC,CHICAGO HEIGHTS,IL,41.50557,-87.6094,,Primary Metals,Copper,NO,NO,TRI,NO,NO,NO,1.45
SIGNICAST LLC,BROWN DEER,WI,43.18189,-87.97933,SIGNICAST LLC,Primary Metals,Manganese,NO,YES,TRI,NO,NO,NO,926.01
ACO POLYMER PRODUCTS INC,CASA GRANDE,AZ,32.946804,-111.769002,ACO INC.,Nonmetallic Mineral Product,Styrene,NO,YES,TRI,YES,NO,NO,3035.79
NAVISTAR BIG BORE DIESELS LLC,HUNTSVILLE,AL,34.66287,-86.76738,NAVISTAR INTERNATIONAL CORP,Transportation Equipment,Zinc compounds,NO,NO,TRI,NO,NO,NO,6230.43
TYCO FIRE PROTECTION PRODUCTS,LUBBOCK,TX,33.68236,-101.83569,CENTRAL SPRINKLER LLC,Machinery,Lead,NO,NO,PBT,YES,YES,NO,73879.92599999999
SANDERSON FARMS LLC,COLLINS,MS,31.650556,-89.566389,SANDERSON FARMS LLC,Food,Copper compounds,NO,NO,TRI,NO,NO,NO,0.0
"GREENHILL CONCRETE PRODUCTS, INC. PORTABLE CONCRETE PLANT",TULSA,OK,36.09267,-95.99369,SHERWOOD CONSTRUCTION CO INC,Nonmetallic Mineral Product,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,NO,TRI,NO,NO,NO,96.5
EQUILON CARSON TERMINAL,CARSON,CA,33.83937,-118.23673,SHELL PETROLEUM INC,Petroleum Bulk Terminals,"Benzo[g,h,i]perylene",NO,YES,PBT,NO,YES,NO,1.45
STEEL WAREHOUSE OF CHATTANOOGA,CHATTANOOGA,TN,35.0723,-85.27399,STEEL WAREHOUSE CO LLC,Primary Metals,Manganese,NO,YES,TRI,NO,NO,NO,446896.27
CLEVELAND-CLIFFS STEEL CORP DEARBORN WORKS,DEARBORN,MI,42.301742,-83.162934,CLEVELAND-CLIFFS INC,Primary Metals,Lead compounds,NO,YES,PBT,NO,YES,NO,566685.29
REVERE PLASTICS SYSTEMS LLC,CLYDE,OH,41.29971,-82.96671,REVERE INDUSTRIES LLC,Plastics and Rubber,Antimony,NO,YES,TRI,NO,NO,NO,0.0
QUAKER HOUGHTON DETROIT,DETROIT,MI,42.36137,-83.18362,QUAKER HOUGHTON PA INC,Petroleum,Certain glycol ethers,NO,YES,TRI,NO,NO,NO,15248.12
TESORO REFINING & MARKETING CO LLC,ANACORTES,WA,48.489534,-122.564292,MARATHON PETROLEUM CORP,Petroleum,Cumene,NO,YES,TRI,YES,NO,NO,31835.44
SERVICE WELDING & MACHINE CO INC,LOUISVILLE,KY,38.25446,-85.73866,,Fabricated Metals,Styrene,NO,YES,TRI,YES,NO,NO,18301.18
KNAUF INSULATION LLC,KINGMAN,AZ,35.25688,-113.96744,GUARDIAN INDUSTRIES CORP,Nonmetallic Mineral Product,Formaldehyde,NO,YES,TRI,YES,NO,NO,12236.87
U.S. TSUBAKI POWER TRANSMISSION LLC - ROLLER CHAIN DIV,HOLYOKE,MA,42.191082,-72.619891,US TSUBAKI INC,Machinery,Lead,NO,NO,PBT,YES,YES,NO,851.47
CATLETTSBURG REFINING LLC,CATLETTSBURG,KY,38.377246,-82.597162,MARATHON PETROLEUM CORP,Petroleum,Toluene,NO,YES,TRI,NO,NO,NO,251695.03
CARY COMPOUNDS LLC,DAYTON,NJ,40.37031,-74.47524,,Plastics and Rubber,Antimony compounds,NO,YES,TRI,NO,NO,NO,6154.46
SURE CAST INC,BURNET,TX,30.737705,-98.234115,,Primary Metals,Copper,NO,NO,TRI,NO,NO,NO,1.79
HAMMOND STEAM ELECTRIC GENERATING PLANT,ROME,GA,34.249889,-85.345944,SOUTHERN CO,Electric Utilities,Naphthalene,NO,YES,TRI,YES,NO,NO,0.0
TETRA CHEMICALS,WEST MEMPHIS,AR,35.10773,-90.1902,TETRA TECHNOLOGIES INC,Chemicals,Ammonia,NO,NO,TRI,NO,NO,NO,16717.41
ADAC AUTOMOTIVE MUSKEGON PLANT  PORT CITY & KEATING,MUSKEGON,MI,43.21608,-86.19581,ADAC PLASTICS INC,Transportation Equipment,Methanol,NO,YES,TRI,NO,NO,NO,580887.22
AUGUSTA FIBERGLASS COATINGS INC,BLACKVILLE,SC,33.33884,-81.28408,AUGUSTA FIBERGLASS COATINGS INC,Plastics and Rubber,Styrene,NO,YES,TRI,YES,NO,NO,629659.03
FLINT HILLS RESOURCES CORPUS CHRISTI LLC FORT WORTH TERMINAL,EULESS,TX,32.815059,-97.094098,KOCH INDUSTRIES INC,Petroleum Bulk Terminals,Benzene,NO,YES,TRI,YES,NO,NO,31317.04
NEARMAN CREEK POWER STATION,KANSAS CITY,KS,39.16222,-94.700287,KANSAS CITY BOARD OF PUBLIC UTILITIES,Electric Utilities,Zinc (fume or dust),NO,NO,TRI,NO,NO,NO,72642.0
PRECISION AEROSPACE CORP,RANCHO CUCAMONGA,CA,34.09458,-117.563,,Transportation Equipment,Tetrachloroethylene,NO,YES,TRI,YES,NO,NO,173035.66
BUCKEYE CARIBBEAN TERMINALS LLC (FORMER SCYI),YABUCOA,PR,18.046899,-65.85116,BUCKEYE PARTNERS LP,Petroleum,Mercury compounds,NO,YES,PBT,NO,YES,NO,0.06
AES BEAVER VALLEY LLC,MONACA,PA,40.65554,-80.34946,AES CORP,Electric Utilities,Barium compounds (except for barium sulfate (CAS No. 7727-43-7)),NO,NO,TRI,NO,NO,NO,100285.01
CATERPILLAR PRECISION PIN PRODUCTS GROUP,SUMTER,SC,33.97402,-80.36152,CATERPILLAR INC,Fabricated Metals,Barium compounds (except for barium sulfate (CAS No. 7727-43-7)),NO,NO,TRI,NO,NO,NO,58996.91
TALLEY METALS TECHNOLOGY,MC BEE,SC,34.42897,-80.16949,CARPENTER TECHNOLOGY CORP,Primary Metals,Copper compounds,NO,NO,TRI,NO,NO,NO,37462.22
SYPRIS TECHNOLOGIES INC,LOUISVILLE,KY,38.24961,-85.79873,SYPRIS SOLUTIONS INC,Transportation Equipment,Nickel,NO,YES,TRI,YES,NO,NO,194667.7
EASTMAN PERFORMANCE FILMS LLC - PLANT II,FIELDALE,VA,36.7278,-79.95199,SOLUTIA INC,Plastics and Rubber,Toluene,NO,YES,TRI,NO,NO,NO,297621.01
LUBRIZOL ADVANCED MATERIALS INC,CALVERT CITY,KY,37.046288,-88.325437,BERKSHIRE HATHAWAY INC,Chemicals,Allyl alcohol,NO,NO,TRI,NO,NO,NO,324970.83
DEER PARK REFINING LP,DEER PARK,TX,29.722222,-95.126944,P.M.I. SERVICES N.A. INC.,Petroleum,Ethylene,NO,NO,TRI,NO,NO,NO,238021.7
LUBRIZOL CORP PAINESVIL LE PLANT,PAINESVILLE,OH,41.720278,-81.273611,BERKSHIRE HATHAWAY INC,Chemicals,Formaldehyde,NO,YES,TRI,YES,NO,NO,12356.11
SILVER EAGLE REFINING-EVANSTON,EVANSTON,WY,41.2616,-110.807,THE INTERNATIONAL GROUP INC,Petroleum,Cumene,NO,YES,TRI,YES,NO,NO,1728.8000000000002
HUB CITY ENERGY LLC,ABERDEEN,SD,45.459762,-98.550068,GLACIAL LAKES ENERGY LLC,Chemicals,Ammonia,NO,NO,TRI,NO,NO,NO,1886.2
ECO SERVICES OPERATIONS CORP.,MARTINEZ,CA,38.034722,-122.112778,ECOVYST CATALYST TECHNOLOGIES LLC,Chemicals,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,YES,TRI,NO,NO,NO,2041.23
FLINT HILLS RESOURCES CORPUS CHRISTI LLC WACO TERMINAL,WACO,TX,31.5656,-97.1003,KOCH INDUSTRIES INC,Petroleum Bulk Terminals,Toluene,NO,YES,TRI,NO,NO,NO,77268.98000000001
CARGILL INC,MEMPHIS,TN,35.081763,-90.13394,CARGILL INC,Food,Chloroform,NO,YES,TRI,YES,NO,NO,374257.98
SOUTHERN RESIN,THOMASVILLE,NC,35.825849,-80.097031,,Chemicals,Formaldehyde,NO,YES,TRI,YES,NO,NO,36873.92
ARDAGH METAL PACKAGING USA INC,TERMINAL ISLAND,CA,33.737967,-118.263918,ARDAGH METAL PACKAGING USA INC,Fabricated Metals,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,38576.8
HF SINCLAIR CASPER REFINING LLC,CASPER,WY,42.8605,-106.2425,HF SINCLAIR CORP,Petroleum,Toluene,NO,YES,TRI,NO,NO,NO,54042.92
BIG CAJUN 2,NEW ROADS,LA,30.7261,-91.3669,CLECO CORPORATE HOLDINGS LLC,Electric Utilities,Dioxin and dioxin-like compounds,NO,YES,Dioxin,YES,YES,NO,0.01322772
POLYMER LABORATORIES & SOLUTIONS LLC,LEWISTON,ME,44.08173,-70.16965,ANANIA & ASSOCIATES INVESTMENT CO LLC,Plastics and Rubber,Diisocyanates,NO,NO,TRI,NO,NO,NO,34656.83
PUBLIC SERVICE CO OF COLORADO VALMONT STATION,BOULDER,CO,40.0197,-105.202,XCEL ENERGY,Electric Utilities,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,YES,TRI,NO,NO,NO,53853.98
GERRESHEIMER MOULDED GLASS,MILLVILLE,NJ,39.407778,-75.034444,GERRESHEIMER GLASS INC,Nonmetallic Mineral Product,Zinc compounds,NO,NO,TRI,NO,NO,NO,128277.16
REA MAGNET WIRE CO,FORT WAYNE,IN,41.067874,-85.083677,,Electrical Equipment,"1,2,4-Trimethylbenzene",NO,NO,TRI,NO,NO,NO,232024.72
G L NAUSE CO INC,LOVELAND,OH,39.21604,-84.18582,,Fabricated Metals,Chromium,NO,YES,TRI,NO,NO,NO,10501.0
AKZONOBEL,LANCASTER,SC,34.730493,-80.822608,AKZO NOBEL INC,Plastics and Rubber,Toluene,NO,YES,TRI,NO,NO,NO,170754.47
SOUTHEASTERN PLATEWORKS LLC,BIRMINGHAM,AL,33.61781,-86.74263,SOUTHEASTERN PLATEWORKS LLC,Fabricated Metals,Lead,NO,NO,PBT,YES,YES,NO,85.69
SILGAN CONTAINERS MANUFACTURING CORP,PLOVER,WI,44.45396,-89.51553,SILGAN HOLDINGS INC,Fabricated Metals,n-Butyl alcohol,NO,NO,TRI,NO,NO,NO,324501.03
HAWAIIAN ELECTRIC CO INC WAIAU GENERATING STATION,PEARL CITY,HI,21.388997,-157.961171,HAWAIIAN ELECTRIC INDUSTRIES INC,Electric Utilities,Naphthalene,NO,YES,TRI,YES,NO,NO,0.0
ATI FLAT ROLLED PRODUCTS HOLDINGS LLC,BRACKENRIDGE,PA,40.6081,-79.7291,ALLEGHENY TECHNOLOGIES INC,Primary Metals,Manganese compounds,NO,YES,TRI,NO,NO,NO,9936220.91
BEEHLER CORP,MOUNTAIN GROVE,MO,37.12454,-92.28349,,Fabricated Metals,Nickel,NO,YES,TRI,YES,NO,NO,26551.1
BUTTERBALL LLC,COLUMBUS,KS,37.17455,-94.94859,SEABOARD CORP,Food,Manganese compounds,NO,YES,TRI,NO,NO,NO,0.0
INV NYLON CHEMICALS AMERICAS VICTORIA SITE,VICTORIA,TX,28.673056,-96.953611,KOCH INDUSTRIES INC,Chemicals,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,NO,TRI,NO,NO,NO,60296580.97
WEBER KNAPP CO,JAMESTOWN,NY,42.099338,-79.225878,,Fabricated Metals,Lead,NO,NO,PBT,YES,YES,NO,446.19
SAPUTO CHEESE USA INC,WAUPUN,WI,43.616667,-88.716667,SAPUTO CHEESE USA INC,Food,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,NO,TRI,NO,NO,NO,3278809.91
SOUTHERN COUNTIES OIL CO. LP D.B.A. SC FUELS,MODESTO,CA,37.59489,-120.99082,SOUTHERN COUNTIES OIL CO LP D B A SC FUELS,Petroleum Bulk Terminals,"1,2,4-Trimethylbenzene",NO,NO,TRI,NO,NO,NO,2004.0
BUZZI UNICEM USA-CAPE GIRARDEAU,CAPE GIRARDEAU,MO,37.2676,-89.5385,RC LONESTAR INC,Nonmetallic Mineral Product,Styrene,NO,YES,TRI,YES,NO,NO,653650.89
SARASOTA READY MIX PLANT,SARASOTA,FL,27.391178,-82.5313,ARGOS USA CORP,Nonmetallic Mineral Product,Lead,NO,NO,PBT,YES,YES,NO,0.99
I3 ELECTRONICS INC,ENDICOTT,NY,42.10701,-76.05199,,Computers and Electronic Products,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,YES,TRI,NO,NO,NO,62182.33
BUNGE NA (EAST),BELLEVUE,OH,41.28473,-82.82024,BUNGE NA INC,Food,n-Hexane,NO,YES,TRI,NO,NO,NO,3018785.99
TRUE VALUE MANUFACTURING,CARY,IL,42.204963,-88.237407,TRUE VALUE CO,Chemicals,Ethylene glycol,NO,YES,TRI,NO,NO,NO,45943.08
GARMIN AT INC.,SALEM,OR,44.90772,-122.99346,GARMIN INTERNATIONAL INC,Computers and Electronic Products,Lead,NO,NO,PBT,YES,YES,NO,107.5
ALL-CLAD METALCRAFTERS LLC,CANONSBURG,PA,40.28138,-80.15496,,Fabricated Metals,Aluminum (fume or dust),NO,NO,TRI,NO,NO,NO,210837.26
CHELSEA PRODUCTS,OLIVE BRANCH,MS,34.97938,-89.79523,PARKER HANNIFIN CORP,Transportation Equipment,Diisocyanates,NO,NO,TRI,NO,NO,NO,0.0
NICO PRODUCTS INC,MINNEAPOLIS,MN,44.94931,-93.27663,,Fabricated Metals,Nickel compounds,NO,YES,TRI,YES,NO,NO,34085.600000000006
USS MON VALLEY WORKS - EDGAR THOMSON PLANT,BRADDOCK,PA,40.394465,-79.857261,US STEEL CORP,Primary Metals,Zinc compounds,NO,NO,TRI,NO,NO,NO,51037245.11
PUERTO RICO WOOD TREATING,CAROLINA,PR,18.38135,-66.03416,,Wood Products,Copper compounds,NO,NO,TRI,NO,NO,NO,0.0
ACUSHNET CO BALL PLANT III,NEW BEDFORD,MA,41.72544,-70.95518,ACUSHNET HOLDINGS CORP,Miscellaneous Manufacturing,Zinc compounds,NO,NO,TRI,NO,NO,NO,1630832.11
MICROSEAL INC,PATERSON,NJ,40.902445,-74.142328,,Textiles,Toluene,NO,YES,TRI,NO,NO,NO,1275715.59
