FACILITY NAME,CITY,ST,LATITUDE,LONGITUDE,PARENT CO NAME,INDUSTRY SECTOR,CHEMICAL,ELEMENTAL METAL INCLUDED,CLEAN AIR ACT CHEMICAL,CLASSIFICATION,CARCINOGEN,PBT,PFAS,TOTAL POLLUTION
JASCO HEAT TREATING INC.,FAIRPORT,NY,43.10162,-77.4309,,Fabricated Metals,Barium,NO,NO,TRI,NO,NO,NO,186706.89
EXXONMOBIL CORP KNOXVILLE TERMINAL,KNOXVILLE,TN,35.962581,-83.995742,EXXONMOBIL CORP,Petroleum Bulk Terminals,Toluene,NO,YES,TRI,NO,NO,NO,4400.0
ETHAN ALLEN OPERATIONS INC PINE VALLEY DIV,OLD FORT,NC,35.6359,-82.1694,ETHAN ALLEN OPERATIONS INC,Furniture,Toluene,NO,YES,TRI,NO,NO,NO,82941.09
NALCO CO,GARYVILLE,LA,30.048591,-90.630941,ECOLAB INC,Chemicals,"1,2,4-Trimethylbenzene",NO,NO,TRI,NO,NO,NO,5690.3099999999995
CRYSTAL LAKE FOODS DECATUR FEED MILL PETERSON FARMS,DECATUR,AR,36.356001,-94.444946,PETERSON FARMS INC,Food,Copper compounds,NO,NO,TRI,NO,NO,NO,0.0
ITW AMERICAN  SAFETY TECHNOLOG IES,ROSELAND,NJ,40.82491,-74.33002,ILLINOIS TOOL WORKS INC,Chemicals,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,236236.05
FAURECIA EXHAUST SYSTEMS INC TROY EAST FACILITY,TROY,OH,40.02625,-84.22007,FAURECIA USA HOLDINGS INC,Transportation Equipment,Chromium,NO,YES,TRI,NO,NO,NO,4137.05
SOLUTIA INC,SPRINGFIELD,MA,42.154981,-72.526419,EASTMAN CHEMICAL CO,Plastics and Rubber,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,NO,TRI,NO,NO,NO,9600001.1
"HENTZEN COATINGS,INC",MILWAUKEE,WI,43.13402,-87.99822,HENTZEN COATINGS INC,Chemicals,Diisocyanates,NO,NO,TRI,NO,NO,NO,0.0
CANAL GENERATING LLC,SANDWICH,MA,41.7698,-70.5091,JERA AMERICAS INC.,Electric Utilities,Polycyclic aromatic compounds,NO,YES,PBT,YES,YES,NO,0.0
