FACILITY NAME,CITY,ST,LATITUDE,LONGITUDE,PARENT CO NAME,INDUSTRY SECTOR,CHEMICAL,ELEMENTAL METAL INCLUDED,CLEAN AIR ACT CHEMICAL,CLASSIFICATION,CARCINOGEN,PBT,PFAS,TOTAL POLLUTION
LUBRIZOL CORP,PEDRICKTOWN,NJ,39.763889,-75.422778,BERKSHIRE HATHAWAY,Chemicals,Acrylic acid,NO,YES,TRI,NO,NO,NO,1733.32
OMNIUM,SAINT JOSEPH,MO,39.720556,-94.88222,LAND O LAKES INC,Chemicals,Quintozene,NO,YES,TRI,NO,NO,NO,5510.0
PILKINGTON - CLINTON,CLINTON,MI,42.05729,-83.96489,PILKINGTON PLC,Other,Diethanolamine,NO,YES,TRI,NO,NO,NO,32769.0
GM POWER TRAIN SAGINAW MALLEABLE IRON,SAGINAW,MI,43.40432,-83.97062,GMC,Primary Metals,Chromium,NO,YES,TRI,NO,NO,NO,21590.92
PURIS PROTEINS LLC,DAWSON,MN,44.929446,-96.022605,,Food,Phosphoric acid,NO,NO,TRI,NO,NO,NO,166000.87
GOODRICH PLATING OPS,CLEVELAND,OH,41.48246,-81.66666,UNITED TECHNOLOGIES CORP,Fabricated Metals,Trichloroethylene,NO,YES,TRI,YES,NO,NO,98450.75
KENNAMETAL FIRTH STERLING,HOUSTON,TX,29.79117,-95.45533,KENNAMETAL INC,Machinery,Copper,NO,NO,TRI,NO,NO,NO,0.0
DURALOY TECHNOLOGIES INC,SCOTTDALE,PA,40.0996,-79.5847,PARK CORP,Primary Metals,Nickel,NO,YES,TRI,YES,NO,NO,22136.4
REFINED METALS CORP,MEMPHIS,TN,35.086813,-90.071444,EXIDE CORP,Primary Metals,Barium,NO,NO,TRI,NO,NO,NO,115431.0
NORTH STAR BLUESCOPE STEEL LLC,DELTA,OH,41.5684,-84.03759,BLUESCOPE STEEL INVESTMENTS INC,Primary Metals,Copper compounds,NO,NO,TRI,NO,NO,NO,60078.0
CLARIANT CORP 12TH STREET FACILITY,LOUISVILLE,KY,38.233611,-85.7755,CLARIANT CORP,Chemicals,Nitric acid,NO,NO,TRI,NO,NO,NO,11065032.0
STANDARD MOTOR PRODUCTS,INDEPENDENCE,KS,37.23639,-95.72263,STANDARD MOTOR PRODUCTS INC,Transportation Equipment,Zinc compounds,NO,NO,TRI,NO,NO,NO,7778.3
REAL ALLOY RECYCLING LLC,LOUDON,TN,35.74061,-84.30974,REAL ALLOY HOLDING LLC,Primary Metals,Lead,NO,NO,PBT,YES,YES,NO,3004.12
LSB CHEMICAL L.L.C.,PRYOR,OK,36.241247,-95.278349,LSB INDUSTRIES INC,Chemicals,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,NO,TRI,NO,NO,NO,9081992.41
BAKELITE CHEMICALS LLC,LUFKIN,TX,31.33666,-94.71203,BAKELITE US HOLDCO INC.,Chemicals,Cresol (mixed isomers),NO,YES,TRI,NO,NO,NO,0.0
3M CO,ROCKLAND,MA,42.163919,-70.901419,3M CO,Paper,Methyl ethyl ketone,NO,NO,TRI,NO,NO,NO,311878.15
PRYSMIAN CABLES & SYSTEMS USA,NORTH DIGHTON,MA,41.866446,-71.125438,PRYSMIAN CABLES & SYSTEMS (US) INC,Electrical Equipment,Lead compounds,NO,YES,PBT,NO,YES,NO,9267.7
PREFINISH METALS,ELK GROVE VILLAGE,IL,41.99823,-87.9588,MATERIAL SCIENCES CORP,Fabricated Metals,Naphthalene,NO,YES,TRI,YES,NO,NO,141445.1
STYLECRAFT PRODS,DETROIT,MI,42.34908,-83.010335,,Fabricated Metals,Chromium compounds (except for chromite ore mined in the Transvaal Region),NO,YES,TRI,NO,NO,NO,79560.11
US CELLULOSE ALTERNATIVE MATERIALS TECHNOLOGY INC,SAN JOSE,CA,37.3079,-121.85117,POLYMER SOLUTIONS INC,Chemicals,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,0.0
MATSUSHITA TOSHIBA PICTURE DISPLAY CORP OF AMERICA (NEW YORK,HORSEHEADS,NY,42.158683,-76.839536,MATSUSHITA TOSHIBA PICTURE DISPLAY CO LTD,Computers and Electronic Products,Antimony compounds,NO,YES,TRI,NO,NO,NO,206026.11
GILLESPIE COATINGS INC.,LONGVIEW,TX,32.488619,-94.710884,,Chemicals,Zinc compounds,NO,NO,TRI,NO,NO,NO,0.0
GETS GLOBAL SIGNALING,WARRENSBURG,MO,38.771391,-93.749506,GE CO,Computers and Electronic Products,Copper,NO,NO,TRI,NO,NO,NO,298195.74
ATHOL MANUFACTURING CORP,BUTNER,NC,36.13505,-78.74818,SAI HOLDINGS,Textiles,N-Methyl-2-pyrrolidone,NO,NO,TRI,NO,NO,NO,116701.2
UNIVERSAL PACKAGING CORPORATION,SARATOGA SPRINGS,NY,43.05959,-73.82172,ACX TECHNOLOGIES INC,Paper,Toluene,NO,YES,TRI,NO,NO,NO,2048862.99
BASF CORP,WASHINGTON,NJ,40.754803,-74.9731,,Chemicals,Propylene oxide,NO,YES,TRI,YES,NO,NO,385173.12
COLORADO REFINING CO,COMMERCE CITY,CO,39.803333,-104.945556,VALERO ENERGY CORP,Petroleum,Cumene,NO,YES,TRI,YES,NO,NO,151.2
MPM SILICONES LLC,FRIENDLY,WV,39.484572,-81.093403,MOMENTIVE PERFORMANCE MATERIALS INC,Chemicals,Phosphoric acid,NO,NO,TRI,NO,NO,NO,667391.6699999999
FORMOSA PLASTICS CORP DE,DELAWARE CITY,DE,39.5851,-75.6492,FORMOSA PLASTICS CORP USA,Chemicals,Vinyl chloride,NO,YES,TRI,YES,NO,NO,1369225.04
PATRIOT FORGE / BAY CITY FORGE DIV,ERIE,PA,42.10856,-80.10309,PATRIOT FORGE CO,Fabricated Metals,Chromium,NO,YES,TRI,NO,NO,NO,52456.04
ALLIED FINISHING INC,KENTWOOD,MI,42.88889,-85.56933,,Fabricated Metals,Nickel compounds,NO,YES,TRI,YES,NO,NO,223204.01
TYSON FRESH MEATS INC,DAKOTA CITY,NE,42.428812,-96.419768,TYSON FOODS INC,Food,Chromium compounds (except for chromite ore mined in the Transvaal Region),NO,YES,TRI,NO,NO,NO,1313646.11
MASTER-BILT ENGINEERED STRUCTURES,SPARKS,NV,39.52296,-119.74795,STANDEX INTL CORP,Machinery,Diisocyanates,NO,NO,TRI,NO,NO,NO,16.67
FUJIFILM ULTRA PURE SOLUTIONS INC.,CARROLLTON,TX,32.9757,-96.91866,FUJIFILM ELECTRONIC MATERIALS USA INC.,Chemicals,Ethylene glycol,NO,YES,TRI,NO,NO,NO,9601.1
G O CARLSON INC,COATESVILLE,PA,39.982498,-75.82917,,Primary Metals,Chromium,NO,YES,TRI,NO,NO,NO,8641005.98
HONEYWELL BURDICK & JACKSON,MUSKEGON,MI,43.216667,-86.206667,HONEYWELL INTERNATIONAL INC,Chemicals,Methanol,NO,YES,TRI,NO,NO,NO,63301.0
TOKUSEN USA INC,CONWAY,AR,35.05505,-92.41256,,Textile Product,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,NO,TRI,NO,NO,NO,1517793.16
HALDOR TOPSOE INC,PASADENA,TX,29.61225,-95.05782,HALDOR TOPSOE/ AS,Chemicals,Zinc compounds,NO,NO,TRI,NO,NO,NO,1368.0
W. R. GRACE & CO.-CONN.,SOUTH HAVEN,MI,42.383333,-86.273333,W R GRACE & CO,Chemicals,Ammonia,NO,NO,TRI,NO,NO,NO,138638.3
MERIDIAN AUTOMOTIVE SYSTEMS INC,SHELBYVILLE,IN,39.545391,-85.791987,MERIDIAN AUTOMOTIVE SYSTEMS INC,Plastics and Rubber,Diisocyanates,NO,NO,TRI,NO,NO,NO,28532.89
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,CARSON,CA,33.815889,-118.243953,TESORO CORP,Petroleum,n-Hexane,NO,YES,TRI,NO,NO,NO,22157.14
BLUE RIDGE FIBERBOARD,DANVILLE,VA,36.561891,-79.44766,WR MEADOWS INC,Wood Products,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,NO,TRI,NO,NO,NO,1401478.67
ST LOUIS PAINT MFG CO INC,SAINT LOUIS,MO,38.60583,-90.2247,,Chemicals,Methanol,NO,YES,TRI,NO,NO,NO,2751.41
WATSON STANDARD CO HARWICK PLANT,HARWICK,PA,40.554416,-79.809568,WATSON INDUSTRIES INC,Chemicals,Cyclohexane,NO,NO,TRI,NO,NO,NO,3756.09
BURGESS-NORTON MANUFACTURING CO PLANT 4,BEAVER DAM,WI,43.47714,-88.83324,AMSTED INDUSTRIES INC,Fabricated Metals,Nickel,NO,YES,TRI,YES,NO,NO,199.3
MULTIPLE PEPTIDE SYSTEMS,SAN DIEGO,CA,32.89413,-117.237702,,Chemicals,Dichloromethane,NO,YES,TRI,YES,NO,NO,169201.3
PARKER HANNIFIN CORP,HUNTSVILLE,AL,34.646606,-86.566941,PARKER HANNIFIN CORP,Fabricated Metals,Ammonia,NO,NO,TRI,NO,NO,NO,0.0
UNIVERSAL FOREST PRODUCTS EASTERN CO INC,NORTH EAST,MD,39.62065,-75.95772,UNIVERSAL FOREST PRODUCTS INC,Wood Products,Copper compounds,NO,NO,TRI,NO,NO,NO,0.0
"SAI AUTOMOTIVE USA KANSAS CITY, INC",KANSAS CITY,MO,39.16563,-94.43951,,Transportation Equipment,"1,2,4-Trimethylbenzene",NO,NO,TRI,NO,NO,NO,156291.5
MIDWEST COCA-COLA BOTTLING CO,BISMARCK,ND,46.808231,-100.741036,COCA-COLA ENTERPRISES INC,Beverages,Phosphoric acid,NO,NO,TRI,NO,NO,NO,5857.18
PRYSMIAN CABLES & SYSTEMS USA LLC,MARION,IN,40.55425,-85.654944,PRYSMIAN SPA,Electrical Equipment,Copper,NO,NO,TRI,NO,NO,NO,14575915.91
NEOPERL INC,WATERBURY,CT,41.53845,-72.98333,,Fabricated Metals,Lead,NO,NO,PBT,YES,YES,NO,92225.95
COOPER POWER SYSTEMS,EAST STROUDSBURG,PA,41.006298,-75.183715,COOPER INDUSTRIES INC,Electrical Equipment,Zinc compounds,NO,NO,TRI,NO,NO,NO,14250.86
PARKER HANNIFIN CORP,SYRACUSE,IN,41.417544,-85.750361,PARKER HANNIFIN CORP,Plastics and Rubber,Di(2-ethylhexyl) phthalate,NO,YES,TRI,YES,NO,NO,16801.1
ORTEC INC,EASLEY,SC,34.834611,-82.623583,ORTEC INC,Chemicals,Ammonia,NO,NO,TRI,NO,NO,NO,0.0
GLOBAL ADVANCED METALS USA,BOYERTOWN,PA,40.344604,-75.613052,,Primary Metals,Manganese compounds,NO,YES,TRI,NO,NO,NO,961535.65
BASF CORP,ORANGE,CA,33.82297,-117.8515,BASF CORP,Chemicals,Ethylene glycol,NO,YES,TRI,NO,NO,NO,0.0
HANSON BRICK BLACKSBURG PLANT,BLACKSBURG,SC,35.118095,-81.48607,HANSON BUILDING MATERIALS AMERICA,Nonmetallic Mineral Product,Hydrogen fluoride,NO,YES,TRI,NO,NO,NO,352001.03
SYNFIN INDUSTRIES,NORTH WALES,PA,40.21107,-75.22879,TSG INC,Textiles,Trichloroethylene,NO,YES,TRI,YES,NO,NO,8447816.05
LYKES AGRI SALES INC FORT PIERCE,FORT PIERCE,FL,27.39878,-80.36617,LYKES BROTHERS INC,Chemicals,Ammonia,NO,NO,TRI,NO,NO,NO,1.63
STELLA-JONES CORP,ARLINGTON,WA,48.162794,-122.143936,STELLA-JONES US HOLDING CORP,Wood Products,Pentachlorophenol,NO,YES,TRI,YES,NO,NO,0.0
DAVIES IMPERIAL COATINGS INC,HAMMOND,IN,41.60954,-87.496731,,Chemicals,Methyl ethyl ketone,NO,NO,TRI,NO,NO,NO,102447.53
MULTILAYER TEK LP,AUSTIN,TX,30.39313,-97.72705,FLEXTRONICS INTL,Computers and Electronic Products,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,YES,TRI,NO,NO,NO,72000.0
GENERAL DYNAMICS LAND SYSTEMS - FORCE PROTECTION,LADSON,SC,32.9941,-80.10737,GENERAL DYNAMICS CORP,Fabricated Metals,Nickel,NO,YES,TRI,YES,NO,NO,148201.25
EXCEL FINISHING INC,WALTON HILLS,OH,41.36894,-81.52862,EXCEL EXTRUSIONS INC,Fabricated Metals,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,1401236.13
TTM TECHNOLOGIES N.A. LLC,FOREST GROVE,OR,45.512892,-123.080928,TTM TECHNOLOGIES INC,Computers and Electronic Products,Methanol,NO,YES,TRI,NO,NO,NO,147980.94
FOREST CITY TECHNOLOGIES PLANT 4,WELLINGTON,OH,41.16583,-82.22556,,Fabricated Metals,Dichloromethane,NO,YES,TRI,YES,NO,NO,121050.9
REHAU AUTOMOTIVE LLC,CULLMAN,AL,34.129909,-86.84424,REHAU INC,Plastics and Rubber,Ethylbenzene,NO,YES,TRI,YES,NO,NO,48000.0
