FACILITY NAME,CITY,ST,LATITUDE,LONGITUDE,PARENT CO NAME,INDUSTRY SECTOR,CHEMICAL,ELEMENTAL METAL INCLUDED,CLEAN AIR ACT CHEMICAL,CLASSIFICATION,CARCINOGEN,PBT,PFAS,TOTAL POLLUTION
MEARL CORP SFM DIV,HARTWELL,GA,34.334919,-82.94074,MEARL CORP,Nonmetallic Mineral Product,Hydrogen fluoride,NO,YES,TRI,NO,NO,NO,268819.45999999996
VALEO N.A. INC.,SEYMOUR,IN,38.931049,-85.910892,,Transportation Equipment,Lead,NO,NO,PBT,YES,YES,NO,1151.19
ELECTRIC STEEL CASTINGS CO,INDIANAPOLIS,IN,39.78103,-86.24097,,Primary Metals,Manganese,NO,YES,TRI,NO,NO,NO,0.0
HILL-ROM INC. - PLATING PLANT,BATESVILLE,IN,39.29945,-85.22404,BAXTER INTERNATIONAL INC,Furniture,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,NO,TRI,NO,NO,NO,1.2
INFINEON TECHNOLOGIES AMERICAS CORP,TEMECULA,CA,33.49944,-117.16294,INFINEON TECHNOLOGIES,Computers and Electronic Products,Ammonia,NO,NO,TRI,NO,NO,NO,80134.1
SHOLLENBARGER WOOD TREATING INC,BERNALILLO,NM,35.319177,-106.53383,,Wood Products,Chromium compounds (except for chromite ore mined in the Transvaal Region),NO,YES,TRI,NO,NO,NO,3001.21
WYOMING REFINING CO,NEWCASTLE,WY,43.85126,-104.21486,PAR PACIFIC HOLDINGS INC,Petroleum,Toluene,NO,YES,TRI,NO,NO,NO,34747.97
KIMBALL INTERNATIONAL MARKETING INC TRANSWALL DIV,WEST CHESTER,PA,39.99477,-75.58168,KIMBALL INTERNATIONAL INC,Furniture,"1,1,1-Trichloroethane",NO,YES,TRI,NO,NO,NO,241586.25
LIFE TECHNOLOGIES CORP,DETROIT,MI,42.33689,-83.06255,THERMO FISHER SCIENTIFIC INC,Chemicals,n-Butyl alcohol,NO,NO,TRI,NO,NO,NO,185676.66
TECHNICAL CHEMICAL CO,DALLAS,TX,32.87524,-96.91385,,Chemicals,Toluene,NO,YES,TRI,NO,NO,NO,865.35
ARKEMA COATING RESINS,ALSIP,IL,41.659191,-87.720582,ARKEMA DELAWARE INC,Chemicals,Acrylonitrile,NO,YES,TRI,YES,NO,NO,229.06
SHERWIN-WILLIAMS CO,BIRMINGHAM,AL,33.65842,-86.71513,THE SHERWIN-WILLIAMS CO,Chemicals,Methyl ethyl ketone,NO,NO,TRI,NO,NO,NO,1331751.2
HENSLEY INDUSTRIES INC,DALLAS,TX,32.89296,-96.9067,KOMATSU AMERICA CORP,Primary Metals,Nickel,NO,YES,TRI,YES,NO,NO,97.0
JOHN A BIEWER CO OF OHIO,WASHINGTON COURT HOUSE,OH,39.53268,-83.40677,JOHN A BIEWER CO INC,Wood Products,Arsenic compounds,NO,YES,TRI,YES,NO,NO,1435.0
PCI SYNTHESIS,NEWBURYPORT,MA,42.803412,-70.889559,,Chemicals,Methanol,NO,YES,TRI,NO,NO,NO,172660.16
TAKASAGO INTERNATIONAL CORP (USA),NORTHVALE,NJ,41.01234,-73.94089,TAKASAGO INTERNATIONAL CORP USA,Chemicals,Ethylene glycol,NO,YES,TRI,NO,NO,NO,1.0
DAP INC,ROSEMONT,IL,42.009254,-87.885705,WASSALL USA INC,Chemicals,Vinyl acetate,NO,YES,TRI,YES,NO,NO,32588.8
DREYER'S GRAND ICE CREAM,FORT WAYNE,IN,41.1075,-85.1473,DREYER'S GRAND ICE CREAM HOLDINGS INC,Food,Ammonia,NO,NO,TRI,NO,NO,NO,1801.4
WAYNE-DALTON CORP,MOUNT HOPE,OH,40.625341,-81.780349,OVERHEAD DOOR CORP,Fabricated Metals,Trichlorofluoromethane (CFC-11),NO,NO,TRI,NO,NO,NO,2945.2
PLASTIC PLATE INC-MONROE PLANT,GRAND RAPIDS,MI,42.99325,-85.67049,LACKS ENTERPRISES INC,Plastics and Rubber,Nickel compounds,NO,YES,TRI,YES,NO,NO,72125.95
AMERICAN JETWAY CORP,WAYNE,MI,42.279167,-83.375073,,Chemicals,"1,1,1-Trichloroethane",NO,YES,TRI,NO,NO,NO,1530.0
FAIRPRENE INC,FAIRFIELD,CT,41.14225,-73.26406,LONGWOOD INDUSTRIES INC,Textiles,Toluene,NO,YES,TRI,NO,NO,NO,301001.17
FIRST CHEMICAL CORP,PASCAGOULA,MS,30.355,-88.496111,THE CHEMOURS CO,Chemicals,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,NO,TRI,NO,NO,NO,5000100.0
NEW CASTLE STAINLESS PLATE LLC,NEW CASTLE,IN,39.930278,-85.394167,NEW CASTLE STAINLESS PLATE LLC,Primary Metals,Nitric acid,NO,NO,TRI,NO,NO,NO,1407800.8
CAST PRODS,NORRIDGE,IL,41.95871,-87.804273,,Primary Metals,Nickel compounds,NO,YES,TRI,YES,NO,NO,40777.39
WHITEHALL LEATHER CO,WHITEHALL,MI,43.39855,-86.35215,GENESCO INC,Leather,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,NO,TRI,NO,NO,NO,1.0
VESUVIUS USA CORPORATION - CU,CHEHALIS,WA,46.6359,-122.93624,VESUVIUS USA CORPOATION,Chemicals,Copper compounds,NO,NO,TRI,NO,NO,NO,592.27
ITW EVERCOAT,CINCINNATI,OH,39.26853,-84.3632,ILLINOIS TOOL WORKS INC,Chemicals,Acetone,NO,NO,TRI,NO,NO,NO,45100.95
ENGINEERED AIR SYSTEMS INC,OLIVETTE,MO,38.679699,-90.36734,ENGINEERED SUPPORT SYSTEMS INC,Machinery,Methyl ethyl ketone,NO,NO,TRI,NO,NO,NO,53543.0
CASTLE METAL FINISHING,SCHILLER PARK,IL,41.96258,-87.87231,,Fabricated Metals,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,YES,TRI,NO,NO,NO,92041.01
CITIZENS GAS & COKE UTILITY - MANUFACTURING DIVISIONS,INDIANAPOLIS,IN,39.75328,-86.116702,,Machinery,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,299333.14
"STOCKHAM VALVES & FITTINGS, INC",BIRMINGHAM,AL,33.54015,-86.77901,,Fabricated Metals,Manganese,NO,YES,TRI,NO,NO,NO,15454.76
CUMMINS INC COLUMBUS MIDRANGE ENGINE PLANT,COLUMBUS,IN,39.13422,-85.94938,CUMMINS INC,Machinery,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,NO,TRI,NO,NO,NO,30046.0
LOUISIANA-PACIFIC CORP,MIDDLEBURY,IN,41.66143,-85.71771,LOUISIANA-PACIFIC CORP,Plastics and Rubber,Methyl ethyl ketone,NO,NO,TRI,NO,NO,NO,56501.04
MICHELIN NA INC-SANDY SPRINGS,PENDLETON,SC,34.601667,-82.768889,MICHELIN N.A. INC,Plastics and Rubber,Copper compounds,NO,NO,TRI,NO,NO,NO,123551.18
SUBARU OF INDIANA AUTOMOTIVE INC,LAFAYETTE,IN,40.378818,-86.792522,SUBARU USA HOLDINGS INC.,Transportation Equipment,Methanol,NO,YES,TRI,NO,NO,NO,257771.07
CERTAINTEED LLC,NORWOOD,MA,42.167851,-71.207564,SAINT-GOBAIN NA,Petroleum,Zinc compounds,NO,NO,TRI,NO,NO,NO,1596.43
NUCOR STEEL KANKAKEE INC,BOURBONNAIS,IL,41.181332,-87.856643,NUCOR CORP,Primary Metals,Manganese compounds,NO,YES,TRI,NO,NO,NO,1089515.56
STANHOME INC,EASTHAMPTON,MA,42.27348,-72.66323,,Chemicals,Certain glycol ethers,NO,YES,TRI,NO,NO,NO,7141.25
