FACILITY NAME,CITY,ST,LATITUDE,LONGITUDE,PARENT CO NAME,INDUSTRY SECTOR,CHEMICAL,ELEMENTAL METAL INCLUDED,CLEAN AIR ACT CHEMICAL,CLASSIFICATION,CARCINOGEN,PBT,PFAS,TOTAL POLLUTION
DFA DAIRY BRANDS FLUID LLC D/B/A MEADOW GOLD DAIRY,ENGLEWOOD,CO,39.642417,-105.003278,DAIRY FARMERS OF AMERICA INC,Food,Nitric acid,NO,NO,TRI,NO,NO,NO,67781.15
TILLEY DISTRIBUTION,MIDDLE RIVER,MD,39.3267,-76.4315,SK TILLEY HOLDING LP,Chemical Wholesalers,Dichloromethane,NO,YES,TRI,YES,NO,NO,0.0
UNIVAR USA INC KINGSPORT FACIL ITY,KINGSPORT,TN,36.54431,-82.58053,,Chemical Wholesalers,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,120.0
SOUTHWIRE CO,WATKINSVILLE,GA,33.864344,-83.391654,SOUTHWIRE CO,Electrical Equipment,Antimony compounds,NO,YES,TRI,NO,NO,NO,23286.17
EBENSBURG POWER CO,EBENSBURG,PA,40.455,-78.7472,,Electric Utilities,Dioxin and dioxin-like compounds,NO,YES,Dioxin,YES,YES,NO,0.0054233652
TECHMER PM LLC,CLINTON,TN,36.09068,-84.10767,TECHMER PM LLC,Chemicals,Decabromodiphenyl oxide,NO,YES,TRI,NO,NO,NO,0.0
KAO COLLINS INC,CINCINNATI,OH,39.18864,-84.476,KAO CORP,Transportation Equipment,Nickel,NO,YES,TRI,YES,NO,NO,16590.92
PRE CON INC,PETERSBURG,VA,37.223478,-77.408317,,Textiles,Cyclohexane,NO,NO,TRI,NO,NO,NO,624557.1699999999
PRC-DESOTO INTERNATIONAL INC.,GLOUCESTER CITY,NJ,39.893217,-75.126384,PPG INDUSTRIES INC,Chemicals,Lead compounds,NO,YES,PBT,NO,YES,NO,4.03
PAR MONTANA BILLINGS REFINERY,BILLINGS,MT,45.809167,-108.438889,PAR PACIFIC HOLDINGS INC,Petroleum,Hydrogen fluoride,NO,YES,TRI,NO,NO,NO,450001.11
BOEING AEROSPACE SUPPORT CENTER,SAN ANTONIO,TX,29.370417,-98.565535,BOEING CO,Transportation Equipment,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,8586.0
SHERWIN-WILLIAMS CO,PITTSBURGH,PA,40.472291,-80.042832,THE SHERWIN-WILLIAMS CO,Chemicals,Certain glycol ethers,NO,YES,TRI,NO,NO,NO,251790.16
BUTTERBALL LLC,ALIX,AR,35.42228,-93.730774,SEABOARD CORP,Food,Zinc compounds,NO,NO,TRI,NO,NO,NO,0.0
PARKER OIL CO INC,EMPORIA,VA,36.663106,-77.554565,,Petroleum Bulk Terminals,Toluene,NO,YES,TRI,NO,NO,NO,0.0
NOURYON SURFACE CHEMISTRY LLC,MORRIS,IL,41.408188,-88.336227,NOURYON CHEMICALS LLC,Chemicals,Nickel,NO,YES,TRI,YES,NO,NO,441.04
GULF COAST PAINT MANUFACTURING,LOXLEY,AL,30.664,-87.75866,,Chemicals,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,22221.1
SCHUFF STEEL CO PHOENIX,PHOENIX,AZ,33.444261,-112.099918,SCHUFF STEEL,Fabricated Metals,Lead,NO,NO,PBT,YES,YES,NO,0.0
ALABAMA COAL RECOVERY LLC / BIRMINGPORT PLANT,MULGA,AL,33.576382,-87.1136,,Petroleum,Polycyclic aromatic compounds,NO,YES,PBT,YES,YES,NO,2.0
INDUSTRIAL C&S OF PR LLC ARECIBO PLANT,ARECIBO,PR,18.458254,-66.741617,,Fabricated Metals,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,NO,TRI,NO,NO,NO,629184.8200000001
CITGO PETROLEUM CORP CICERO LUBRICANTS MANUFACTURING PLANT,CICERO,IL,41.823301,-87.742179,CITGO HOLDING INC,Petroleum,Zinc compounds,NO,NO,TRI,NO,NO,NO,84062.14
BALBOA INSTRUMENTS INC,TUSTIN,CA,33.71515,-117.83657,,Electrical Equipment,Lead,NO,NO,PBT,YES,YES,NO,76.12
VOPAK LOGISTICS SERVICES USA INC DEER PARK,DEER PARK,TX,29.741093,-95.094145,VOPAK N.A. INC,Hazardous Waste,Phthalic anhydride,NO,YES,TRI,NO,NO,NO,83837.0
JOHNHEYOB OIL CO INC,HARRISON,OH,39.24269,-84.78623,,Other,Toluene,NO,YES,TRI,NO,NO,NO,0.0
PRECOAT METALS,GREENFIELD,IN,39.787066,-85.738262,AZZ INC,Fabricated Metals,Naphthalene,NO,YES,TRI,YES,NO,NO,1541293.05
BP -- INDIANAPOLIS TERMINAL,INDIANAPOLIS,IN,39.80387,-86.21601,BP PRODUCTS N.A. INC,Petroleum Bulk Terminals,Ethylbenzene,NO,YES,TRI,YES,NO,NO,708.96
MARATHON OIL CO ROBINSON IL TERMINAL,ROBINSON,IL,39.0054,-87.71272,MARATHON OIL CORP,Petroleum Bulk Terminals,Lead,NO,NO,PBT,YES,YES,NO,0.78
BUCKEYE CARIBBEAN TERMINALS LLC (FORMER SCYI),YABUCOA,PR,18.046899,-65.85116,BUCKEYE PARTNERS LP,Petroleum,Toluene,NO,YES,TRI,NO,NO,NO,184801.15
MICHELMAN INC,CINCINNATI,OH,39.2244,-84.39062,MICHELMAN INC,Chemicals,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,27888.0
CHEMICAL SOLVENTS INC--DENISON FACILITY,CLEVELAND,OH,41.4517,-81.6847,CHEMICAL SOLVENTS INC,Hazardous Waste,Methyl ethyl ketone,NO,NO,TRI,NO,NO,NO,573285.95
