FACILITY NAME,CITY,ST,LATITUDE,LONGITUDE,PARENT CO NAME,INDUSTRY SECTOR,CHEMICAL,ELEMENTAL METAL INCLUDED,CLEAN AIR ACT CHEMICAL,CLASSIFICATION,CARCINOGEN,PBT,PFAS,TOTAL POLLUTION
BRIGHTON ELECTRIC STEEL CASTING CO,BEAVER FALLS,PA,40.784456,-80.330754,BRIGHTON STEEL INC,Primary Metals,Chromium,NO,YES,TRI,NO,NO,NO,34178.759999999995
ALABAMA COPPER & BRONZE CO INC,BIRMINGHAM,AL,33.65063,-86.72387,,Primary Metals,Lead,NO,NO,PBT,YES,YES,NO,3489.79
RR STREET & CO INC,CHICAGO,IL,41.849169,-87.672614,R R STREET & CO INC,Chemicals,Methyl isobutyl ketone,NO,YES,TRI,YES,NO,NO,941.89
DELTA LABORATORIES INC,OCALA,FL,29.226208,-82.160632,,Chemicals,Methyl isobutyl ketone,NO,YES,TRI,YES,NO,NO,10115.66
CAMPBELL SOUP SUPPLY CO LLC,NAPOLEON,OH,41.3975,-84.1075,CAMPBELL SOUP CO,Food,"Benzo[g,h,i]perylene",NO,YES,PBT,NO,YES,NO,0.97
DELTA CIRCUITS INC.,WEST CHICAGO,IL,41.8998,-88.216,,Computers and Electronic Products,Copper compounds,NO,NO,TRI,NO,NO,NO,30772.7
DAIRYLAND POWER COOPERATIVE - ALMA SITE,ALMA,WI,44.307972,-91.910973,DAIRYLAND POWER COOPERATIVE,Electric Utilities,Dioxin and dioxin-like compounds,NO,YES,Dioxin,YES,YES,NO,0.0073083153
JORGENSEN FORGE CORP,TUKWILA,WA,47.526221,-122.305791,JFC HOLDING CORP,Fabricated Metals,Lead,NO,NO,PBT,YES,YES,NO,2864.64
NORRIS RODS INC.,TULSA,OK,36.092592,-96.04519,CHAMPIONX,Machinery,Nickel,NO,YES,TRI,YES,NO,NO,483658.19
BRENNTAG PACIFIC INC MOSSMAIN LN,BILLINGS,MT,45.6888,-108.70827,BRENNTAG N.A. INC,Chemical Wholesalers,Methanol,NO,YES,TRI,NO,NO,NO,9771.35
FMC AGRICULTURAL CARIBE INDUSTRIES LTD,MANATI,PR,18.4501,-66.4739,FMC CORP,Chemicals,Zinc compounds,NO,NO,TRI,NO,NO,NO,866.0699999999999
ASSOCIATED ELECTRIC COOPERATIVE INC NEW MADRID POWER PLANT,MARSTON,MO,36.5147,-89.5617,ASSOCIATED ELECTRIC COOPERATIVE INC,Electric Utilities,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,NO,TRI,NO,NO,NO,487000.97
PLATTE CHEMICAL CO,GREENVILLE,MS,33.416667,-91.0,NUTRIEN,Chemicals,Ethylene glycol,NO,YES,TRI,NO,NO,NO,4161.568
SPANG & CO MAGNETICS DIV,EAST BUTLER,PA,40.87742,-79.847191,SPANG & CO,Computers and Electronic Products,Aluminum (fume or dust),NO,NO,TRI,NO,NO,NO,34948.79
HEYCO METALS INC,READING,PA,40.3925,-75.981667,WIELAND N.A.,Primary Metals,Nickel,NO,YES,TRI,YES,NO,NO,0.0
US STEEL CORP GREAT LAKES WORKS,ECORSE,MI,42.2774,-83.1103,US STEEL CORP,Primary Metals,Manganese compounds,NO,YES,TRI,NO,NO,NO,17876740.93
CALPORTLAND CO RILLITO PLANT,RILLITO,AZ,32.4097,-111.1513,TAIHEIYO CEMENT USA INC,Nonmetallic Mineral Product,Mercury compounds,NO,YES,PBT,NO,YES,NO,316.48
GE ENGINE SERVICES MCALLEN LP,MCALLEN,TX,26.15515,-98.27608,GENERAL ELECTRIC CO (GE CO),Transportation Equipment,Cobalt,NO,YES,TRI,YES,NO,NO,13257.18
GEORGIA-PACIFIC CROSSETT PAPER OPERATIONS,CROSSETT,AR,33.139372,-91.96557,KOCH INDUSTRIES INC,Wood Products,Polycyclic aromatic compounds,NO,YES,PBT,YES,YES,NO,65.92
INTERNATIONAL PAPER- NEW BERN MILL,VANCEBORO,NC,35.212247,-77.114823,INTERNATIONAL PAPER CO,Paper,Lead compounds,NO,YES,PBT,NO,YES,NO,15705.879999999996
EH WOLF & SONS INC-SLINGER FACILITY,SLINGER,WI,43.3311,-88.28977,EDWARD H WOLF & SONS INC,Other,Ethylbenzene,NO,YES,TRI,YES,NO,NO,0.0
GELEST INC,GLEN ROCK,PA,39.818601,-76.6872,,Chemicals,Allyl alcohol,NO,NO,TRI,NO,NO,NO,45890.5
INSTRUMENTS TRANSFORMERS LLC,CLEARWATER,FL,27.985109,-82.757183,GE VERNOVA INTERNATIONAL LLC,Electrical Equipment,Copper,NO,NO,TRI,NO,NO,NO,550626.09
ALON REFINING KROTZ SPRINGS INC,KROTZ SPRINGS,LA,30.526504,-91.748383,DELEK US HOLDINGS INC,Petroleum,Carbonyl sulfide,NO,YES,TRI,NO,NO,NO,1.04
TENNECO,MANITOWOC,WI,44.10863,-87.68205,TENNECO INC,Transportation Equipment,Nickel,NO,YES,TRI,YES,NO,NO,178795.328
SOLVAY COMPOSITE MATERIALS,TULSA,OK,36.086925,-95.834624,,Textiles,Dichloromethane,NO,YES,TRI,YES,NO,NO,187170.45
INVECAST CORP,WARREN,MI,42.4613,-83.03343,,Primary Metals,Manganese,NO,YES,TRI,NO,NO,NO,18110.0
CLEVELAND-CLIFFS STEEL LLC,EAST CHICAGO,IN,41.656321,-87.450142,CLEVELAND-CLIFFS INC,Primary Metals,Polycyclic aromatic compounds,NO,YES,PBT,YES,YES,NO,3904.83
VULCAN MATERIALS CO CORONA,CORONA,CA,33.86055,-117.520094,VULCAN MATERIALS CO,Petroleum,Polycyclic aromatic compounds,NO,YES,PBT,YES,YES,NO,6.380000000000001
EMPIRE DISTRICT ELECTRIC CO ASBURY GENERATING STATION,ASBURY,MO,37.3613,-94.5889,THE EMPIRE DISTRICT ELECTRIC CO,Electric Utilities,Ammonia,NO,NO,TRI,NO,NO,NO,44791.04
DEER PARK REFINING LP,DEER PARK,TX,29.722222,-95.126944,P.M.I. SERVICES N.A. INC.,Petroleum,Cobalt compounds,NO,YES,TRI,YES,NO,NO,0.99
KAWNEER CO INC.,CRANBERRY TOWNSHIP,PA,40.707594,-80.110431,ARCONIC CORP,Fabricated Metals,Xylene (mixed isomers),NO,YES,TRI,NO,NO,NO,401264.97
THE GOODYEAR TIRE & RUBBER CO,TEXARKANA,AR,33.423167,-94.003778,THE GOODYEAR TIRE & RUBBER CO,Plastics and Rubber,Lead compounds,NO,YES,PBT,NO,YES,NO,1367.63
MASS DESIGN INC,NASHUA,NH,42.75626,-71.4906,,Computers and Electronic Products,Lead,NO,NO,PBT,YES,YES,NO,782.94
CANAL ASPHALT INC,MOUNT VERNON,NY,40.8966,-73.8214,,Petroleum,Polycyclic aromatic compounds,NO,YES,PBT,YES,YES,NO,1.29
THK RHYTHM AUTOMOTIVE,PORTLAND,MI,42.881933,-84.912884,,Transportation Equipment,Chromium compounds (except for chromite ore mined in the Transvaal Region),NO,YES,TRI,NO,NO,NO,36154.05
MARTINEZ REFINING CO LLC,MARTINEZ,CA,38.016594,-122.115392,PBF ENERGY INC,Petroleum,Phenanthrene,NO,YES,TRI,NO,NO,NO,6986.01
SUPERWINCH LLC,PUTNAM,CT,41.90056,-71.89629,,Machinery,Diisocyanates,NO,NO,TRI,NO,NO,NO,0.0
FISKARS BRANDS INC,EXCELSIOR SPRINGS,MO,39.33488,-94.24922,FISKARS BRANDS INC,Plastics and Rubber,Lead,NO,NO,PBT,YES,YES,NO,287.07
LAS VEGAS PAVING CORP,NORTH LAS VEGAS,NV,36.221462,-115.13397,LAS VEGAS PAVING CORP,Petroleum,"Benzo[g,h,i]perylene",NO,YES,PBT,NO,YES,NO,0.75
ESCO GROUP LLC,NEWTON,MS,32.351956,-89.133347,ESCO GROUP LLC,Primary Metals,Naphthalene,NO,YES,TRI,YES,NO,NO,173438.04
FORT WAINWRIGHT MAIN CANTONMENT,FORT WAINWRIGHT,AK,64.82639,-147.64958,US DEPARTMENT OF DEFENSE,Other,Mercury compounds,NO,YES,PBT,NO,YES,NO,126.345
REA MAGNET WIRE CO,FORT WAYNE,IN,41.067874,-85.083677,,Primary Metals,"2,4-Dimethylphenol",NO,NO,TRI,NO,NO,NO,75280.26000000001
DALTON CORP WARSAW MANUFACTURING FACILITY,WARSAW,IN,41.23575,-85.832528,NEW DALTON HOLDINGS CORP,Primary Metals,Copper,NO,NO,TRI,NO,NO,NO,256972.95
SAFETY-KLEEN SYSTEMS,DOLTON,IL,41.6445,-87.6062,CLEAN HARBORS INC,Hazardous Waste,N-Methyl-2-pyrrolidone,NO,NO,TRI,NO,NO,NO,438518.3
GULF ISLAND FABRICATION LLC,HOUMA,LA,29.54296,-90.69774,GULF ISLAND FABRICATION INC,Fabricated Metals,Chromium,NO,YES,TRI,NO,NO,NO,306775.94
NEWCOMB OIL CO. -COLUMBIA BULK PLANT,COLUMBIA,KY,37.09741,-85.3143,NEWCOMB OIL CO LLC,Other,Benzene,NO,YES,TRI,YES,NO,NO,0.0
ARVOS LJUNGSTROM LLC,WELLSVILLE,NY,42.11738,-77.94049,ARVOS LJUNGSTROM LLC,Fabricated Metals,Nickel,NO,YES,TRI,YES,NO,NO,79341.94
FORD MOTOR CO MICHIGAN ASSEMBLY PLANT,WAYNE,MI,42.278378,-83.412204,FORD MOTOR CO,Transportation Equipment,"Benzo[g,h,i]perylene",NO,YES,PBT,NO,YES,NO,0.0
