FACILITY NAME,CITY,ST,LATITUDE,LONGITUDE,PARENT CO NAME,INDUSTRY SECTOR,CHEMICAL,ELEMENTAL METAL INCLUDED,CLEAN AIR ACT CHEMICAL,CLASSIFICATION,CARCINOGEN,PBT,PFAS,TOTAL POLLUTION
ADAPTIVE OPTICS ASSOCIATES,DEVENS,MA,42.541121,-71.619677,NORTHROP GRUMMAN CORP,Machinery,Lead compounds,NO,YES,PBT,NO,YES,NO,1752.75
FLOWSERVE CORP SCRANTON PMC,CLARKS SUMMIT,PA,41.520636,-75.662634,FLOWSERVE CORP,Machinery,Copper,NO,NO,TRI,NO,NO,NO,0.0
MCLAUGHLIN GORMLEY KING,CHASKA,MN,44.84935,-93.59469,SUMITOMO CHEMICAL AMERICA INC.,Chemicals,Certain glycol ethers,NO,YES,TRI,NO,NO,NO,0.0
POET BIOREFINING - BINGHAM LAKE LLC,BINGHAM LAKE,MN,43.897083,-95.045278,POET HOLDING CO LLC,Chemicals,Acrolein,NO,YES,TRI,YES,NO,NO,2925.0
ARCONIC INC,MASSENA,NY,44.950425,-74.893685,ARCONIC INC,Primary Metals,Manganese,NO,YES,TRI,NO,NO,NO,27394.65
RAYONIER PERFORMANCE FIBERS JESUP MILL,JESUP,GA,31.6582,-81.8407,RAYONIER ADVANCED MATERIALS INC,Paper,Catechol,NO,YES,TRI,YES,NO,NO,30801.01
CHEMOURS EDGE MOOR,EDGEMOOR,DE,39.74773,-75.497982,THE CHEMOURS CO FC LLC,Chemicals,Toluene,NO,YES,TRI,NO,NO,NO,7156.05
ASCEND PERFORMANCE MATERIALS OPERATIONS LLC-DECATUR PLANT,DECATUR,AL,34.633889,-87.024444,ASCEND PERFORMANCE MATERIALS HOLDINGS INC,Chemicals,Nickel compounds,NO,YES,TRI,YES,NO,NO,297567.17
SAFETY-KLEEN SYSTEMS INC.,LEXINGTON,SC,33.973018,-81.197467,CLEAN HARBORS INC,Hazardous Waste,Ethylene glycol,NO,YES,TRI,NO,NO,NO,75071.33
HONEYWELL TURBO TECHNOLOGIES,TORRANCE,CA,33.81244,-118.34328,HONEYWELL INTERNATIONAL INC,Transportation Equipment,Naphthalene,NO,YES,TRI,YES,NO,NO,0.0
JOHN DEERE DAVENPORT WORKS,DAVENPORT,IA,41.606944,-90.538889,DEERE & CO,Machinery,Manganese,NO,YES,TRI,NO,NO,NO,4239.75
NUCOR STEEL HERTFORD COUNTY,COFIELD,NC,36.355216,-76.81115,NUCOR CORP,Primary Metals,Copper compounds,NO,NO,TRI,NO,NO,NO,260082.4
EASTMAN KODAK CO EASTMAN BUSINESS PARK,ROCHESTER,NY,43.197788,-77.629836,EASTMAN KODAK CO,Chemicals,Silver compounds,NO,NO,TRI,NO,NO,NO,131740.9
CONTITECH USA INC,LINCOLN,NE,40.85286,-96.64413,CONTITECH N.A. INC,Plastics and Rubber,Certain glycol ethers,NO,YES,TRI,NO,NO,NO,3058.85
FULLERTON GAS PLANT,ANDREWS,TX,32.4283,-102.8069,DCP MIDSTREAM LLC,Natural Gas Processing,Diethanolamine,NO,YES,TRI,NO,NO,NO,0.0
LOGAN GENERATING CO LP,SWEDESBORO,NJ,39.79158,-75.40751,EXCALIBUR POWER LLC,Electric Utilities,Hydrogen fluoride,NO,YES,TRI,NO,NO,NO,132200.59
