FACILITY NAME,CITY,ST,LATITUDE,LONGITUDE,PARENT CO NAME,INDUSTRY SECTOR,CHEMICAL,ELEMENTAL METAL INCLUDED,CLEAN AIR ACT CHEMICAL,CLASSIFICATION,CARCINOGEN,PBT,PFAS,TOTAL POLLUTION
BOEING COMMERCIAL AIRPLANES - EVERETT,EVERETT,WA,47.923302,-122.273197,THE BOEING CO,Transportation Equipment,Lead compounds,NO,YES,PBT,NO,YES,NO,11245.92
AGERE SYSTEMS INC,ALLENTOWN,PA,40.62278,-75.45076,,Computers and Electronic Products,Phosphoric acid,NO,NO,TRI,NO,NO,NO,87786.25
SECODYNE INC,NEW RICHMOND,OH,38.95178,-84.28166,SECODYNE INC,Chemicals,Acrylamide,NO,YES,TRI,YES,NO,NO,34.68
DOUGLAS AIRCRAFT CO,TORRANCE,CA,33.854199,-118.29923,MCDONNELL DOUGLAS CORP,Transportation Equipment,Dichloromethane,NO,YES,TRI,YES,NO,NO,445021.48
KENT IND,FORT WORTH,TX,32.6849,-97.28585,PREMIER INDL CORP,Chemicals,Toluene,NO,YES,TRI,NO,NO,NO,74851.29000000001
MOSAIC FERTILIZER LLC-NEW WALES PLANT,MULBERRY,FL,27.834363,-82.049256,THE MOSAIC CO,Chemicals,Chlorine,NO,YES,TRI,NO,NO,NO,18.0
KARSTEN PRECISION HEAT TREAT DIV,PHOENIX,AZ,33.49337,-112.12565,KARSTEN PRECISION,Fabricated Metals,Tetrachloroethylene,NO,YES,TRI,YES,NO,NO,176001.1
HOOKER FURNITURE INC PLEASANT GARDEN DIV,PLEASANT GARDEN,NC,35.96191,-79.765,HOOKER FURNITURE CORP,Furniture,Methanol,NO,YES,TRI,NO,NO,NO,111500.7
REED & BARTON SILVERSMITHS,TAUNTON,MA,41.91895,-71.0999,,Miscellaneous Manufacturing,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,NO,TRI,NO,NO,NO,74360.97
RUSKIN CO,PARSONS,KS,37.35662,-95.26731,JOHNSON CONTROLS INC,Fabricated Metals,Nickel,NO,YES,TRI,YES,NO,NO,1254150.0
EMD MILLIPORE CORP,CINCINNATI,OH,39.16647,-84.43547,EMD HOLDING CORP,Chemical Wholesalers,Dichloromethane,NO,YES,TRI,YES,NO,NO,382310.3
FMC CORP,GREEN RIVER,WY,41.619444,-109.801556,FMC CORP,Chemicals,Ammonia,NO,NO,TRI,NO,NO,NO,1206992.52
FIRESTONE FIBERS & TEXTILES CO,GASTONIA,NC,35.2603,-81.20023,BRIDGESTONE AMERICAS INC,Textile Product,Formaldehyde,NO,YES,TRI,YES,NO,NO,80300.87
MARMON INDUSTRIAL ENERGY & INFRASTRUCTURE GROUP,EAST GRANBY,CT,41.93073,-72.7087,THE MARMON GROUP LLC,Primary Metals,Copper compounds,NO,NO,TRI,NO,NO,NO,1223909.68
FEDERAL METAL FINISHING INC,CHARLESTOWN,MA,42.3864,-71.07552,,Fabricated Metals,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,NO,TRI,NO,NO,NO,129139.1
COCA-COLA PUERTO RICO BOTTLERS,CAYEY,PR,18.13353,-66.126444,,Beverages,Phosphoric acid,NO,NO,TRI,NO,NO,NO,0.0
BASF CORP,WASHINGTON,NJ,40.754803,-74.9731,,Chemicals,n-Butyl alcohol,NO,NO,TRI,NO,NO,NO,2501.29
US SURGICAL CORP PUERTO RICO INC,PONCE,PR,18.01251,-66.584206,US SURGICAL CORP,Miscellaneous Manufacturing,Freon 113 (CFC-113),NO,NO,TRI,NO,NO,NO,388231.73
TTM PRINTED CIRCUIT GROUP MULT ILAYER STAFFORD DIV,STAFFORDVILLE,CT,41.993952,-72.261569,TTM TECHNOLOGIES INC,Computers and Electronic Products,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,NO,TRI,NO,NO,NO,331210.85
PURINA ANIMAL NUTRITION LLC - SHELDON,SHELDON,IA,43.182442,-95.856656,LAND O LAKES INC,Food,Manganese compounds,NO,YES,TRI,NO,NO,NO,326.11
R&D MARBLE INC.,WILLIS,TX,30.40464,-95.47311,,Chemicals,Styrene,NO,YES,TRI,YES,NO,NO,25225.0
COOK COMPOSITES & POLYMERS CO,OXNARD,CA,34.14155,-119.17231,COOK COMPOSITES & POLYMERS CO,Chemicals,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,NO,TRI,NO,NO,NO,1.19
KERRICO CORP,SELINSGROVE,PA,40.80667,-76.920794,,Plastics and Rubber,Styrene,NO,YES,TRI,YES,NO,NO,47500.83
CAPITAL GRAPHICS  FCA DIV,SPRING GROVE,IL,42.41426,-88.1996,CAPITAL GRAPHICS,Printing,"1,1,1-Trichloroethane",NO,YES,TRI,NO,NO,NO,581995.4199999999
MCWHORTER TECHNOLOGIES,CHICAGO HEIGHTS,IL,41.52073,-87.62226,EASTMAN CHEMICAL CO,Chemicals,Butyl acrylate,NO,NO,TRI,NO,NO,NO,4.8
CORLETT-TURNER CO,ZEELAND,MI,42.8145,-86.03924,GA RICHARDS,Fabricated Metals,Copper,NO,NO,TRI,NO,NO,NO,135600.06
ARKEMA INC.,PIFFARD,NY,42.831474,-77.842301,ARKEMA DELAWARE INC,Chemicals,Dichloromethane,NO,YES,TRI,YES,NO,NO,90556.0
SIKORSKY AIRCRAFT STRATFORD FACILITY,STRATFORD,CT,41.249297,-73.089897,LOCKHEED MARTIN CORP,Transportation Equipment,Chromium,NO,YES,TRI,NO,NO,NO,16725.0
OLIN WINCHESTER LLC MAIN PLANT,EAST ALTON,IL,38.888368,-90.112807,OLIN CORP,Fabricated Metals,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,YES,TRI,NO,NO,NO,0.93
B-B CHEMICAL CORP.,LA GRANGE,IL,41.81775,-87.860827,,Chemicals,Tetrachloroethylene,NO,YES,TRI,YES,NO,NO,0.87
DELTA NORTH CHANNEL,HOUSTON,TX,29.86819,-95.12822,DELTA PETROLEUM CO INC,Chemical Wholesalers,Toluene diisocyanate (mixed isomers),NO,NO,TRI,YES,NO,NO,9134.06
